ID,LST_num,condition,puzzles,solutions
0,,Ternary,0300340102454032,3
1,,Ternary,5104100020300003,3
2,,Ternary,1403015200003040,3
3,,Ternary,1024401524300002,3
4,,Ternary,0102030425034000,4
5,,Ternary,0030040015004300,2
6,,Ternary,0020240302454002,1
7,,Ternary,4010352000000104,4
8,,Ternary,4000530000001040,2
9,,Ternary,4312300502402134,1
10,,Ternary,0001000420000035,2
11,,Ternary,0100401530001002,3
12,,Ternary,5041231400000123,3
13,,Ternary,2000010005344020,2
14,,Ternary,2134120054010312,3
15,,Ternary,1302000000030521,4
16,,Ternary,0423501200043200,4
17,,Ternary,5030000020004000,1
18,,Ternary,4000230000005010,3
19,,Ternary,4000000450103100,2
20,,Ternary,0000042501431034,1
21,,Ternary,1003003200153000,4
22,,Ternary,4301204002541430,1
23,,Ternary,4020000000001350,4
24,,Ternary,1500230400300201,4
25,,Ternary,2001320005030402,1
26,,Ternary,0100000403401053,2
27,,Ternary,4503200002010030,1
28,,Ternary,3025000400021000,1
29,,Ternary,0000004030001053,2
30,,Ternary,0001054223041023,1
31,,Ternary,5010300000002000,4
32,,Ternary,0000021020454001,3
33,,Ternary,5102200040300000,3
34,,Ternary,0503023040010400,1
35,,Ternary,1403050203043001,1
36,,Ternary,5401200000004000,3
37,,Ternary,4205000000000003,1
38,,Ternary,2003024500000102,1
39,,Ternary,2450000200044010,3
40,,Ternary,1043040003004502,1
41,,Ternary,1023300123104150,3
42,,Ternary,0001004020050003,4
43,,Ternary,3002104520340000,3
44,,Ternary,0503240002041000,1
45,,Ternary,1020000000303150,4
46,,Ternary,1000000023400514,2
47,,Ternary,3000124005344002,1
48,,Ternary,3001031220541003,3
49,,Ternary,3000510020000000,4
50,,Ternary,3120000020310543,2
51,,Ternary,0000400021005003,1
52,,Ternary,1020415020030201,3
53,,Ternary,3000120050400010,2
54,,Ternary,1000003220003015,4
55,,Ternary,0004542030014000,1
56,,Ternary,0001000030050302,4
57,,Ternary,0451030040300200,2
58,,Ternary,0104024050214312,3
59,,Ternary,1025400020033001,4
60,,Ternary,4000541030000004,2
61,,Ternary,3501000000000200,4
62,,Ternary,1003521000004002,3
63,,Ternary,0021130020050213,4
64,,Ternary,0000042500430000,1
65,,Ternary,0352000000403100,1
66,,Ternary,2341020440321450,2
67,,Ternary,1000420500400001,3
68,,Ternary,5001400030000002,2
69,,Ternary,0403025120004132,4
70,,Ternary,0000020015004300,4
71,,Ternary,0002240310250000,4
72,,Ternary,0001000003253000,4
73,,Ternary,0300023420030415,2
74,,Ternary,0130002005414302,2
75,,Ternary,0003153034100000,2
76,,Ternary,1023010220044530,2
77,,Ternary,0300502100004130,3
78,,Ternary,1500000003004200,4
79,,Ternary,3051000443000020,4
80,,Ternary,5003020023044032,1
81,,Ternary,4210100020300054,2
82,,Ternary,3040001501021003,4
83,,Ternary,1400500200003000,4
84,,Ternary,0002020003053421,4
85,,Ternary,0402000000003105,4
86,,Ternary,1300020401032005,1
87,,Ternary,1000034500040102,1
88,,Ternary,1000020000005024,3
89,,Ternary,3024000004500013,3
90,,Ternary,0521030002000004,4
91,,Ternary,2031420353000024,1
92,,Ternary,1400000052003100,4
93,,Ternary,1320523021400000,4
94,,Ternary,4010045300300000,2
95,,Ternary,3420031041021053,4
96,,Ternary,4300140521430014,2
97,,Ternary,4132030404211053,4
98,,Ternary,4305300102002134,2
99,,Ternary,1003401500000000,2
100,,Ternary,0000230530001004,1
101,,Ternary,3001031440350420,2
102,,Ternary,0100130025000004,4
103,,Ternary,5301001010304000,2
104,,Ternary,3001201040350020,2
105,,Ternary,5041002323044132,3
106,,Ternary,0052003000014013,4
107,,Ternary,3520104024014203,1
108,,Ternary,0000040003201504,2
109,,Ternary,1324023120000452,1
110,,Ternary,0102035400133041,2
111,,Ternary,4000000020005010,3
112,,Ternary,0020103020450213,1
113,,Ternary,4000000050031000,2
114,,Ternary,0020100503040002,3
115,,Ternary,0003231041050000,2
116,,Ternary,3102031400350000,1
117,,Ternary,1403503220040000,4
118,,Ternary,4500030000000102,2
119,,Ternary,1000003052003000,4
120,,Ternary,0203401500000000,2
121,,Ternary,1020050324300100,2
122,,Ternary,0001300520040040,2
123,,Ternary,5300103021000010,4
124,,Ternary,0000502030404310,1
125,,Ternary,1243401501303020,2
126,,Ternary,0003000420050040,1
127,,Ternary,4001541002432130,3
128,,Ternary,0103003020450010,1
129,,Ternary,0403053200002001,1
130,,Ternary,0431510210004213,3
131,,Ternary,0010325020000403,4
132,,Ternary,3400050221344000,3
133,,Ternary,3102100450210413,4
134,,Ternary,0010003402000453,2
135,,Ternary,5003002023044030,1
136,,Ternary,1020200350400000,3
137,,Ternary,5340000402002003,1
138,,Ternary,4302502110030130,3
139,,Ternary,0001042521044000,3
140,,Ternary,3540031041001000,2
141,,Ternary,0020230000301050,4
142,,Ternary,0124400020015043,1
143,,Ternary,1200340000040510,3
144,,Ternary,0000001000004053,2
145,,Ternary,0100502030004302,1
146,,Ternary,0001103050430200,2
147,,Ternary,0451104000344000,2
148,,Ternary,0000400324305100,3
149,,Ternary,1000003020005040,3
150,,Ternary,1000320000005004,2
151,,Ternary,3140125004000020,3
152,,Ternary,0001000000400352,1
153,,Ternary,0351203002400000,2
154,,Ternary,5102300000000000,4
155,,Ternary,0302250100000004,4
156,,Ternary,5103400034010000,2
157,,Ternary,0400015220043040,3
158,,Ternary,4012023000002050,4
159,,Ternary,4501030000000100,2
160,,Ternary,1503203403100421,2
161,,Ternary,0030025023401000,1
162,,Ternary,5003143000004300,2
163,,Ternary,2100031034201053,4
164,,Ternary,0403053200103201,1
165,,Ternary,3000245040300024,1
166,,Ternary,3000200050400000,1
167,,Ternary,0001031520340400,2
168,,Ternary,1500000023004210,4
169,,Ternary,3002120400014503,1
170,,Ternary,0003205000404030,1
171,,Ternary,1000520030020010,4
172,,Ternary,3250001200300403,4
173,,Ternary,1400205400300241,1
174,,Ternary,0001100021054013,4
175,,Ternary,4000040003002504,1
176,,Ternary,1043210040153021,2
177,,Ternary,5120000004304000,3
178,,Ternary,2050100000300040,1
179,,Ternary,0301001021400452,3
180,,Ternary,0021530021044013,1
181,,Ternary,0000205100400004,3
182,,Ternary,0120040000003504,2
183,,Ternary,0000300020005040,1
184,,Ternary,1003300453400030,2
185,,Ternary,3042000420000015,3
186,,Ternary,0304501221004000,3
187,,Ternary,0340200400103050,2
188,,Ternary,1000503440000420,2
189,,Ternary,5001300400024003,2
190,,Ternary,0001004500003002,3
191,,Ternary,1500020000000410,3
192,,Ternary,0254000020000010,3
193,,Ternary,5400100200003010,2
194,,Ternary,4301020320050400,4
195,,Ternary,0030240000201050,4
196,,Ternary,0003203440000251,4
197,,Ternary,0000003003002510,4
198,,Ternary,1000400500030002,1
199,,Ternary,3001510440000023,2
200,,Ternary,0000000032052034,1
201,,Ternary,1000402050030000,2
202,,Ternary,2003304150240102,1
203,,Ternary,5003243010400210,4
204,,Ternary,4301200002035410,3
205,,Ternary,0001040501000003,2
206,,Ternary,2340021445201002,1
207,,Ternary,3021000201304053,1
208,,Ternary,0001004500000103,2
209,,Ternary,5300100021000000,4
210,,Ternary,0320013400021053,4
211,,Ternary,3400501040300000,2
212,,Ternary,4321000020400514,2
213,,Ternary,0000300050201000,4
214,,Ternary,0000401500020100,3
215,,Ternary,1002241001245230,4
216,,Ternary,0003040021050310,4
217,,Ternary,0051102023044030,4
218,,Ternary,1300000101450003,2
219,,Ternary,1240503040000000,2
220,,Ternary,0000000003000524,1
221,,Ternary,3000500120000403,4
222,,Ternary,0100400024305003,1
223,,Ternary,0451120043003024,3
224,,Ternary,0000100021304503,2
225,,Ternary,5400100002003000,2
226,,Ternary,3000500420400000,1
227,,Ternary,1403304223040251,3
228,,Ternary,1250200440300020,4
229,,Ternary,1300013040000520,4
230,,Ternary,5031300000004000,2
231,,Ternary,0000103020400254,1
232,,Ternary,1250041000344000,4
233,,Ternary,0103000402050000,1
234,,Ternary,4300520030020003,1
235,,Ternary,3400200050100000,4
236,,Ternary,0002104500313100,3
237,,Ternary,5300200042000004,1
238,,Ternary,4503243002001000,1
239,,Ternary,4000502000431200,3
240,,Ternary,1420310203154201,4
241,,Ternary,1320403521403002,1
242,,Ternary,0000120500040010,3
243,,Ternary,0025001021434001,4
244,,Ternary,5004100000203000,2
245,,Ternary,3021430521341200,2
246,,Ternary,5030000010004000,2
247,,Ternary,1500300003000200,4
248,,Ternary,0000000420154000,3
249,,Ternary,3020105303044002,4
250,,Ternary,0003400500003002,1
251,,Ternary,0001230041500423,3
252,,Ternary,3501400020430230,4
253,,Ternary,0030004000000052,1
254,,Ternary,1302300000005400,2
255,,Ternary,2510300003040002,4
256,,Ternary,0301300050402000,1
257,,Ternary,0010000000244050,3
258,,Ternary,1300000020350004,1
259,,Ternary,2000400050030000,1
260,,Ternary,0051000000400030,2
261,,Ternary,0002150423000000,2
262,,Ternary,1320020101530402,4
263,,Ternary,1320020001450402,3
264,,Ternary,1300241301254031,4
265,,Ternary,0103043030012510,3
266,,Ternary,0000000220044015,3
267,,Ternary,4312000410203005,1
268,,Ternary,3051210403420213,2
269,,Ternary,5400100020000000,3
270,,Ternary,1000000040315002,3
271,,Ternary,0000100420050021,3
272,,Ternary,0000040000002510,3
273,,Ternary,5310000020040003,4
274,,Ternary,4005001301020030,1
275,,Ternary,3050001401020420,4
276,,Ternary,1504000023003400,2
277,,Ternary,5001000020044000,3
278,,Ternary,0010000300003052,4
279,,Ternary,0403050223100001,1
280,,Ternary,4003041523401030,2
281,,Ternary,1000000050403002,2
282,,Ternary,3002001040501020,3
283,,Ternary,0300103401002500,4
284,,Ternary,1540000403020000,2
285,,Ternary,5001200030100200,4
286,,Ternary,5002100030000010,4
287,,Ternary,1300015400030021,3
288,,Ternary,0000025430014010,3
289,,Ternary,2400000243050000,1
290,,Ternary,0401501321341000,4
291,,Ternary,1054002134000000,3
292,,Ternary,1003400050300040,2
293,,Ternary,0100000024015043,1
294,,Ternary,5401024020344012,3
295,,Ternary,1302520400200000,3
296,,Ternary,1000540021430030,3
297,,Ternary,0300002150432000,1
298,,Ternary,0100020005041020,3
299,,Ternary,0020200002400150,3
300,,Ternary,3001001021000253,4
301,,Ternary,4502030000201000,1
302,,Ternary,4350300000002410,2
303,,Ternary,3400510020000200,4
304,,Ternary,3020510440020000,2
305,,Ternary,2000524000001403,3
306,,Ternary,0000100050203002,4
307,,Ternary,0002100500043000,3
308,,Ternary,0003103200154000,4
309,,Ternary,4020000020401250,3
310,,Ternary,0512040021400030,3
311,,Ternary,0124001025011342,4
312,,Ternary,1003041521344020,2
313,,Ternary,4320014002041035,2
314,,Ternary,0000001400520040,3
315,,Ternary,0040230000321050,2
316,,Ternary,5043100000000000,2
317,,Ternary,2143020440001052,3
318,,Ternary,0423305223144000,4
319,,Ternary,0003100500003002,4
320,,Ternary,2000500430100100,1
321,,Ternary,0000310003042510,4
322,,Ternary,1020001030004050,3
323,,Ternary,4020324123001502,4
324,,Ternary,2100000450214312,3
325,,Ternary,0031030405420413,1
326,,Ternary,0104002035400302,2
327,,Ternary,0300014000340502,4
328,,Ternary,4025000020001003,1
329,,Ternary,5020400201341000,3
330,,Ternary,1000200000005040,3
331,,Ternary,3140201500311003,4
332,,Ternary,3105000400000003,2
333,,Ternary,0030205004010043,1
334,,Ternary,2000541000201004,3
335,,Ternary,1002000400003005,1
336,,Ternary,0100245000044010,3
337,,Ternary,0051123401430000,2
338,,Ternary,4300000420005410,3
339,,Ternary,0002000041050000,3
340,,Ternary,4002103001453000,3
341,,Ternary,3001501220000420,4
342,,Ternary,0104120534004012,3
343,,Ternary,2300000201050014,3
344,,Ternary,0000401500023000,3
345,,Ternary,1030540221430000,3
346,,Ternary,0300050400004103,2
347,,Ternary,4051002000000000,3
348,,Ternary,0300200040005010,3
349,,Ternary,3000031440300450,2
350,,Ternary,5130000300004010,2
351,,Ternary,1020301023014150,3
352,,Ternary,1023400523103201,2
353,,Ternary,2000020051044010,3
354,,Ternary,0310000000000452,3
355,,Ternary,0040000030540413,2
356,,Ternary,1520000003044030,4
357,,Ternary,4503040021041042,2
358,,Ternary,0010030000003054,2
359,,Ternary,0000245000301000,1
360,,Ternary,5003000223004000,1
361,,Ternary,5003200000404002,1
362,,Ternary,1002200001003504,2
363,,Ternary,1045000400020400,3
364,,Ternary,0003304220140251,3
365,,Ternary,0100130020004510,2
366,,Ternary,1243050403000000,1
367,,Ternary,4001000420050000,3
368,,Ternary,5104000330201002,2
369,,Ternary,0052201040310000,4
370,,Ternary,2000400050340000,1
371,,Ternary,4301025300300410,4
372,,Ternary,0400000023050001,4
373,,Ternary,0200350400001000,1
374,,Ternary,0020000052103100,4
375,,Ternary,1400200052300000,4
376,,Ternary,0201031450421003,3
377,,Ternary,0000100003004502,1
378,,Ternary,5300000040201002,2
379,,Ternary,3000000350420104,1
380,,Ternary,5004200001003000,1
381,,Ternary,4000512020410030,3
382,,Ternary,0020400200301050,4
383,,Ternary,0135000400000040,2
384,,Ternary,3041231440250400,3
385,,Ternary,5130400000000002,2
386,,Ternary,4000000253100000,2
387,,Ternary,0301320020405402,1
388,,Ternary,5302040010000000,4
389,,Ternary,2350000000204010,4
390,,Ternary,1000400050340000,2
391,,Ternary,1300403000402050,1
392,,Ternary,5100020030014012,2
393,,Ternary,2000320500040000,1
394,,Ternary,4103203030100052,4
395,,Ternary,3001510400000020,2
396,,Ternary,2341020441301053,2
397,,Ternary,5001042020044000,3
398,,Ternary,0100400002003500,4
399,,Ternary,0403350042000000,1
400,,Ternary,0041000440350400,2
401,,Ternary,3201040320144052,3
402,,Ternary,5340120000030402,2
403,,Ternary,2034024000000052,1
404,,Ternary,2501000040000300,4
405,,Ternary,0351000300420004,2
406,,Ternary,0040123043000052,1
407,,Ternary,5020310000044000,1
