ID,LST_num,condition,puzzles,solutions
0,1,Binary_Step1,0040405210200030,1
1,1,Binary_Step1,0210000043510030,2
2,1,Binary_Step1,0100040345020200,3
3,2,Binary_Step1,1000004054124020,3
4,2,Binary_Step1,1502010032100300,4
5,2,Binary_Step1,0402432502000003,1
6,3,Binary_Step1,3210250014020321,1
7,3,Binary_Step1,0234415330022300,2
8,3,Binary_Step1,3410402300540341,3
9,4,Binary_Step1,1435004300210004,2
10,4,Binary_Step1,0002000103141245,3
11,4,Binary_Step1,2000340012005123,4
12,5,Binary_Step1,0321140235000140,2
13,5,Binary_Step1,0420251410030032,3
14,5,Binary_Step1,0230005140233410,4
15,6,Binary_Step1,0300040051323200,4
16,6,Binary_Step1,4500321404000300,1
17,6,Binary_Step1,0041413500200010,2
18,7,Binary-Step2,0040450210200030,3
19,7,Binary-Step2,0210005043010030,4
20,7,Binary-Step2,0100040340520200,1
21,8,Binary-Step2,5032021001000340,1
22,8,Binary-Step2,0005423010240003,2
23,8,Binary-Step2,0210003003404105,3
24,9,Binary-Step2,2304012004503241,3
25,9,Binary-Step2,4003312415302001,4
26,9,Binary-Step2,3241052004302014,1
27,10,Binary-Step2,2413132000010005,2
28,10,Binary-Step2,0023004100325204,3
29,10,Binary-Step2,5000300004131324,4
30,11,Binary-Step2,3104030212400405,1
31,11,Binary-Step2,0204134201005031,2
32,11,Binary-Step2,5020024340102031,3
33,12,Binary-Step2,3015214304000300,4
34,12,Binary-Step2,0034412000120045,1
35,12,Binary-Step2,0010002012345301,2
36,13,Ternary-Step1,0021020014020045,3
37,13,Ternary-Step1,0200013010035302,4
38,13,Ternary-Step1,5200402300403400,1
39,14,Ternary-Step1,0104050200030430,3
40,14,Ternary-Step1,0000105240000431,4
41,14,Ternary-Step1,0120100040502030,1
42,15,Ternary-Step1,0040305001000012,2
43,15,Ternary-Step1,0040020020513000,3
44,15,Ternary-Step1,4300003005010200,4
45,16,Ternary-Step1,0000243145033142,2
46,16,Ternary-Step1,4130251010403420,3
47,16,Ternary-Step1,4231105231240000,4
48,17,Ternary-Step1,5042003124131320,3
49,17,Ternary-Step1,2305410032410423,4
50,17,Ternary-Step1,0413132431004205,1
51,18,Ternary-Step1,0142000003510234,2
52,18,Ternary-Step1,0000340245011203,3
53,18,Ternary-Step1,2140351000004230,4
54,19,Ternary-Step2,0004030210402005,1
55,19,Ternary-Step2,3200004001005031,2
56,19,Ternary-Step2,5004020340102000,3
57,20,Ternary-Step2,0401052402101002,1
58,20,Ternary-Step2,2000035102303012,2
59,20,Ternary-Step2,4003034024503020,3
60,21,Ternary-Step2,0041000014235104,2
61,21,Ternary-Step2,5200210003011402,3
62,21,Ternary-Step2,2035142300003200,4
63,22,Ternary-Step2,5030021031202340,1
64,22,Ternary-Step2,3405423013240000,2
65,22,Ternary-Step2,0214043103400105,3
66,23,Ternary-Step2,0000304015030314,4
67,23,Ternary-Step2,0240450020101400,1
68,23,Ternary-Step2,2310105302010000,2
69,24,Ternary-Step2,0104340043120005,3
70,24,Ternary-Step2,0140041202005301,4
71,24,Ternary-Step2,5000431200212030,1
72,25,Quaternary-Step1,0015004040000001,4
73,25,Quaternary-Step1,0100000000122005,1
74,25,Quaternary-Step1,3000000202005300,2
75,26,Quaternary-Step1,3050403004000004,4
76,26,Quaternary-Step1,0014010000451000,1
77,26,Quaternary-Step1,2000002001020501,2
78,27,Quaternary-Step1,0014104051000401,4
79,27,Quaternary-Step1,0520120000122001,1
80,27,Quaternary-Step1,3020003502032300,2
81,28,Quaternary-Step1,1004030000100503,1
82,28,Quaternary-Step1,0002504002004001,2
83,28,Quaternary-Step1,1050030000102003,3
84,29,Quaternary-Step1,3000403004051004,3
85,29,Quaternary-Step1,2014010000401500,4
86,29,Quaternary-Step1,2003502001020001,1
87,30,Quaternary-Step1,0034500004020120,2
88,30,Quaternary-Step1,0050210030040301,3
89,30,Quaternary-Step1,0430402000052100,4
90,31,Quaternary-Step2,0500004130024020,2
91,31,Quaternary-Step2,1400000530100320,3
92,31,Quaternary-Step2,0402400132000050,4
93,32,Quaternary-Step2,0045000120300200,2
94,32,Quaternary-Step2,0300300004010025,3
95,32,Quaternary-Step2,0040010430005200,4
96,33,Quaternary-Step2,0020030210000405,4
97,33,Quaternary-Step2,0200104000035030,1
98,33,Quaternary-Step2,5020000340100400,2
99,34,Quaternary-Step2,0002001350042341,3
100,34,Quaternary-Step2,3500400010202143,4
101,34,Quaternary-Step2,3214200513004000,1
102,35,Quaternary-Step2,0052000301042341,3
103,35,Quaternary-Step2,3000420010052143,4
104,35,Quaternary-Step2,3214203010004500,1
105,36,Quaternary-Step2,0015204004000001,4
106,36,Quaternary-Step2,0030010000122005,1
107,36,Quaternary-Step2,3000002002045300,2
