participant_id	APM_set1_accuracy	APM_set2_accuracy
sub-02	10.0	28.0
sub-04	9.0	24.0
sub-05	10.0	33.0
sub-06	10.0	30.0
sub-07	12.0	28.0
sub-08	10.0	19.0
sub-09	10.0	32.0
sub-10	6.0	20.0
sub-11	10.0	24.0
sub-12	10.0	25.0
sub-13	10.0	21.0
sub-14	6.0	20.0
sub-15	9.0	18.0
sub-17	11.0	32.0
sub-18	11.0	29.0
sub-19	11.0	34.0
sub-20	8.0	28.0
sub-21	10.0	22.0
sub-22	11.0	28.0
sub-23	10.0	26.0
sub-24	12.0	28.0
sub-25	11.0	28.0
sub-26	11.0	25.0
sub-27	10.0	25.0
sub-28	11.0	25.0
sub-29	12.0	34.0
sub-30	12.0	31.0
sub-31	9.0	17.0
sub-32	12.0	29.0
sub-33	11.0	29.0
sub-34	8.0	20.0
sub-35	11.0	27.0
sub-36	10.0	20.0
sub-37	9.0	25.0
sub-38	12.0	27.0
sub-39	11.0	28.0
sub-40	12.0	35.0
sub-41	12.0	32.0
sub-42	12.0	22.0
sub-43	10.0	24.0
sub-44	7.0	23.0
sub-45	10.0	22.0
sub-46	10.0	23.0
sub-47	9.0	22.0
sub-48	12.0	33.0
sub-49	10.0	27.0
sub-50	10.0	28.0
sub-51	12.0	32.0
sub-52	9.0	18.0
sub-53	10.0	27.0
sub-54	10.0	26.0
sub-55	12.0	32.0
sub-56	11.0	31.0
sub-57	10.0	26.0
sub-58	12.0	30.0
sub-59	11.0	24.0
sub-60	10.0	25.0
sub-61	8.0	21.0
sub-62	9.0	24.0
sub-63	6.0	20.0
sub-64	10.0	29.0
sub-65	8.0	24.0
