ID,LST_num,condition,puzzles,solutions
0,,Binary,2000500234001000,4
1,,Binary,1000354100000000,2
2,,Binary,1324204042303050,1
3,,Binary,1423310253044000,2
4,,Binary,3024000025310000,4
5,,Binary,3140235400011003,1
6,,Binary,4021540021433014,1
7,,Binary,3000125420030000,3
8,,Binary,1000200040005000,3
9,,Binary,1000241500300000,3
10,,Binary,1342320400232035,1
11,,Binary,1403320023404532,1
12,,Binary,4000540030201302,2
13,,Binary,3000540221404000,1
14,,Binary,3004540020414030,1
15,,Binary,1423320503410102,4
16,,Binary,0420415223403014,3
17,,Binary,1000400121005000,3
18,,Binary,0143123405200402,3
19,,Binary,1003500420014310,3
20,,Binary,2130020304015312,4
21,,Binary,0020001020301050,4
22,,Binary,4352300002402034,1
23,,Binary,1023001000313152,4
24,,Binary,4002002151430030,2
25,,Binary,4521014302043402,3
26,,Binary,5000104020044213,3
27,,Binary,0143103400253402,1
28,,Binary,0023300223544000,1
29,,Binary,1053001040300241,2
30,,Binary,5000400030001032,2
31,,Binary,0002003430050003,1
32,,Binary,1324423020405010,3
33,,Binary,1534000120404312,2
34,,Binary,0001235401301420,1
35,,Binary,4210005424300142,2
36,,Binary,4000100320005100,3
37,,Binary,1423013203013510,2
38,,Binary,3020231001501240,3
39,,Binary,1524341020430001,3
40,,Binary,1003000520040401,2
41,,Binary,2401451303420100,2
42,,Binary,4103320023401532,4
43,,Binary,1000231541000241,4
44,,Binary,0423300253144001,2
45,,Binary,1403300023144152,3
46,,Binary,2100023034010512,3
47,,Binary,1002214543003014,3
48,,Binary,4532000020000000,1
49,,Binary,0023000500043002,1
50,,Binary,0005000400414312,3
51,,Binary,3542001442311000,1
52,,Binary,0031240501421304,3
53,,Binary,0423410223103500,2
54,,Binary,0041200441350420,2
55,,Binary,1000000000004152,3
56,,Binary,3000120050004000,2
57,,Binary,0021523421404300,1
58,,Binary,0000421500001002,3
59,,Binary,2010020041350024,2
60,,Binary,1420513220003014,4
61,,Binary,1354400100030002,2
62,,Binary,1352000400030420,4
63,,Binary,1000300040005000,2
64,,Binary,1403354223140030,1
65,,Binary,1425310203004201,3
66,,Binary,0120421520000000,3
67,,Binary,0000000041302513,4
68,,Binary,0302012045000400,2
69,,Binary,5000130220344003,3
70,,Binary,0300123001400510,4
71,,Binary,1420310220145001,4
72,,Binary,3125001000001040,4
73,,Binary,4302100400050021,3
74,,Binary,1000031021540201,3
75,,Binary,0000014220314513,2
76,,Binary,5124200004304003,3
77,,Binary,4020103053003004,2
78,,Binary,3040230040305423,1
79,,Binary,1523000020044000,4
80,,Binary,0002140000002514,3
81,,Binary,4030500020001002,3
82,,Binary,4000500021001040,3
83,,Binary,2001421503003124,3
84,,Binary,1402200440253001,3
85,,Binary,4310340101040543,2
86,,Binary,3000235401020403,1
87,,Binary,1452310403404010,3
88,,Binary,0040005400320423,1
89,,Binary,2031001413524003,4
90,,Binary,3401120020405010,4
91,,Binary,0321053401400400,2
92,,Binary,1024421004303150,4
93,,Binary,3120001320310052,4
94,,Binary,0041001441350403,2
95,,Binary,1000200040005024,3
96,,Binary,4001000403052413,2
97,,Binary,0245201441321003,1
98,,Binary,1023013520140041,2
99,,Binary,1420310200104251,3
100,,Binary,1000000040005134,2
101,,Binary,2001400050003000,1
102,,Binary,4000500023001000,3
103,,Binary,3021030521341203,2
104,,Binary,0102324005202400,3
105,,Binary,4350042121430034,1
106,,Binary,0410324005204132,3
107,,Binary,4002513400400003,2
108,,Binary,0000104000044512,3
109,,Binary,1002300440235001,2
110,,Binary,1000352420410013,1
111,,Binary,1042001441032405,1
112,,Binary,1030435121400000,2
113,,Binary,0020324520040100,1
114,,Binary,3050001402300420,4
115,,Binary,3040231540301023,4
116,,Binary,1023020020004532,1
117,,Binary,0324025000300413,4
118,,Binary,4012120534012104,3
119,,Binary,1043200043153001,2
120,,Binary,2001520030001004,4
121,,Binary,4002000302050024,1
122,,Binary,3000231440315003,1
123,,Binary,3000140050004000,2
124,,Binary,1523000001003000,4
125,,Binary,0001000321354010,4
126,,Binary,5403320020344002,1
127,,Binary,0100032134000500,2
128,,Binary,4302002112450134,3
129,,Binary,0001004300043005,2
130,,Binary,1324354220014010,1
131,,Binary,1020020023144152,3
132,,Binary,4315300100232130,2
133,,Binary,2001120050004010,3
134,,Binary,4105030400230001,2
135,,Binary,3001231450301023,4
136,,Binary,1020320020005002,4
137,,Binary,4315002000030130,2
138,,Binary,2430004203004513,2
139,,Binary,1020500031404000,2
140,,Binary,4000500030001000,2
141,,Binary,2010420050033000,1
142,,Binary,3042231040300450,2
143,,Binary,4000140050402000,3
144,,Binary,1423310223145000,4
145,,Binary,0302010024004530,2
146,,Binary,0123034532041032,1
147,,Binary,3512000000311000,4
148,,Binary,1000400050003002,2
149,,Binary,3024501020001200,4
150,,Binary,3120520020001002,4
151,,Binary,1354000330014132,2
152,,Binary,3542100440000010,1
153,,Binary,0342001340353124,1
154,,Binary,1302200040005420,3
155,,Binary,3502120443010413,1
156,,Binary,2310524101231030,3
157,,Binary,1320501221434200,3
158,,Binary,1003400053003000,2
159,,Binary,2300320050001000,4
160,,Binary,2351020401000400,4
161,,Binary,2013020000244152,3
162,,Binary,3001100441350000,2
163,,Binary,0542030442012410,1
164,,Binary,0004100500010002,3
165,,Binary,2000000334250002,1
166,,Binary,1453000003000031,2
167,,Binary,1003540020004100,3
168,,Binary,4020503430121043,2
169,,Binary,5004100020014002,3
170,,Binary,5023320020044100,1
171,,Binary,2013324053204002,1
172,,Binary,0302542110000004,3
173,,Binary,3040500420034000,1
174,,Binary,0103103223453210,1
175,,Binary,4103541020011030,3
176,,Binary,3524030020000230,1
177,,Binary,0040231541301403,4
178,,Binary,4021200001401254,3
179,,Binary,1000000023453010,1
180,,Binary,1000300020005000,4
181,,Binary,4100123023000500,4
