epoch,block,loss,accuracy,condition,phase
0,0,1.4165411964058876,0.2627088758680556,average,train
0,0,,0.2678276990657027,binary,train
0,0,,0.26220564788747136,quaternary,train
0,0,,0.26048057514425005,ternary,train
0,0,1.403638243675232,0.271484375,average,test
0,0,,0.2596805036967067,binary,test
0,0,,0.2596526489383632,quaternary,test
0,0,,0.28031106059066585,ternary,test
0,0,1.4256796836853027,0.23148148148148148,average,validation
0,0,,0.3055555555555556,binary,validation
0,0,,0.08333333333333333,quaternary,validation
0,0,,0.3055555555555556,ternary,validation
200,0,0.03734263186925091,0.9864501953125,average,train
200,0,,0.9983914507113821,binary,train
200,0,,0.9688200310131265,quaternary,train
200,0,,0.9912892833304048,ternary,train
200,0,0.0663654550735373,0.978515625,average,test
200,0,,1.0,binary,test
200,0,,0.9358050371860761,quaternary,test
200,0,,0.9967532467532468,ternary,test
200,0,0.15856459736824036,0.9537037037037037,average,validation
200,0,,1.0,binary,validation
200,0,,0.9166666666666666,quaternary,validation
200,0,,0.9444444444444444,ternary,validation
400,0,0.020146085607393616,0.993896484375,average,train
400,0,,0.9974251868657975,binary,train
400,0,,0.9883553334318672,quaternary,train
400,0,,0.9956271713570143,ternary,train
400,0,0.03421234060078859,0.990234375,average,test
400,0,,1.0,binary,test
400,0,,0.9756640053515053,quaternary,test
400,0,,0.9938244047619047,ternary,test
400,0,0.06745214760303497,0.9814814814814815,average,validation
400,0,,1.0,binary,validation
400,0,,0.9722222222222222,quaternary,validation
400,0,,0.9722222222222222,ternary,validation
600,0,0.004631507259318823,0.998291015625,average,train
600,0,,0.9996279761904762,binary,train
600,0,,0.9962002421063016,quaternary,train
600,0,,0.9990004879792826,ternary,train
600,0,0.03953647648449987,0.986328125,average,test
600,0,,1.0,binary,test
600,0,,0.9646232149864569,quaternary,test
600,0,,0.9941829004329005,ternary,test
600,0,0.051790446043014526,0.9907407407407407,average,validation
600,0,,1.0,binary,validation
600,0,,1.0,quaternary,validation
600,0,,0.9722222222222222,ternary,validation
800,0,0.004029318469747523,0.999267578125,average,train
800,0,,1.0,binary,train
800,0,,0.9981766191325014,quaternary,train
800,0,,0.9996189024390244,ternary,train
800,0,0.23241669300477952,0.95703125,average,test
800,0,,1.0,binary,test
800,0,,0.9336624007494954,quaternary,test
800,0,,1.0,ternary,test
800,0,0.05917211249470711,0.9907407407407407,average,validation
800,0,,1.0,binary,validation
800,0,,0.9722222222222222,quaternary,validation
800,0,,1.0,ternary,validation
1000,0,0.0007278177089347082,0.999755859375,average,train
1000,0,,1.0,binary,train
1000,0,,0.99923370215311,quaternary,train
1000,0,,1.0,ternary,train
1000,0,0.03279693523654714,0.9921875,average,test
1000,0,,1.0,binary,test
1000,0,,0.9811553174241273,quaternary,test
1000,0,,0.9965156794425087,ternary,test
1000,0,0.03213772177696228,0.9907407407407407,average,validation
1000,0,,1.0,binary,validation
1000,0,,0.9722222222222222,quaternary,validation
1000,0,,1.0,ternary,validation
1200,0,0.0011499967893655594,0.999755859375,average,train
1200,0,,0.9995535714285715,binary,train
1200,0,,0.9996448863636364,quaternary,train
1200,0,,1.0,ternary,train
1200,0,0.03681608240731293,0.9931640625,average,test
1200,0,,1.0,binary,test
1200,0,,0.9790800095223666,quaternary,test
1200,0,,1.0,ternary,test
1200,0,0.026014992967247963,0.9907407407407407,average,validation
1200,0,,1.0,binary,validation
1200,0,,0.9722222222222222,quaternary,validation
1200,0,,1.0,ternary,validation
1400,0,0.0015806285534267772,0.9993896484375,average,train
1400,0,,1.0,binary,train
1400,0,,0.997972511653866,quaternary,train
1400,0,,1.0,ternary,train
1400,0,0.01648550271966087,0.9951171875,average,test
1400,0,,1.0,binary,test
1400,0,,0.9847731677237491,quaternary,test
1400,0,,1.0,ternary,test
1400,0,0.021780911833047867,0.9907407407407407,average,validation
1400,0,,1.0,binary,validation
1400,0,,0.9722222222222222,quaternary,validation
1400,0,,1.0,ternary,validation
1600,0,0.0008160820509601763,0.999755859375,average,train
1600,0,,1.0,binary,train
1600,0,,0.9991498161764706,quaternary,train
1600,0,,1.0,ternary,train
1600,0,0.036586830578016816,0.9912109375,average,test
1600,0,,1.0,binary,test
1600,0,,0.9734936188995575,quaternary,test
1600,0,,1.0,ternary,test
1600,0,0.06501977145671844,0.9907407407407407,average,validation
1600,0,,1.0,binary,validation
1600,0,,0.9722222222222222,quaternary,validation
1600,0,,1.0,ternary,validation
1800,0,0.0011269812916054889,0.99951171875,average,train
1800,0,,1.0,binary,train
1800,0,,0.9990211228722259,quaternary,train
1800,0,,0.999609375,ternary,train
1800,0,0.047052850516251965,0.9912109375,average,test
1800,0,,1.0,binary,test
1800,0,,0.9742910653552717,quaternary,test
1800,0,,1.0,ternary,test
1800,0,0.00018336865468882024,1.0,average,validation
1800,0,,1.0,binary,validation
1800,0,,1.0,quaternary,validation
1800,0,,1.0,ternary,validation
2000,0,0.0014487330942927201,0.99951171875,average,train
2000,0,,1.0,binary,train
2000,0,,0.9993131038647343,quaternary,train
2000,0,,0.9991939484126984,ternary,train
2000,0,0.03349586951208039,0.9921875,average,test
2000,0,,1.0,binary,test
2000,0,,0.9753878933566433,quaternary,test
2000,0,,1.0,ternary,test
2000,0,0.05188114941120148,0.9907407407407407,average,validation
2000,0,,1.0,binary,validation
2000,0,,0.9722222222222222,quaternary,validation
2000,0,,1.0,ternary,validation
2200,0,0.0029280299932850085,0.999267578125,average,train
2200,0,,1.0,binary,train
2200,0,,0.9988996564072783,quaternary,train
2200,0,,0.9988671083874572,ternary,train
2200,0,0.030466127805993892,0.9931640625,average,test
2200,0,,1.0,binary,test
2200,0,,0.9791965052140815,quaternary,test
2200,0,,1.0,ternary,test
2200,0,0.0006616403697989881,1.0,average,validation
2200,0,,1.0,binary,validation
2200,0,,1.0,quaternary,validation
2200,0,,1.0,ternary,validation
2400,0,0.0014294893992712332,0.99951171875,average,train
2400,0,,1.0,binary,train
2400,0,,0.9985923323907152,quaternary,train
2400,0,,1.0,ternary,train
2400,0,0.0388856931385817,0.9912109375,average,test
2400,0,,1.0,binary,test
2400,0,,0.973846415382523,quaternary,test
2400,0,,1.0,ternary,test
2400,0,0.06124144792556763,0.9907407407407407,average,validation
2400,0,,1.0,binary,validation
2400,0,,0.9722222222222222,quaternary,validation
2400,0,,1.0,ternary,validation
2600,0,0.001976770457474686,0.99951171875,average,train
2600,0,,1.0,binary,train
2600,0,,0.9986951344373218,quaternary,train
2600,0,,1.0,ternary,train
2600,0,0.02817165856504289,0.9912109375,average,test
2600,0,,1.0,binary,test
2600,0,,0.9739320404387471,quaternary,test
2600,0,,1.0,ternary,test
2600,0,0.01769280433654785,0.9907407407407407,average,validation
2600,0,,1.0,binary,validation
2600,0,,0.9722222222222222,quaternary,validation
2600,0,,1.0,ternary,validation
2800,0,0.0022965623414776815,0.9993896484375,average,train
2800,0,,1.0,binary,train
2800,0,,0.998731964854459,quaternary,train
2800,0,,0.9995777027027026,ternary,train
2800,0,0.053270115242156635,0.986328125,average,test
2800,0,,1.0,binary,test
2800,0,,0.9548877274487031,quaternary,test
2800,0,,1.0,ternary,test
2800,0,0.0006441462901420891,1.0,average,validation
2800,0,,1.0,binary,validation
2800,0,,1.0,quaternary,validation
2800,0,,1.0,ternary,validation
3000,0,0.0012549497472775784,0.9996337890625,average,train
3000,0,,1.0,binary,train
3000,0,,0.998940506080481,quaternary,train
3000,0,,1.0,ternary,train
3000,0,0.05294047763391063,0.990234375,average,test
3000,0,,1.0,binary,test
3000,0,,0.9672535472392001,quaternary,test
3000,0,,1.0,ternary,test
3000,0,0.007481356617063284,0.9907407407407407,average,validation
3000,0,,1.0,binary,validation
