epoch,block,loss,accuracy,condition,phase
0,0,1.4122616685926914,0.25272623697916663,average,train
0,0,,0.2603568605027229,binary,train
0,0,,0.247617433242779,quaternary,train
0,0,,0.24715642661158552,ternary,train
0,0,1.3956568390130997,0.255859375,average,test
0,0,,0.25198373893864723,binary,test
0,0,,0.23086636655944776,quaternary,test
0,0,,0.32758337189015424,ternary,test
0,0,1.4107705354690552,0.21296296296296297,average,validation
0,0,,0.19444444444444445,binary,validation
0,0,,0.25,quaternary,validation
0,0,,0.19444444444444445,ternary,validation
200,0,0.032562150234298315,0.9881591796875,average,train
200,0,,0.9975787486841785,binary,train
200,0,,0.9725873096204309,quaternary,train
200,0,,0.9939573010669535,ternary,train
200,0,0.030784083799517248,0.9873046875,average,test
200,0,,1.0,binary,test
200,0,,0.9635895302822008,quaternary,test
200,0,,0.9967948717948718,ternary,test
200,0,0.05532175675034523,0.9907407407407407,average,validation
200,0,,1.0,binary,validation
200,0,,0.9722222222222222,quaternary,validation
200,0,,1.0,ternary,validation
400,0,0.009838703345849353,0.9967041015625,average,train
400,0,,1.0,binary,train
400,0,,0.9908287721362845,quaternary,train
400,0,,0.998989156832946,ternary,train
400,0,0.016489087027366622,0.994140625,average,test
400,0,,1.0,binary,test
400,0,,0.9817152317152317,quaternary,test
400,0,,1.0,ternary,test
400,0,0.020349595695734024,0.9907407407407407,average,validation
400,0,,1.0,binary,validation
400,0,,0.9722222222222222,quaternary,validation
400,0,,1.0,ternary,validation
600,0,0.004411623815940402,0.998779296875,average,train
600,0,,0.9995265151515151,binary,train
600,0,,0.9978611107895606,quaternary,train
600,0,,0.9988856907894736,ternary,train
600,0,0.017286949090703274,0.9921875,average,test
600,0,,1.0,binary,test
600,0,,0.979149532047646,quaternary,test
600,0,,0.9970238095238094,ternary,test
600,0,0.0005772483418695629,1.0,average,validation
600,0,,1.0,binary,validation
600,0,,1.0,quaternary,validation
600,0,,1.0,ternary,validation
800,0,0.001529977514451275,0.9996337890625,average,train
800,0,,1.0,binary,train
800,0,,0.9992491418764302,quaternary,train
800,0,,0.9995404411764706,ternary,train
800,0,0.006550586604134878,0.99609375,average,test
800,0,,1.0,binary,test
800,0,,0.9882127192982456,quaternary,test
800,0,,1.0,ternary,test
800,0,0.0002955932286567986,1.0,average,validation
800,0,,1.0,binary,validation
800,0,,1.0,quaternary,validation
800,0,,1.0,ternary,validation
1000,0,0.001579921324434963,0.999755859375,average,train
1000,0,,1.0,binary,train
1000,0,,0.9993351063829787,quaternary,train
1000,0,,1.0,ternary,train
1000,0,0.02253789585074628,0.99609375,average,test
1000,0,,1.0,binary,test
1000,0,,0.9878385765013672,quaternary,test
1000,0,,1.0,ternary,test
1000,0,0.0003276461793575436,1.0,average,validation
1000,0,,1.0,binary,validation
1000,0,,1.0,quaternary,validation
1000,0,,1.0,ternary,validation
1200,0,0.00394726482193164,0.9990234375,average,train
1200,0,,0.9993177503559564,binary,train
1200,0,,0.9978739739177602,quaternary,train
1200,0,,1.0,ternary,train
1200,0,0.016138487597345375,0.994140625,average,test
1200,0,,1.0,binary,test
1200,0,,0.9810238780827018,quaternary,test
