epoch,block,loss,accuracy,condition,phase
0,0,1.3853111546486616,0.2649468315972222,average,train
0,0,,0.2771644683080557,binary,train
0,0,,0.24292716888502186,quaternary,train
0,0,,0.2752389099603051,ternary,train
0,0,1.3845801055431366,0.2177734375,average,test
0,0,,0.24806847738840243,binary,test
0,0,,0.25416393830259376,quaternary,test
0,0,,0.1850815850815851,ternary,test
0,0,1.3862100839614868,0.25925925925925924,average,validation
0,0,,0.25,binary,validation
0,0,,0.2222222222222222,quaternary,validation
0,0,,0.3055555555555556,ternary,validation
200,0,8.347397545094282e-05,1.0,average,train
200,0,,1.0,binary,train
200,0,,1.0,quaternary,train
200,0,,1.0,ternary,train
200,0,0.7278625667095184,0.8671875,average,test
200,0,,0.9148875102267682,binary,test
200,0,,0.795327742386566,quaternary,test
200,0,,0.8635319182264172,ternary,test
200,0,10.504915237426758,0.24074074074074073,average,validation
200,0,,0.25,binary,validation
200,0,,0.25,quaternary,validation
200,0,,0.2222222222222222,ternary,validation
400,0,5.682037218512903e-08,1.0,average,train
400,0,,1.0,binary,train
400,0,,1.0,quaternary,train
400,0,,1.0,ternary,train
400,0,1.086519319564104,0.849609375,average,test
400,0,,0.8917496862035004,binary,test
400,0,,0.8175160651192924,quaternary,test
400,0,,0.8690982263350684,ternary,test
400,0,17.196456909179688,0.26851851851851855,average,validation
400,0,,0.25,binary,validation
400,0,,0.2777777777777778,quaternary,validation
400,0,,0.2777777777777778,ternary,validation
600,0,0.0,1.0,average,train
600,0,,1.0,binary,train
600,0,,1.0,quaternary,train
600,0,,1.0,ternary,train
600,0,1.2089554741978645,0.8798828125,average,test
600,0,,0.9256315214851801,binary,test
600,0,,0.8336382047346769,quaternary,test
600,0,,0.8680370959298538,ternary,test
600,0,20.628847122192383,0.28703703703703703,average,validation
600,0,,0.25,binary,validation
600,0,,0.2777777777777778,quaternary,validation
600,0,,0.3333333333333333,ternary,validation
800,0,0.0,1.0,average,train
800,0,,1.0,binary,train
800,0,,1.0,quaternary,train
800,0,,1.0,ternary,train
800,0,1.3975239843130112,0.8515625,average,test
800,0,,0.9390547865980368,binary,test
800,0,,0.8366957435228342,quaternary,test
800,0,,0.8117857784410452,ternary,test
800,0,21.320573806762695,0.2777777777777778,average,validation
800,0,,0.25,binary,validation
800,0,,0.3055555555555556,quaternary,validation
800,0,,0.2777777777777778,ternary,validation
1000,0,0.0,1.0,average,train
1000,0,,1.0,binary,train
1000,0,,1.0,quaternary,train
1000,0,,1.0,ternary,train
1000,0,1.2716771326959133,0.8515625,average,test
1000,0,,0.9270374693276615,binary,test
1000,0,,0.7974686513250343,quaternary,test
1000,0,,0.8702376976771327,ternary,test
1000,0,21.642026901245117,0.28703703703703703,average,validation
1000,0,,0.25,binary,validation
1000,0,,0.3055555555555556,quaternary,validation
1000,0,,0.3055555555555556,ternary,validation
1200,0,0.0,1.0,average,train
1200,0,,1.0,binary,train
1200,0,,1.0,quaternary,train
1200,0,,1.0,ternary,train
1200,0,1.2429473974334542,0.8828125,average,test
1200,0,,0.9305991667590281,binary,test
1200,0,,0.8349536681465491,quaternary,test
1200,0,,0.8767990758671333,ternary,test
1200,0,21.84972381591797,0.28703703703703703,average,validation
1200,0,,0.25,binary,validation
1200,0,,0.3055555555555556,quaternary,validation
1200,0,,0.3055555555555556,ternary,validation
1400,0,0.0,1.0,average,train
1400,0,,1.0,binary,train
1400,0,,1.0,quaternary,train
1400,0,,1.0,ternary,train
1400,0,1.2480481616803445,0.8818359375,average,test
1400,0,,0.9384708049886621,binary,test
1400,0,,0.8128291154198315,quaternary,test
1400,0,,0.8795643911192691,ternary,test
1400,0,22.013389587402344,0.28703703703703703,average,validation
1400,0,,0.25,binary,validation
1400,0,,0.3055555555555556,quaternary,validation
1400,0,,0.3055555555555556,ternary,validation
1600,0,0.0,1.0,average,train
1600,0,,1.0,binary,train
1600,0,,1.0,quaternary,train
1600,0,,1.0,ternary,train
1600,0,1.2523495778441394,0.8818359375,average,test
1600,0,,0.9381536532516461,binary,test
1600,0,,0.8317699276067028,quaternary,test
1600,0,,0.8756874233530327,ternary,test
1600,0,22.140796661376953,0.28703703703703703,average,validation
1600,0,,0.25,binary,validation
1600,0,,0.3055555555555556,quaternary,validation
1600,0,,0.3055555555555556,ternary,validation
1800,0,0.0,1.0,average,train
1800,0,,1.0,binary,train
1800,0,,1.0,quaternary,train
1800,0,,1.0,ternary,train
1800,0,1.2559620072206599,0.8828125,average,test
1800,0,,0.9366789744174286,binary,test
1800,0,,0.8145447894156622,quaternary,test
1800,0,,0.8767933800628974,ternary,test
1800,0,22.240074157714844,0.28703703703703703,average,validation
1800,0,,0.25,binary,validation
1800,0,,0.3055555555555556,quaternary,validation
1800,0,,0.3055555555555556,ternary,validation
2000,0,0.0,1.0,average,train
2000,0,,1.0,binary,train
2000,0,,1.0,quaternary,train
2000,0,,1.0,ternary,train
2000,0,1.2592370584599593,0.8828125,average,test
2000,0,,0.9389307053428294,binary,test
2000,0,,0.8345033600484728,quaternary,test
2000,0,,0.8765803259254684,ternary,test
2000,0,22.328351974487305,0.28703703703703703,average,validation
2000,0,,0.25,binary,validation
2000,0,,0.3055555555555556,quaternary,validation
2000,0,,0.3055555555555556,ternary,validation
2200,0,0.0,1.0,average,train
2200,0,,1.0,binary,train
2200,0,,1.0,quaternary,train
2200,0,,1.0,ternary,train
2200,0,2.8009131401777267,0.79296875,average,test
2200,0,,0.814224932251248,binary,test
2200,0,,0.7558965658494018,quaternary,test
2200,0,,0.8623399624495262,ternary,test
2200,0,22.40227508544922,0.28703703703703703,average,validation
2200,0,,0.25,binary,validation
2200,0,,0.3055555555555556,quaternary,validation
2200,0,,0.3055555555555556,ternary,validation
2400,0,0.0,1.0,average,train
2400,0,,1.0,binary,train
2400,0,,1.0,quaternary,train
2400,0,,1.0,ternary,train
2400,0,2.1952980160713196,0.8232421875,average,test
2400,0,,0.9387243890236365,binary,test
2400,0,,0.7782151808091657,quaternary,test
2400,0,,0.7508618464868464,ternary,test
2400,0,22.47035789489746,0.28703703703703703,average,validation
2400,0,,0.25,binary,validation
2400,0,,0.3055555555555556,quaternary,validation
2400,0,,0.3055555555555556,ternary,validation
2600,0,0.0,1.0,average,train
2600,0,,1.0,binary,train
2600,0,,1.0,quaternary,train
2600,0,,1.0,ternary,train
2600,0,1.4862891733646393,0.8525390625,average,test
2600,0,,0.8823403720432366,binary,test
2600,0,,0.8337082777701548,quaternary,test
2600,0,,0.8756546293295165,ternary,test
2600,0,22.53278923034668,0.28703703703703703,average,validation
2600,0,,0.25,binary,validation
2600,0,,0.3055555555555556,quaternary,validation
2600,0,,0.3055555555555556,ternary,validation
2800,0,0.0,1.0,average,train
2800,0,,1.0,binary,train
2800,0,,1.0,quaternary,train
2800,0,,1.0,ternary,train
2800,0,1.3971950709819794,0.8525390625,average,test
2800,0,,0.941212119964549,binary,test
2800,0,,0.8366287567477853,quaternary,test
2800,0,,0.8130281621602762,ternary,test
2800,0,22.58809471130371,0.28703703703703703,average,validation
2800,0,,0.25,binary,validation
2800,0,,0.3055555555555556,quaternary,validation
2800,0,,0.3055555555555556,ternary,validation
3000,0,0.0,1.0,average,train
3000,0,,1.0,binary,train
3000,0,,1.0,quaternary,train
3000,0,,1.0,ternary,train
3000,0,1.3100650645792484,0.8525390625,average,test
3000,0,,0.9397489357422804,binary,test
3000,0,,0.7937110624736624,quaternary,test
3000,0,,0.8592205201518958,ternary,test
3000,0,22.639963150024414,0.28703703703703703,average,validation
3000,0,,0.25,binary,validation
3000,0,,0.3055555555555556,quaternary,validation
3000,0,,0.3055555555555556,ternary,validation
3200,0,0.0,1.0,average,train
3200,0,,1.0,binary,train
3200,0,,1.0,quaternary,train
3200,0,,1.0,ternary,train
3200,0,1.2731538601210275,0.8828125,average,test
3200,0,,0.9393304132714432,binary,test
3200,0,,0.8359194417301747,quaternary,test
3200,0,,0.8737417115557589,ternary,test
3200,0,22.686084747314453,0.28703703703703703,average,validation
3200,0,,0.25,binary,validation
3200,0,,0.3055555555555556,quaternary,validation
3200,0,,0.3055555555555556,ternary,validation
3400,0,0.0,1.0,average,train
3400,0,,1.0,binary,train
3400,0,,1.0,quaternary,train
3400,0,,1.0,ternary,train
3400,0,1.2748029560998475,0.8828125,average,test
3400,0,,0.9397155623528706,binary,test
3400,0,,0.839242574529126,quaternary,test
3400,0,,0.8553761438124055,ternary,test
3400,0,22.73030662536621,0.28703703703703703,average,validation
3400,0,,0.25,binary,validation
3400,0,,0.3055555555555556,quaternary,validation
3400,0,,0.3055555555555556,ternary,validation
3600,0,0.0,1.0,average,train
3600,0,,1.0,binary,train
3600,0,,1.0,quaternary,train
3600,0,,1.0,ternary,train
3600,0,1.2763386778533456,0.8818359375,average,test
3600,0,,0.9379758631038209,binary,test
3600,0,,0.8339655008512441,quaternary,test
3600,0,,0.8726333568426907,ternary,test
3600,0,22.771875381469727,0.28703703703703703,average,validation
3600,0,,0.25,binary,validation
3600,0,,0.3055555555555556,quaternary,validation
3600,0,,0.3055555555555556,ternary,validation
3800,0,0.0,1.0,average,train
3800,0,,1.0,binary,train
3800,0,,1.0,quaternary,train
3800,0,,1.0,ternary,train
3800,0,1.2813370150979608,0.8818359375,average,test
3800,0,,0.9308311979236769,binary,test
3800,0,,0.8312774031524032,quaternary,test
3800,0,,0.8766862210194659,ternary,test
3800,0,22.812349319458008,0.28703703703703703,average,validation
3800,0,,0.25,binary,validation
3800,0,,0.3055555555555556,quaternary,validation
3800,0,,0.3055555555555556,ternary,validation
4000,0,0.0,1.0,average,train
4000,0,,1.0,binary,train
4000,0,,1.0,quaternary,train
4000,0,,1.0,ternary,train
4000,0,1.2804737586993724,0.8818359375,average,test
4000,0,,0.9308715110108837,binary,test
4000,0,,0.8371134222252752,quaternary,test
4000,0,,0.8709518304622794,ternary,test
4000,0,22.849124908447266,0.28703703703703703,average,validation
4000,0,,0.25,binary,validation
4000,0,,0.3055555555555556,quaternary,validation
4000,0,,0.3055555555555556,ternary,validation
