epoch,block,loss,accuracy,condition,phase
0,0,1.386250900104642,0.2567545572916667,average,train
0,0,,0.2654086624393027,binary,train
0,0,,0.2520449750836977,quaternary,train
0,0,,0.2525019833468893,ternary,train
0,0,1.3831248581409454,0.2666015625,average,test
0,0,,0.3546935489422917,binary,test
0,0,,0.27909395557245154,quaternary,test
0,0,,0.1649449342087465,ternary,test
0,0,1.3851038217544556,0.2777777777777778,average,validation
0,0,,0.2777777777777778,binary,validation
0,0,,0.2222222222222222,quaternary,validation
0,0,,0.3333333333333333,ternary,validation
200,0,0.1456157483626157,0.9514024522569444,average,train
200,0,,0.9698384492752574,binary,train
200,0,,0.9460852084677492,quaternary,train
200,0,,0.9384196692438956,ternary,train
200,0,2.1388182640075684,0.55859375,average,test
200,0,,0.5914699630697525,binary,test
200,0,,0.5715920312965623,quaternary,test
200,0,,0.5316360669901055,ternary,test
200,0,2.135617256164551,0.5277777777777778,average,validation
200,0,,0.5833333333333334,binary,validation
200,0,,0.4444444444444444,quaternary,validation
200,0,,0.5555555555555556,ternary,validation
400,0,0.0024707601114641875,0.999755859375,average,train
400,0,,1.0,binary,train
400,0,,0.9996189024390244,quaternary,train
400,0,,0.9995404411764706,ternary,train
400,0,2.0210243528708816,0.65234375,average,test
400,0,,0.7146421245911839,binary,test
400,0,,0.6333224448315912,quaternary,test
400,0,,0.551706875022015,ternary,test
400,0,2.894838571548462,0.5833333333333334,average,validation
400,0,,0.5277777777777778,binary,validation
400,0,,0.5277777777777778,quaternary,validation
400,0,,0.6944444444444444,ternary,validation
600,0,0.0011645017621049192,0.999755859375,average,train
600,0,,1.0,binary,train
600,0,,0.9995777027027026,quaternary,train
600,0,,0.9995888157894737,ternary,train
600,0,2.3728186786174774,0.59765625,average,test
600,0,,0.6845149106154089,binary,test
600,0,,0.5213495906019809,quaternary,test
600,0,,0.5582494228065473,ternary,test
600,0,3.2834670543670654,0.5555555555555556,average,validation
600,0,,0.5555555555555556,binary,validation
600,0,,0.5,quaternary,validation
600,0,,0.6111111111111112,ternary,validation
800,0,0.0005757756175626128,0.9998779296875,average,train
800,0,,1.0,binary,train
800,0,,1.0,quaternary,train
800,0,,0.9996527777777777,ternary,train
800,0,2.2467854619026184,0.6123046875,average,test
800,0,,0.7308750265189516,binary,test
800,0,,0.565426213394994,quaternary,test
800,0,,0.523407882848103,ternary,test
800,0,3.282970666885376,0.5555555555555556,average,validation
800,0,,0.5833333333333334,binary,validation
800,0,,0.5833333333333334,quaternary,validation
800,0,,0.5,ternary,validation
1000,0,0.0014571934971172595,1.0,average,train
1000,0,,1.0,binary,train
1000,0,,1.0,quaternary,train
1000,0,,1.0,ternary,train
1000,0,2.3883739560842514,0.59375,average,test
1000,0,,0.692786904899348,binary,test
1000,0,,0.5536708032385194,quaternary,test
1000,0,,0.6017517777038353,ternary,test
1000,0,3.045912265777588,0.5925925925925926,average,validation
1000,0,,0.6111111111111112,binary,validation
1000,0,,0.5833333333333334,quaternary,validation
1000,0,,0.5833333333333334,ternary,validation
1200,0,0.001059503077158297,1.0,average,train
1200,0,,1.0,binary,train
1200,0,,1.0,quaternary,train
1200,0,,1.0,ternary,train
1200,0,2.7720686495304108,0.5869140625,average,test
1200,0,,0.7182120960314123,binary,test
1200,0,,0.5459179831115539,quaternary,test
1200,0,,0.54859251895872,ternary,test
1200,0,2.969212293624878,0.5370370370370371,average,validation
1200,0,,0.5555555555555556,binary,validation
1200,0,,0.5555555555555556,quaternary,validation
1200,0,,0.5,ternary,validation
1400,0,1.3811975065891602e-05,1.0,average,train
1400,0,,1.0,binary,train
1400,0,,1.0,quaternary,train
1400,0,,1.0,ternary,train
1400,0,2.9499103724956512,0.5576171875,average,test
1400,0,,0.6495341804445065,binary,test
1400,0,,0.5063557922958941,quaternary,test
1400,0,,0.5513888888888888,ternary,test
1400,0,4.066994667053223,0.5277777777777778,average,validation
1400,0,,0.5,binary,validation
1400,0,,0.5833333333333334,quaternary,validation
1400,0,,0.5,ternary,validation
