rho,roi
0.46185173012139136,AMY-lh
0.46796648370196575,AMY-lh
0.46564032673791245,AMY-lh
0.4196010351940625,AMY-lh
0.4099374264985492,AMY-lh
0.29205933426246905,AMY-lh
0.3283329136875398,AMY-lh
0.3975174758725233,AMY-lh
0.356791834125217,AMY-lh
0.46804290743539956,AMY-lh
0.39534970826371507,AMY-lh
0.3521881000892999,AMY-lh
0.36092453423211623,AMY-lh
0.42281778795830605,AMY-lh
0.4556465549894391,AMY-lh
0.36629431986741634,AMY-lh
0.36854113029612423,AMY-lh
0.4737249280433249,AMY-lh
0.38997174785558125,AMY-lh
0.3831701907973662,AMY-lh
0.4241241114017936,AMY-lh
0.3558382714713825,AMY-lh
0.5096925767108065,AMY-lh
0.4103511518508527,AMY-lh
0.40617807003564543,AMY-lh
0.3948003016531104,AMY-lh
0.385533531422963,AMY-lh
0.3860784303231527,AMY-lh
0.4080632131263587,AMY-lh
0.35563809116558925,AMY-lh
0.34796352860197977,AMY-lh
0.3874808347501709,AMY-lh
0.36734178252671634,AMY-lh
0.41666050629412393,AMY-lh
0.3960567919013302,AMY-lh
0.4776079467977336,AMY-lh
0.2790248999895703,AMY-lh
0.37552421949671316,AMY-lh
0.3482748228427959,AMY-lh
0.33833825121664884,AMY-lh
0.3948430987748405,AMY-lh
0.3195428838010512,AMY-lh
0.4552315998306313,AMY-lh
0.3068109704533988,AMY-lh
0.45404667838869045,AMY-lh
0.3680012922329864,AMY-lh
0.33931788268540175,AMY-lh
0.4153083620288375,AMY-lh
0.3730125623597067,AMY-lh
0.4198506588612518,AMY-lh
0.26263054500851757,AMY-lh
0.41950399080976947,AMY-lh
0.35302891031254807,AMY-lh
0.4158943222356334,AMY-lh
0.3755981759192706,AMY-lh
0.416686024644502,AMY-lh
0.3997574734114595,AMY-lh
0.34463961485642297,AMY-lh
0.4161938054677501,AMY-lh
0.3775623832730141,AMY-lh
0.36697105584158224,AMY-lh
0.3432793430005799,AMY-lh
0.4156255323853941,AMY-lh
0.40721833685025555,AMY-lh
0.40156542236052184,AMY-lh
0.3124049181095271,AMY-lh
0.35929298492297596,AMY-lh
0.47829311432303356,AMY-lh
0.40705226298721797,AMY-lh
0.33570369217049845,AMY-lh
0.36982862862472604,AMY-lh
0.33411884614847037,AMY-lh
0.43249093973780617,AMY-lh
0.4004649819498171,AMY-lh
0.298416401890753,AMY-lh
0.37013218139854215,AMY-lh
0.3611097786155829,AMY-lh
0.42491322845742974,AMY-lh
0.42490618359873156,AMY-lh
0.471364197232652,AMY-lh
0.3260234630395541,AMY-lh
0.377490462480339,AMY-lh
0.3918204790501787,AMY-lh
0.40943033887434943,AMY-lh
0.47996597076351516,AMY-lh
0.41658992293645897,AMY-lh
0.3518027612461922,AMY-lh
0.4072794683859521,AMY-lh
0.3989555824291314,AMY-lh
0.43230208320622165,AMY-lh
0.46098071100205784,AMY-lh
0.3718106192199789,AMY-lh
0.460800678751895,AMY-lh
0.4147594880632919,AMY-lh
0.46043897642520637,AMY-lh
0.4330240014361727,AMY-lh
0.45930830384771615,AMY-lh
0.3762809872952134,AMY-lh
0.36059019866968806,AMY-lh
0.33784501826076235,AMY-lh
0.43458150153221875,AMY-lh
0.33881114473697044,AMY-lh
0.34380428281124453,AMY-lh
0.326766021586103,AMY-lh
0.2949556086949876,AMY-lh
0.36984729838443064,AMY-lh
0.39464378195791744,AMY-lh
0.4514670044650731,AMY-lh
0.37862071542321796,AMY-lh
