rho,roi
0.46640844421373984,AMY-rh
0.3250748027157978,AMY-rh
0.4171380964567241,AMY-rh
0.4203209057182982,AMY-rh
0.4865317483035555,AMY-rh
0.5029606099902555,AMY-rh
0.4837046858233581,AMY-rh
0.4644246609330047,AMY-rh
0.44097179331462166,AMY-rh
0.4086532888806782,AMY-rh
0.46556174075324724,AMY-rh
0.46946624697511186,AMY-rh
0.47955593013943354,AMY-rh
0.46835456110328744,AMY-rh
0.4064169965657319,AMY-rh
0.44097650757954976,AMY-rh
0.39760062897134996,AMY-rh
0.3800244948797228,AMY-rh
0.39661374405029054,AMY-rh
0.42294277457720586,AMY-rh
0.33652535688229757,AMY-rh
0.3408790883282504,AMY-rh
0.346680590498326,AMY-rh
0.5392047321392084,AMY-rh
0.42035012291302665,AMY-rh
0.35241182413664895,AMY-rh
0.34127601791066,AMY-rh
0.38255078932472686,AMY-rh
0.332741089166107,AMY-rh
0.39764608876848584,AMY-rh
0.40176386605984427,AMY-rh
0.4166242558989014,AMY-rh
0.46454211429018155,AMY-rh
0.4909031154762068,AMY-rh
0.36961621559610375,AMY-rh
0.4276460683056993,AMY-rh
0.4313864817496358,AMY-rh
0.45011547832643756,AMY-rh
0.3503395229708096,AMY-rh
0.39492186026321596,AMY-rh
0.40753815721583597,AMY-rh
0.4109755453708165,AMY-rh
0.39887797761060173,AMY-rh
0.3281152571803132,AMY-rh
0.38955087804615296,AMY-rh
0.3952466817935458,AMY-rh
0.433661809785631,AMY-rh
0.38107096191065587,AMY-rh
0.41714471519090635,AMY-rh
0.4455703105492674,AMY-rh
0.43212607355062316,AMY-rh
0.2511919591703774,AMY-rh
0.40882116819086567,AMY-rh
0.41707703927650386,AMY-rh
0.3531988341438915,AMY-rh
0.44804950329287246,AMY-rh
0.41448456151957314,AMY-rh
0.3776174595349405,AMY-rh
0.4083466644328092,AMY-rh
0.5127852304927234,AMY-rh
0.42144748598935144,AMY-rh
0.42689703006702356,AMY-rh
0.4145417966674316,AMY-rh
0.4022280360082409,AMY-rh
0.4471574903350884,AMY-rh
0.4524851058761886,AMY-rh
0.4007043961722043,AMY-rh
0.41294056710539684,AMY-rh
0.35785054661457105,AMY-rh
0.4307303666475961,AMY-rh
0.40083575381363834,AMY-rh
0.3704104457374066,AMY-rh
0.3853050153376123,AMY-rh
0.4088305396704324,AMY-rh
0.4380850425591472,AMY-rh
0.41616391278417203,AMY-rh
0.4173120950248369,AMY-rh
0.3249881472196678,AMY-rh
0.3894295849036975,AMY-rh
0.38802760413712983,AMY-rh
0.4973117988500112,AMY-rh
0.2788825313282507,AMY-rh
0.42772820949575696,AMY-rh
0.39750817156429874,AMY-rh
0.40459994629777296,AMY-rh
0.3613948060354238,AMY-rh
0.44484254334668355,AMY-rh
0.4907940048221354,AMY-rh
0.5206661487689063,AMY-rh
0.3908888440194291,AMY-rh
0.38060767802708523,AMY-rh
0.39346090694733443,AMY-rh
0.40895281346074036,AMY-rh
0.34703419383236744,AMY-rh
0.40412386255509924,AMY-rh
0.36412148419040885,AMY-rh
0.5110150799391089,AMY-rh
0.3812232634233706,AMY-rh
0.4499194751052861,AMY-rh
0.35513194733134634,AMY-rh
0.40235699276800246,AMY-rh
0.4334781239548765,AMY-rh
0.4352398560631482,AMY-rh
0.33399291864158476,AMY-rh
0.4768405330656863,AMY-rh
0.43809661651397414,AMY-rh
0.41117133632710345,AMY-rh
0.5540293514661032,AMY-rh
0.4125534716532132,AMY-rh
0.4120685054747642,AMY-rh
0.32918634001715513,AMY-rh
0.45010712287112176,AMY-rh
0.41636164011043214,AMY-rh
0.45178017387882713,AMY-rh
0.4882493692032492,AMY-rh
0.36336017660956227,AMY-rh
0.46058707683690225,AMY-rh
0.46197389071472655,AMY-rh
0.29575703502607953,AMY-rh
0.41775209730717616,AMY-rh
0.4258839308633485,AMY-rh
0.4098803254026857,AMY-rh
0.4243826155689439,AMY-rh
0.4430299797100244,AMY-rh
0.44121048581710737,AMY-rh
0.5317141865878993,AMY-rh
0.3658307141255461,AMY-rh
0.45159447232209393,AMY-rh
0.41118807394425977,AMY-rh
0.390432303989296,AMY-rh
0.44850497378244025,AMY-rh
0.4038061103058852,AMY-rh
0.46759195273728515,AMY-rh
0.3387877496980873,AMY-rh
0.41455235757433406,AMY-rh
0.37605177429846415,AMY-rh
0.43913889651867266,AMY-rh
0.4434324201653723,AMY-rh
0.3769724434364014,AMY-rh
0.4504939003938294,AMY-rh
0.4693806573217977,AMY-rh
0.3575423819631078,AMY-rh
0.4107303219727525,AMY-rh
0.45786084881984807,AMY-rh
0.5082225092883813,AMY-rh
0.3418147843269556,AMY-rh
0.3513528673640651,AMY-rh
0.4247729635808163,AMY-rh
0.3825655029387736,AMY-rh
0.4643184197136381,AMY-rh
0.3068470077319738,AMY-rh
0.41768427956510534,AMY-rh
0.4800043537849723,AMY-rh
0.4103648246329394,AMY-rh
0.38888946904157207,AMY-rh
0.36013540918765596,AMY-rh
0.38456570067595885,AMY-rh
0.46024680135426554,AMY-rh
0.39297241414249917,AMY-rh
0.48543010225195565,AMY-rh
0.49365263822292027,AMY-rh
0.443012168435339,AMY-rh
0.395148219294122,AMY-rh
0.4621477275998622,AMY-rh
0.41974595421493155,AMY-rh
0.40655807133460264,AMY-rh
0.41776963801135547,AMY-rh
0.47484305047884157,AMY-rh
0.46887334951640747,AMY-rh
0.44374473357669264,AMY-rh
0.41329049025497844,AMY-rh
0.4036933299569346,AMY-rh
0.41814086894245944,AMY-rh
0.4262994935338033,AMY-rh
0.4631985722980311,AMY-rh
0.4007888898075823,AMY-rh
0.4779591354807346,AMY-rh
0.44795551855525434,AMY-rh
0.4441068989016763,AMY-rh
0.3968556267837927,AMY-rh
0.3526339150467014,AMY-rh
0.43087231025960493,AMY-rh
0.3024882307023775,AMY-rh
0.4748176966198282,AMY-rh
0.4091797354200567,AMY-rh
0.41506335010235507,AMY-rh
0.3941191575629031,AMY-rh
0.3645210207084104,AMY-rh
0.4506858971778458,AMY-rh
0.4219715506600396,AMY-rh
0.4533535084533212,AMY-rh
0.4137785905984796,AMY-rh
0.3992294648722776,AMY-rh
0.47923330473060216,AMY-rh
0.4875615494883439,AMY-rh
0.4336043620457923,AMY-rh
0.475478039575719,AMY-rh
0.333631640799529,AMY-rh
0.4361425503103229,AMY-rh
0.40740827394125934,AMY-rh
0.5124354499770409,AMY-rh
0.41396893104868066,AMY-rh
0.4446116485393026,AMY-rh
0.4807086107212352,AMY-rh
0.30060667384306516,AMY-rh
0.4473676470479361,AMY-rh
0.43589362952002,AMY-rh
0.46697437898450506,AMY-rh
0.4091488640829315,AMY-rh
0.48220788242442053,AMY-rh
0.35452649430099153,AMY-rh
0.46826112890033866,AMY-rh
0.3679847086635871,AMY-rh
0.42976488982586036,AMY-rh
0.431295950184504,AMY-rh
0.33357367079211275,AMY-rh
0.4518923880420336,AMY-rh
0.4273212587940691,AMY-rh
0.45812901827126884,AMY-rh
0.4570696443210294,AMY-rh
0.4794314572065373,AMY-rh
0.40018778451731174,AMY-rh
0.41196314388675165,AMY-rh
0.4217071398577872,AMY-rh
0.42483997433349197,AMY-rh
0.5076097192417982,AMY-rh
0.36106141061730174,AMY-rh
0.31869455421636633,AMY-rh
0.39549233897850455,AMY-rh
0.4310585369339269,AMY-rh
0.4389352614547387,AMY-rh
0.5656672929434976,AMY-rh
0.3816665426993882,AMY-rh
0.49447052392331015,AMY-rh
0.43533614109054947,AMY-rh
0.428101488595115,AMY-rh
0.41708891438058604,AMY-rh
0.4354431485573528,AMY-rh
0.4628850462596701,AMY-rh
0.4035668150310132,AMY-rh
0.4255125975801235,AMY-rh
0.4121075629786456,AMY-rh
0.3188895522461493,AMY-rh
0.4323638903917894,AMY-rh
0.35081326766139337,AMY-rh
0.4466784763438503,AMY-rh
0.4271660859255555,AMY-rh
0.3483013433898884,AMY-rh
0.4496272070039382,AMY-rh
0.3905009763794409,AMY-rh
0.35920116714907663,AMY-rh
0.38621256610185,AMY-rh
0.47178848886310953,AMY-rh
0.4273521726820737,AMY-rh
0.448127544085935,AMY-rh
0.34275756773884297,AMY-rh
0.39627652700995764,AMY-rh
0.4754017582302832,AMY-rh
0.42772757181948673,AMY-rh
0.3720615615583211,AMY-rh
0.3694892962470556,AMY-rh
0.39431528231840607,AMY-rh
0.5206834051685545,AMY-rh
0.43787700348489644,AMY-rh
0.46638810522750895,AMY-rh
0.4786685353689818,AMY-rh
0.45493445712223934,AMY-rh
0.4053812557176124,AMY-rh
0.4392797112528587,AMY-rh
0.4167591295767774,AMY-rh
0.45469633266594267,AMY-rh
0.4725425351393334,AMY-rh
0.31952313399371,AMY-rh
0.3748827235477141,AMY-rh
0.4076956627113591,AMY-rh
0.32207645457357564,AMY-rh
0.5132246449082001,AMY-rh
0.4116840482160975,AMY-rh
0.4541012892121877,AMY-rh
0.35915480211558015,AMY-rh
0.444532182930555,AMY-rh
