rho,roi
0.4300299510159067,CAU-lh
0.4135027349981298,CAU-lh
0.41701583396719855,CAU-lh
0.40620439381528217,CAU-lh
0.4885135840858137,CAU-lh
0.26941789573115993,CAU-lh
0.45395966117980824,CAU-lh
0.4185954359797316,CAU-lh
0.40391125567773256,CAU-lh
0.38000714384555906,CAU-lh
0.32307521830096814,CAU-lh
0.341063850800079,CAU-lh
0.2982352792247685,CAU-lh
0.32978094071308833,CAU-lh
0.3955061491104488,CAU-lh
0.4635350798990532,CAU-lh
0.4162112770157387,CAU-lh
0.426009004687682,CAU-lh
0.38832104936946027,CAU-lh
0.48296893403511765,CAU-lh
0.3815714687922762,CAU-lh
0.37308841036637774,CAU-lh
0.3544027209201024,CAU-lh
0.33719854572999436,CAU-lh
0.43889319570581,CAU-lh
0.4479316118601899,CAU-lh
0.3998214417960963,CAU-lh
0.41784420926124843,CAU-lh
0.510558869258593,CAU-lh
0.3824020917187908,CAU-lh
0.3279033091237031,CAU-lh
0.41313162869478687,CAU-lh
0.42274532566837086,CAU-lh
0.4389323800594807,CAU-lh
0.3261223610853634,CAU-lh
0.4240989783857336,CAU-lh
0.3746880621062234,CAU-lh
0.43190096324450455,CAU-lh
0.4477971955274993,CAU-lh
0.3338817395929292,CAU-lh
0.48111141225244203,CAU-lh
0.39290816956230884,CAU-lh
0.4318148022743836,CAU-lh
0.31345871969926686,CAU-lh
0.38258378567893075,CAU-lh
0.3214903505398574,CAU-lh
0.4236261576661551,CAU-lh
0.3378524168748315,CAU-lh
0.36429030635586124,CAU-lh
0.4306088885756395,CAU-lh
0.30861365091587123,CAU-lh
0.38739066539953465,CAU-lh
0.3960969546375269,CAU-lh
0.44394208479043723,CAU-lh
0.34506475825782074,CAU-lh
0.41547529908332803,CAU-lh
0.37644745755802744,CAU-lh
0.4093186431663437,CAU-lh
0.3909946355050152,CAU-lh
0.44599258755285465,CAU-lh
0.4435902403773999,CAU-lh
0.4167940172013166,CAU-lh
0.4566679340331542,CAU-lh
0.4915301462563431,CAU-lh
0.40913196348198516,CAU-lh
0.2828981656760944,CAU-lh
0.2777223863247286,CAU-lh
0.3951895951121285,CAU-lh
0.3793193979458932,CAU-lh
0.4021988772650244,CAU-lh
0.4607328509056142,CAU-lh
