rho,roi
0.3157098691739185,CAU-rh
0.3878469367610277,CAU-rh
0.41532029604549064,CAU-rh
0.365606828522553,CAU-rh
0.2799687451975034,CAU-rh
0.2978757837438453,CAU-rh
0.42580457538812905,CAU-rh
0.36586967540124193,CAU-rh
0.22606056203506403,CAU-rh
0.34035423058437864,CAU-rh
0.28074282035081066,CAU-rh
0.31867851209530296,CAU-rh
0.3910213108081271,CAU-rh
0.24960557056337618,CAU-rh
0.2747931063349514,CAU-rh
0.31119809398584697,CAU-rh
0.2318127814216201,CAU-rh
0.37543169038245894,CAU-rh
0.3259722155796429,CAU-rh
0.30503917092284816,CAU-rh
0.4289046140820403,CAU-rh
0.3840330700407999,CAU-rh
0.31421241805320815,CAU-rh
0.33142261014278995,CAU-rh
0.3482421754216355,CAU-rh
0.29847507463154066,CAU-rh
0.2450030069647581,CAU-rh
0.41676579666736513,CAU-rh
0.351028111808388,CAU-rh
0.25111955353370824,CAU-rh
0.3402658001128458,CAU-rh
0.34006498123626333,CAU-rh
0.35653428738859133,CAU-rh
0.28533949910766,CAU-rh
0.37996566609298826,CAU-rh
0.33555142652776015,CAU-rh
0.358929199065789,CAU-rh
0.42726803579378564,CAU-rh
0.36179774373313356,CAU-rh
0.31761787949355924,CAU-rh
0.32892466484821686,CAU-rh
0.346442093015045,CAU-rh
0.3832112020650639,CAU-rh
0.3248040391797292,CAU-rh
0.29281112357185285,CAU-rh
0.302784536598376,CAU-rh
0.271090419610478,CAU-rh
0.4043275609947081,CAU-rh
0.2941767201478537,CAU-rh
0.3728844339828134,CAU-rh
0.2527017772296442,CAU-rh
0.3104574235170362,CAU-rh
0.3993242286837286,CAU-rh
0.3449827520078518,CAU-rh
0.3002957746222011,CAU-rh
0.3040851757259012,CAU-rh
0.2297476873267238,CAU-rh
0.4033260412466091,CAU-rh
0.3245805014380128,CAU-rh
0.26977434791206445,CAU-rh
0.3730529541972407,CAU-rh
0.3488368913226364,CAU-rh
0.3329681029994962,CAU-rh
0.36472547938382777,CAU-rh
0.38631461081367663,CAU-rh
0.27015843510581233,CAU-rh
0.4435970801090893,CAU-rh
0.36947529719494704,CAU-rh
0.3463225604882623,CAU-rh
0.33685923699322234,CAU-rh
0.2951411247151908,CAU-rh
0.46172576456469633,CAU-rh
0.31093382063212044,CAU-rh
0.37692957831274393,CAU-rh
0.2777311513795274,CAU-rh
0.299275452003087,CAU-rh
0.350227039963065,CAU-rh
0.32417629340223364,CAU-rh
0.358216465794274,CAU-rh
0.3433795865400274,CAU-rh
0.39685453787643354,CAU-rh
0.26565999711477506,CAU-rh
