rho,roi
0.09120551627219385,GP-lh
0.13480569445667126,GP-lh
0.07054821835138556,GP-lh
0.05322671735903797,GP-lh
0.0739015316124412,GP-lh
0.03994884528651821,GP-lh
0.06443872008571987,GP-lh
0.011829962827263077,GP-lh
0.08670897612308874,GP-lh
0.1002882786922143,GP-lh
0.0782831214708494,GP-lh
0.1461714566199351,GP-lh
0.04071796357465783,GP-lh
0.020103114597518415,GP-lh
0.14010425984255578,GP-lh
0.11015011794068472,GP-lh
0.13446862732906895,GP-lh
0.025146932371781356,GP-lh
0.06904862324935847,GP-lh
0.08153431826197104,GP-lh
0.11146446721267317,GP-lh
0.07609487247012166,GP-lh
0.08003732904461791,GP-lh
0.025875331354182164,GP-lh
0.1317278238929914,GP-lh
0.02065714470045068,GP-lh
0.026753167683302638,GP-lh
0.03366664624544044,GP-lh
0.11864289816531806,GP-lh
0.10425260769718692,GP-lh
0.08230571234824192,GP-lh
0.0223524862968848,GP-lh
0.04712804170174949,GP-lh
0.07155552348791032,GP-lh
0.10601036937566957,GP-lh
0.13160632688134738,GP-lh
0.07476338426583379,GP-lh
0.11459123653149234,GP-lh
0.06235995755399532,GP-lh
0.10317232889584413,GP-lh
0.05289364518633048,GP-lh
0.11415524463717076,GP-lh
0.02667353239190979,GP-lh
0.09065689828563844,GP-lh
0.04693160309272646,GP-lh
0.10277929375200519,GP-lh
0.08683840111059744,GP-lh
0.0919027474730189,GP-lh
0.06364221252770161,GP-lh
0.06187325190136126,GP-lh
0.1637481399299352,GP-lh
0.059524070659413925,GP-lh
0.04058052435044476,GP-lh
0.06799152527624777,GP-lh
0.1600936810267019,GP-lh
0.08473110137990204,GP-lh
0.06548856549868665,GP-lh
0.0755932914461903,GP-lh
0.08169101823413182,GP-lh
0.11368942928404552,GP-lh
0.1441836606827071,GP-lh
0.10538025956750723,GP-lh
0.058865756528341716,GP-lh
0.06521532498085883,GP-lh
0.07636290839753268,GP-lh
0.09290549443903168,GP-lh
0.1198860936219893,GP-lh
0.08743416127159225,GP-lh
0.04886123822175904,GP-lh
0.055760732181249294,GP-lh
0.05947938207543317,GP-lh
0.0930477526282529,GP-lh
0.11514631611009557,GP-lh
0.11292771331718258,GP-lh
0.14435723850547533,GP-lh
0.13635360811317054,GP-lh
0.004510624710039043,GP-lh
0.13652845818858847,GP-lh
0.1623413626367057,GP-lh
0.04046250570143106,GP-lh
0.039708091584375674,GP-lh
0.07267150017162269,GP-lh
0.047762247264374225,GP-lh
0.11498147174497614,GP-lh
0.10673214487420067,GP-lh
0.13945524556608074,GP-lh
0.1315721501981633,GP-lh
0.1091433520516279,GP-lh
0.017998233686653237,GP-lh
0.18375437438087946,GP-lh
0.06295839844758058,GP-lh
0.09952524117726269,GP-lh
0.14387230062686018,GP-lh
0.14004023783305136,GP-lh
0.05576244129919755,GP-lh
0.15908681981000894,GP-lh
0.07553755957409339,GP-lh
0.16544645778517353,GP-lh
0.11624831972592546,GP-lh
0.09118892605415255,GP-lh
0.08142693125379094,GP-lh
0.11659268456700031,GP-lh
0.04546434485146566,GP-lh
0.12905694000503576,GP-lh
0.02945091279739612,GP-lh
0.1221572768139014,GP-lh
0.06631903602785373,GP-lh
0.08593561263504261,GP-lh
0.12474866993386224,GP-lh
0.08099344528798647,GP-lh
0.06201029994075976,GP-lh
0.061404848403556034,GP-lh
0.06332049566476902,GP-lh
0.10953605464670577,GP-lh
0.14465110610650453,GP-lh
0.055006460285620465,GP-lh
0.07310005034733755,GP-lh
0.08324746230551627,GP-lh
0.1340333625902022,GP-lh
0.11127623056915072,GP-lh
0.08823972633005318,GP-lh
0.1206228188751611,GP-lh
0.12041712489722182,GP-lh
0.07908549178616647,GP-lh
0.07612717060063712,GP-lh
0.09003937589530943,GP-lh
0.06990079611826581,GP-lh
0.06474468767447053,GP-lh
0.03359334252516436,GP-lh
0.10986053513245383,GP-lh
0.05635552930846682,GP-lh
0.022102379070979693,GP-lh
0.07949024169655228,GP-lh
0.12847225534951154,GP-lh
0.129306103114234,GP-lh
0.0742145563079795,GP-lh
0.10763132412714968,GP-lh
0.1035335853929791,GP-lh
0.07841674483234845,GP-lh
0.1182175645619074,GP-lh
0.13631872971105186,GP-lh
0.053211880594306385,GP-lh
0.10955245472356642,GP-lh
0.06818340106714806,GP-lh
0.09542484641713911,GP-lh
0.07799245684954995,GP-lh
0.10700914831490924,GP-lh
0.10063519001268195,GP-lh
0.15870485104481696,GP-lh
0.06779782462528514,GP-lh
0.046932726270909324,GP-lh
0.13140819702188863,GP-lh
0.15075443588077414,GP-lh
0.09676773438108845,GP-lh
0.11892324985705449,GP-lh
0.130463756659428,GP-lh
0.11900437826372032,GP-lh
0.11000209518737027,GP-lh
0.07320512649326194,GP-lh
0.0552160753677584,GP-lh
0.11641251251157218,GP-lh
0.09138776620311617,GP-lh
0.10506658767862967,GP-lh
0.1095172332430918,GP-lh
-0.00045866688367912026,GP-lh
0.10388733266341786,GP-lh
0.08392106121723605,GP-lh
0.11806933549460251,GP-lh
0.05709624176303063,GP-lh
0.17568738024762665,GP-lh
0.08646734793390991,GP-lh
0.06531116711814461,GP-lh
0.062370555322536395,GP-lh
0.13865086518811137,GP-lh
0.0866307678289934,GP-lh
0.05980210605142294,GP-lh
0.13339738187670291,GP-lh
0.1137014642170068,GP-lh
0.05029762434507548,GP-lh
0.15461063078550014,GP-lh
0.043640925438796566,GP-lh
0.04977435240135653,GP-lh
0.13112973763788605,GP-lh
0.12430804459494921,GP-lh
