rho,roi
0.16769526119936004,GP-rh
0.15433852332087794,GP-rh
0.10219291324338838,GP-rh
0.18932896960094867,GP-rh
0.0644920280415604,GP-rh
0.057427924770364194,GP-rh
0.06950753990899813,GP-rh
0.007192885765399344,GP-rh
0.09887669358293596,GP-rh
0.16923627195325894,GP-rh
0.17837018566385182,GP-rh
0.20686722456720738,GP-rh
0.10607527479155696,GP-rh
0.1499291158318628,GP-rh
0.18198253739099368,GP-rh
0.17745878297387918,GP-rh
0.19599437290874666,GP-rh
0.08471588475892451,GP-rh
0.1466268530989755,GP-rh
0.1779744347743998,GP-rh
0.09157876128805474,GP-rh
0.14607218909058173,GP-rh
0.12858721944038343,GP-rh
0.0637560467125157,GP-rh
0.1776528736062746,GP-rh
0.08033609233856445,GP-rh
0.07852743553021758,GP-rh
0.15092284763662908,GP-rh
0.1796366772751692,GP-rh
0.13465061818981933,GP-rh
0.08509508385021716,GP-rh
0.11717297546688428,GP-rh
0.12418704041432277,GP-rh
0.1528152996921761,GP-rh
0.1252787533988624,GP-rh
0.18329384700901313,GP-rh
0.05125178355871674,GP-rh
0.13464654011225827,GP-rh
0.09202284834370639,GP-rh
0.06383455004045124,GP-rh
0.05933466855141184,GP-rh
0.15382293627045893,GP-rh
0.13962451084878408,GP-rh
0.12942278797592893,GP-rh
0.1170438925739406,GP-rh
0.14882615676909416,GP-rh
0.12119827418946977,GP-rh
0.13153489574475588,GP-rh
0.1277500863454941,GP-rh
0.12449793811540291,GP-rh
0.07626467101329773,GP-rh
0.029896689739114225,GP-rh
0.11597819686214968,GP-rh
0.1458841022616,GP-rh
0.1378562126566022,GP-rh
0.11943330475297603,GP-rh
0.1444548140267234,GP-rh
0.1050676825905885,GP-rh
0.10099619944651084,GP-rh
0.07424578485157528,GP-rh
0.14618845025550148,GP-rh
0.11563354144246955,GP-rh
0.10500670318712377,GP-rh
0.10047735429292808,GP-rh
0.0977266175833419,GP-rh
0.07640240815074904,GP-rh
0.07368738189361379,GP-rh
0.1276142657427346,GP-rh
0.10239426961744992,GP-rh
0.13064663683764785,GP-rh
0.20362049193116258,GP-rh
0.12322715856313947,GP-rh
0.15522185076029174,GP-rh
0.13659341162712857,GP-rh
0.10070973510228037,GP-rh
0.18983789578453136,GP-rh
0.10116408967950474,GP-rh
0.053358883859040765,GP-rh
0.06692880640274021,GP-rh
0.12884615548313366,GP-rh
0.11781240467853138,GP-rh
0.1305934484453136,GP-rh
0.13342477323404495,GP-rh
0.1122534172183465,GP-rh
0.0423618749928889,GP-rh
0.14390463740690537,GP-rh
0.12453607273632285,GP-rh
0.06006046985667071,GP-rh
0.20617512036259267,GP-rh
0.12319315727491084,GP-rh
0.09120460413080486,GP-rh
0.10970201612780972,GP-rh
0.10216597794345697,GP-rh
0.05420723659625617,GP-rh
0.11443986794839961,GP-rh
0.11051425252826524,GP-rh
0.1482468290285429,GP-rh
0.15273717405835038,GP-rh
0.12601869691891202,GP-rh
0.06583267604396849,GP-rh
0.16076845606285978,GP-rh
0.13662249141331456,GP-rh
0.1497223708739903,GP-rh
0.1392930580359866,GP-rh
0.12250507693960586,GP-rh
0.16300911591448197,GP-rh
0.11399412464092465,GP-rh
0.07508191425103865,GP-rh
0.11741275746700149,GP-rh
0.040762972642749626,GP-rh
0.09384551812871478,GP-rh
0.12897437056122368,GP-rh
0.09090745330500438,GP-rh
0.11291244938390244,GP-rh
0.05095199544709242,GP-rh
0.11303801017119626,GP-rh
0.09163158201178112,GP-rh
0.22767578285041248,GP-rh
-0.014403649735165154,GP-rh
0.11917629608155356,GP-rh
0.07243088311928118,GP-rh
0.14402223595192332,GP-rh
0.11866966077435359,GP-rh
0.09004205323243544,GP-rh
0.16732783051163563,GP-rh
0.15522127778345557,GP-rh
0.11016222491779962,GP-rh
0.12957039145753055,GP-rh
0.07894713360226613,GP-rh
0.07127419704034567,GP-rh
0.14925491076446462,GP-rh
0.14615862813235525,GP-rh
