rho,roi
0.3840340779549046,HIP-lh
0.36571573104013133,HIP-lh
0.41175568848466404,HIP-lh
0.40475169194797733,HIP-lh
0.3779935028127141,HIP-lh
0.4351864207623111,HIP-lh
0.36953570972031524,HIP-lh
0.39219204832966237,HIP-lh
0.41540322586362566,HIP-lh
0.34675407028932137,HIP-lh
0.37883229136474245,HIP-lh
0.3941616488283238,HIP-lh
0.45694331488712825,HIP-lh
0.33707354408133805,HIP-lh
0.3591782627405996,HIP-lh
0.4311544744141853,HIP-lh
0.41871021946681786,HIP-lh
0.38633484460576806,HIP-lh
0.3846867851325889,HIP-lh
0.4069307846032315,HIP-lh
0.36520485499178945,HIP-lh
0.36393068121105465,HIP-lh
0.4618182895668681,HIP-lh
0.3932095486778297,HIP-lh
0.3976210389418465,HIP-lh
0.37109562838964066,HIP-lh
0.4443891083996777,HIP-lh
0.4466873513526524,HIP-lh
0.37691418586635067,HIP-lh
0.31198371565826355,HIP-lh
0.4108030078843816,HIP-lh
0.381202927497799,HIP-lh
0.43500343402326347,HIP-lh
0.34968003299188866,HIP-lh
0.41548153793511067,HIP-lh
0.4012307328082864,HIP-lh
0.33409407990469125,HIP-lh
0.384359645389854,HIP-lh
0.423440954024433,HIP-lh
0.443726224442753,HIP-lh
0.36877169254978664,HIP-lh
0.38625803454586033,HIP-lh
0.40637571211138757,HIP-lh
0.448544797399118,HIP-lh
0.4390642944615646,HIP-lh
0.3852676534199291,HIP-lh
0.3482777890892744,HIP-lh
0.3559044926303348,HIP-lh
0.31117668129341414,HIP-lh
0.32690530536370793,HIP-lh
0.35309137304083915,HIP-lh
0.4625898903654876,HIP-lh
0.43870499828598,HIP-lh
0.3431706295214273,HIP-lh
0.4356650893848123,HIP-lh
0.4051342645847446,HIP-lh
0.3237274982602354,HIP-lh
0.3685037925001344,HIP-lh
0.38117860324922376,HIP-lh
0.41244576011078615,HIP-lh
0.43032873299734836,HIP-lh
0.41854428478539746,HIP-lh
0.3603822707470309,HIP-lh
0.423598755874778,HIP-lh
0.35333743989342703,HIP-lh
0.4239862864893967,HIP-lh
0.38776502297846643,HIP-lh
0.41587897447752126,HIP-lh
0.3656388016653389,HIP-lh
0.39713412145828836,HIP-lh
0.2907566317184415,HIP-lh
0.40261350781812966,HIP-lh
0.40990680044201006,HIP-lh
0.3690209143365334,HIP-lh
0.42609121907078906,HIP-lh
0.44764080255490774,HIP-lh
0.4237941560244286,HIP-lh
0.37294425912739415,HIP-lh
0.3678414083778384,HIP-lh
0.5045876355907307,HIP-lh
0.3731351099739772,HIP-lh
0.42782128981101397,HIP-lh
0.36843921320266065,HIP-lh
0.36246792678347667,HIP-lh
0.35813186723142776,HIP-lh
0.42433619038289716,HIP-lh
0.37277820003831863,HIP-lh
0.381916984266652,HIP-lh
0.40655800001223436,HIP-lh
0.47190920976441597,HIP-lh
0.3750151792701284,HIP-lh
0.3895485483437793,HIP-lh
0.3926404669149486,HIP-lh
0.40810616822846124,HIP-lh
0.3113556958849045,HIP-lh
0.3412581506456795,HIP-lh
0.34927585000198846,HIP-lh
0.374918504607587,HIP-lh
0.349019778417012,HIP-lh
0.37118708150260854,HIP-lh
0.38541726389642306,HIP-lh
0.4361113753307827,HIP-lh
0.25814053203504206,HIP-lh
0.39255844972417336,HIP-lh
0.4477876574645232,HIP-lh
0.37771075898967144,HIP-lh
0.44127760081992295,HIP-lh
0.39200669788103654,HIP-lh
0.46290848102851945,HIP-lh
0.32063886996333446,HIP-lh
0.36949465745353066,HIP-lh
0.39195985853973453,HIP-lh
0.41770298045308385,HIP-lh
0.37825476505967515,HIP-lh
0.2915753987853965,HIP-lh
0.27141159626204125,HIP-lh
0.35656742401713654,HIP-lh
0.45021624561376383,HIP-lh
0.407254393812972,HIP-lh
0.31463709025216263,HIP-lh
0.3845136484832913,HIP-lh
0.4000836570676374,HIP-lh
0.3903887393598407,HIP-lh
0.367489915730939,HIP-lh
0.46766048040512415,HIP-lh
0.3612412187108726,HIP-lh
0.3547223795164246,HIP-lh
0.34572024452088235,HIP-lh
0.3946408069663351,HIP-lh
0.3251670998102321,HIP-lh
0.4624549282709797,HIP-lh
0.39473444417474124,HIP-lh
0.3813074996350321,HIP-lh
0.4270570276499725,HIP-lh
0.3557029284998529,HIP-lh
0.4672877031366519,HIP-lh
0.38345665823172875,HIP-lh
0.4135291904580806,HIP-lh
0.3824838507236792,HIP-lh
0.3791219749453081,HIP-lh
0.37966197850427297,HIP-lh
0.33764100317480267,HIP-lh
0.42950396627588433,HIP-lh
0.40864700826902206,HIP-lh
0.40757750025658773,HIP-lh
0.4604454498926819,HIP-lh
0.3541396145072878,HIP-lh
0.35080060863838214,HIP-lh
0.4758809971900554,HIP-lh
0.32816440132866564,HIP-lh
0.35685111362214994,HIP-lh
0.37958805142165486,HIP-lh
0.45070221568495494,HIP-lh
0.4675229974488816,HIP-lh
0.30587510681749663,HIP-lh
0.3609809128257557,HIP-lh
0.3512498036419198,HIP-lh
0.3932050447648607,HIP-lh
0.3805292214991419,HIP-lh
0.40179397379454973,HIP-lh
0.2741577674503662,HIP-lh
0.40257041099432866,HIP-lh
0.28802310744086185,HIP-lh
0.36585072795385765,HIP-lh
0.3565356739657078,HIP-lh
0.39728410859742547,HIP-lh
0.46155560985343547,HIP-lh
0.44218906179244083,HIP-lh
0.4461717172740918,HIP-lh
0.47216270020668927,HIP-lh
0.3971687837629294,HIP-lh
0.44314112544486667,HIP-lh
0.41873526538524564,HIP-lh
0.3453336398983761,HIP-lh
0.32787677558303696,HIP-lh
0.4475716485695469,HIP-lh
0.425020273103229,HIP-lh
0.456929333196622,HIP-lh
0.4417697358760531,HIP-lh
0.4117132824722875,HIP-lh
0.3580776976617231,HIP-lh
0.353489669195523,HIP-lh
0.431194943811632,HIP-lh
0.39485891397966827,HIP-lh
0.36044234387370555,HIP-lh
0.40701555921774657,HIP-lh
0.47815262566917305,HIP-lh
0.3539471099595751,HIP-lh
0.40336854493681873,HIP-lh
0.3408283988551484,HIP-lh
0.3956998292481235,HIP-lh
0.3486657178951459,HIP-lh
0.4064519303738806,HIP-lh
0.30998704810476446,HIP-lh
0.43098237159705843,HIP-lh
0.3813536668401225,HIP-lh
0.37435643637597377,HIP-lh
0.3755101487957594,HIP-lh
0.36728052879572104,HIP-lh
0.3612505033691342,HIP-lh
0.3896935921293716,HIP-lh
0.43075092082793953,HIP-lh
0.39956357579296603,HIP-lh
0.39416029861305635,HIP-lh
0.4797803854620979,HIP-lh
0.33508894724723187,HIP-lh
0.36532239506144926,HIP-lh
0.34959711721047443,HIP-lh
0.40414077000798393,HIP-lh
0.4102133895146803,HIP-lh
0.36330245917670845,HIP-lh
0.38719462042651415,HIP-lh
0.4100450720789002,HIP-lh
0.4381843434273144,HIP-lh
0.3996772576715998,HIP-lh
0.3705041801923481,HIP-lh
0.38695884280730825,HIP-lh
0.4015126083973166,HIP-lh
0.30491809502952405,HIP-lh
0.35749460867174654,HIP-lh
0.29080582318613213,HIP-lh
0.44275088748093966,HIP-lh
0.3485853031289723,HIP-lh
0.39455437372115487,HIP-lh
0.3181041582737603,HIP-lh
0.39693525454171835,HIP-lh
0.3642618157280686,HIP-lh
0.4174494388816371,HIP-lh
0.39249173466865056,HIP-lh
0.3975197999392287,HIP-lh
0.3612707215278741,HIP-lh
0.42634783886080185,HIP-lh
0.41772062348723643,HIP-lh
0.3932042685118986,HIP-lh
0.3750093819922711,HIP-lh
0.3112661654444158,HIP-lh
0.4187500503116677,HIP-lh
0.3636812815972323,HIP-lh
0.30703379025150246,HIP-lh
0.3621331770572946,HIP-lh
0.4680524059511701,HIP-lh
0.39711229487339206,HIP-lh
0.40414228412006226,HIP-lh
0.47678769542058297,HIP-lh
0.44134351488435336,HIP-lh
0.350020358415262,HIP-lh
0.40754665300418236,HIP-lh
0.4827045156785864,HIP-lh
0.407092932758395,HIP-lh
0.30899693411017526,HIP-lh
0.26002640324275544,HIP-lh
0.3687547302581884,HIP-lh
0.39990961793737745,HIP-lh
0.3603469164739147,HIP-lh
0.4096123330224696,HIP-lh
0.36948002548865744,HIP-lh
0.3741415497296695,HIP-lh
0.38382413736309295,HIP-lh
0.370294764192471,HIP-lh
0.4941226138292417,HIP-lh
0.43173886950306933,HIP-lh
0.4354986793310859,HIP-lh
0.37288431310697046,HIP-lh
0.42927229111318194,HIP-lh
0.41164896129226736,HIP-lh
0.382902616106925,HIP-lh
0.4270761267349523,HIP-lh
0.37838018833027226,HIP-lh
0.3458067751147231,HIP-lh
0.393877002877317,HIP-lh
0.366340424695787,HIP-lh
0.41294479778598825,HIP-lh
0.43114039174541696,HIP-lh
0.45124492601451804,HIP-lh
0.36330258404397375,HIP-lh
0.4126222313501001,HIP-lh
0.4470186868072503,HIP-lh
0.335783705457568,HIP-lh
0.3744159998397132,HIP-lh
0.39919586619703695,HIP-lh
0.4473738150189476,HIP-lh
0.42407261391567075,HIP-lh
0.35702879229939416,HIP-lh
0.3561867313474073,HIP-lh
0.39939795935449984,HIP-lh
0.3529968018550128,HIP-lh
0.43680539842859906,HIP-lh
0.3959418717816373,HIP-lh
0.4742457673592414,HIP-lh
0.3974345459475591,HIP-lh
0.3866841455448262,HIP-lh
0.367397474325543,HIP-lh
0.4297802485019919,HIP-lh
0.25490735091276734,HIP-lh
0.3871267023473858,HIP-lh
0.37803696104914697,HIP-lh
0.4078183397330827,HIP-lh
0.4083415614552172,HIP-lh
0.377429189430159,HIP-lh
0.3681863607872912,HIP-lh
0.3950999557422517,HIP-lh
0.47795412345520294,HIP-lh
0.4845018146189557,HIP-lh
0.3718256038697866,HIP-lh
0.3530984691890977,HIP-lh
0.41937390618416825,HIP-lh
0.3796144690753426,HIP-lh
0.36220712037223834,HIP-lh
0.3851438613735485,HIP-lh
0.3935445050416494,HIP-lh
0.28356279351397157,HIP-lh
0.37728778497144805,HIP-lh
0.32956421711512984,HIP-lh
0.4019365131622689,HIP-lh
0.4378657262960783,HIP-lh
0.423862158240369,HIP-lh
0.37969666799486135,HIP-lh
0.39687226567939743,HIP-lh
0.4146866833947192,HIP-lh
0.44365528886906586,HIP-lh
0.3393499791777737,HIP-lh
0.33174228105431874,HIP-lh
0.42131548934485297,HIP-lh
0.4190683292978532,HIP-lh
0.39276172938205944,HIP-lh
0.3396552835984057,HIP-lh
0.394609942819926,HIP-lh
0.45482381897846286,HIP-lh
0.38737815114172225,HIP-lh
0.3343469901398839,HIP-lh
0.4001767070343898,HIP-lh
0.4417290347032639,HIP-lh
0.42110779659625275,HIP-lh
0.42131626910051023,HIP-lh
0.3702459190369572,HIP-lh
0.41083144479776773,HIP-lh
0.3610073817648132,HIP-lh
0.34470164378359475,HIP-lh
0.3536473760460557,HIP-lh
0.4411582682260516,HIP-lh
0.2940558857595629,HIP-lh
0.3907032117592287,HIP-lh
0.4220399478284089,HIP-lh
0.34210333579829133,HIP-lh
0.3624762861250654,HIP-lh
0.3817227023901011,HIP-lh
0.32595178926096346,HIP-lh
0.41182089500156327,HIP-lh
0.3729306773668482,HIP-lh
0.4445277075953931,HIP-lh
0.35779010641896347,HIP-lh
0.4363451641949256,HIP-lh
0.4211950572248525,HIP-lh
0.4319065953034308,HIP-lh
0.32675769077867334,HIP-lh
0.43407188686851117,HIP-lh
0.4083023948449343,HIP-lh
0.4238920293397436,HIP-lh
0.38109022999930264,HIP-lh
0.2978955135448721,HIP-lh
0.3933649067823751,HIP-lh
0.3850078175095148,HIP-lh
0.4182243787550879,HIP-lh
0.46819501871805436,HIP-lh
0.36441540123765287,HIP-lh
0.4005711419877859,HIP-lh
0.44443007228736164,HIP-lh
0.36130737679219616,HIP-lh
0.40573878849718714,HIP-lh
0.39549719984691456,HIP-lh
0.29371626260534267,HIP-lh
0.3374000218834524,HIP-lh
0.41141876772655167,HIP-lh
0.42088657037739774,HIP-lh
0.35424134382403527,HIP-lh
0.37326857426003557,HIP-lh
0.4433234694623765,HIP-lh
0.34245961326367214,HIP-lh
0.4273511607624788,HIP-lh
0.4318040913463594,HIP-lh
0.3650522484053919,HIP-lh
0.45077434882748185,HIP-lh
0.3758244719519399,HIP-lh
0.3976080396276367,HIP-lh
0.4029118132744314,HIP-lh
0.4228668082001763,HIP-lh
0.30589310496697303,HIP-lh
0.3716412629049627,HIP-lh
0.3364394641228593,HIP-lh
0.3363804748449491,HIP-lh
0.39094893066721204,HIP-lh
0.39849603009663953,HIP-lh
0.4175846550979013,HIP-lh
0.36569791227622067,HIP-lh
0.36087885550002907,HIP-lh
0.398556468594396,HIP-lh
0.4668580485445788,HIP-lh
0.42134289173729633,HIP-lh
0.36424731007546274,HIP-lh
0.3598673977312475,HIP-lh
0.5053228756381781,HIP-lh
0.36915983367261446,HIP-lh
0.3455567031067448,HIP-lh
0.4377598178414053,HIP-lh
0.4253759978502863,HIP-lh
0.4612660747762525,HIP-lh
0.4382708569753698,HIP-lh
0.4125888218226689,HIP-lh
0.30177601230586637,HIP-lh
0.37383912079760373,HIP-lh
0.3219839733969537,HIP-lh
0.4456209998309694,HIP-lh
0.39976166062068696,HIP-lh
0.44885872691985285,HIP-lh
0.4209826210459329,HIP-lh
0.3763239479445113,HIP-lh
0.4742583392139851,HIP-lh
0.36495326675956075,HIP-lh
0.4349352918634465,HIP-lh
0.33294509086354723,HIP-lh
0.36567365041120925,HIP-lh
0.35427333561335717,HIP-lh
0.3414348332012853,HIP-lh
0.4284868378346165,HIP-lh
0.383088869992418,HIP-lh
0.4060715148623661,HIP-lh
0.4164521280720679,HIP-lh
0.3657484756865531,HIP-lh
0.4772948584681366,HIP-lh
0.4837518782388509,HIP-lh
0.45573040494112854,HIP-lh
0.36911213141995014,HIP-lh
0.4322530320353454,HIP-lh
0.361403657066377,HIP-lh
0.38224887566781396,HIP-lh
0.3507600232492739,HIP-lh
0.4244067273818263,HIP-lh
0.40406770584950563,HIP-lh
0.4620496060790876,HIP-lh
0.42137817743732214,HIP-lh
0.4464764716612555,HIP-lh
0.39677780964809084,HIP-lh
0.42340281549705994,HIP-lh
0.3784962043865575,HIP-lh
0.4062857091903389,HIP-lh
0.37032928166068046,HIP-lh
0.47202533436332667,HIP-lh
0.43641287268719675,HIP-lh
0.2997566739978993,HIP-lh
0.39749891878338384,HIP-lh
0.39240955784486,HIP-lh
0.4541020596720744,HIP-lh
0.40939469244074045,HIP-lh
0.2870171108453551,HIP-lh
0.4944554411187779,HIP-lh
0.365848879284194,HIP-lh
0.37858164490216406,HIP-lh
0.3915085552148223,HIP-lh
0.3768063528273423,HIP-lh
0.4340215428031111,HIP-lh
0.4447246135202769,HIP-lh
0.3740330496194114,HIP-lh
0.3582314043320055,HIP-lh
0.366280451814078,HIP-lh
0.3876716423435029,HIP-lh
0.4498848989297277,HIP-lh
0.38308904365405905,HIP-lh
0.5031895868804701,HIP-lh
0.4250332253125837,HIP-lh
0.3210491014439657,HIP-lh
0.34189196280952927,HIP-lh
0.40074424839722755,HIP-lh
0.35745784754305243,HIP-lh
0.38780776464854344,HIP-lh
0.42929071658691986,HIP-lh
0.35281877072968276,HIP-lh
0.36730210808258706,HIP-lh
0.34351963799535196,HIP-lh
0.36244551755328586,HIP-lh
0.40399378402381725,HIP-lh
0.3470573608139799,HIP-lh
0.478024450154412,HIP-lh
0.3887640964148125,HIP-lh
0.4899315046015955,HIP-lh
0.41031896509578974,HIP-lh
