rho,roi
0.32205114769933085,HIP-rh
0.22057564755349862,HIP-rh
0.3037452428683736,HIP-rh
0.24626454786879717,HIP-rh
0.24760381641064194,HIP-rh
0.20796559172014345,HIP-rh
0.28591409899163156,HIP-rh
0.21784185302230058,HIP-rh
0.2544323042141479,HIP-rh
0.29823531242594997,HIP-rh
0.2623751460505659,HIP-rh
0.26743994086770834,HIP-rh
0.21441129703170392,HIP-rh
0.20150086885880408,HIP-rh
0.34612626051396955,HIP-rh
0.18920976846165175,HIP-rh
0.3065209728312541,HIP-rh
0.32334168201997027,HIP-rh
0.23687865646213987,HIP-rh
0.16719757837128282,HIP-rh
0.2519490279495463,HIP-rh
0.30919980893509286,HIP-rh
0.31504132400372253,HIP-rh
0.372817261039501,HIP-rh
0.2811314479990593,HIP-rh
0.23446619582596734,HIP-rh
0.26662879071415363,HIP-rh
0.2908364458492697,HIP-rh
0.2570823410779943,HIP-rh
0.3017179310238183,HIP-rh
0.24987103844024422,HIP-rh
0.3111538879844801,HIP-rh
0.24414416167759526,HIP-rh
0.2389097447269804,HIP-rh
0.32251509014399815,HIP-rh
0.30299626808456614,HIP-rh
0.23417460770615872,HIP-rh
0.20208870621319208,HIP-rh
0.29389285487384914,HIP-rh
0.2556075333037664,HIP-rh
0.27271876831664754,HIP-rh
0.20638744799196532,HIP-rh
0.3346615538794262,HIP-rh
0.271414209450118,HIP-rh
0.21093709415575784,HIP-rh
0.2494865658025509,HIP-rh
0.2554338101097842,HIP-rh
0.17410813165846462,HIP-rh
0.26668858135244067,HIP-rh
0.24201328558699686,HIP-rh
0.24586309982530402,HIP-rh
0.388426303325347,HIP-rh
0.2641423579950439,HIP-rh
0.25674090426899876,HIP-rh
0.22666420238189913,HIP-rh
0.27878430202522153,HIP-rh
0.2454001454896487,HIP-rh
0.27745567327011017,HIP-rh
0.2850396228950106,HIP-rh
0.22198068416070757,HIP-rh
0.29000592740575504,HIP-rh
0.2739564195831296,HIP-rh
0.29363274883300294,HIP-rh
0.2672058107646935,HIP-rh
0.25806616419673944,HIP-rh
0.2518448321294601,HIP-rh
0.24596176785902488,HIP-rh
0.29490699135228016,HIP-rh
0.3233776772246513,HIP-rh
0.24631953442262344,HIP-rh
0.28622517007771964,HIP-rh
0.17957089509325783,HIP-rh
0.23334545533369683,HIP-rh
0.2688927746201049,HIP-rh
0.2440165554873534,HIP-rh
0.34803648907811563,HIP-rh
0.3103731074031273,HIP-rh
0.24115915787025344,HIP-rh
0.2829637089523145,HIP-rh
0.2610965501089353,HIP-rh
0.37800799841368427,HIP-rh
0.2246187140051575,HIP-rh
0.27006640518159225,HIP-rh
0.27628031626982397,HIP-rh
0.20476685688504295,HIP-rh
0.26382011300233776,HIP-rh
0.19697039920812856,HIP-rh
0.19713512841069433,HIP-rh
0.3053029481447739,HIP-rh
0.3192691220849438,HIP-rh
0.3035994151472946,HIP-rh
0.24393617586710073,HIP-rh
0.18998254836043946,HIP-rh
0.24067942091957056,HIP-rh
0.20152792934225383,HIP-rh
0.21465842484718614,HIP-rh
0.33719144920824135,HIP-rh
0.3117041600147033,HIP-rh
0.18459021692858657,HIP-rh
0.19795298368646383,HIP-rh
0.32988492714653384,HIP-rh
0.3525592305758305,HIP-rh
0.23726976304847006,HIP-rh
0.3528809401788918,HIP-rh
0.3305263665118625,HIP-rh
0.3026015665427789,HIP-rh
0.28528810875885807,HIP-rh
0.2971551151722313,HIP-rh
0.237999092739059,HIP-rh
0.29901386383756107,HIP-rh
0.27163596296959147,HIP-rh
0.34236212642674146,HIP-rh
0.22727309397893353,HIP-rh
0.2269744301187706,HIP-rh
0.2527903739333582,HIP-rh
0.2847747022993039,HIP-rh
0.19804860159868462,HIP-rh
0.2533822820395214,HIP-rh
0.29525831900439803,HIP-rh
