rho,roi
-0.04822062239504446,L_47s_ROI
-0.030002817324707196,L_47s_ROI
-0.07208950840105594,L_47s_ROI
-0.023706078050373214,L_47s_ROI
0.0024242841983198853,L_47s_ROI
-0.0021489432874335114,L_47s_ROI
-0.02986373203884289,L_47s_ROI
-0.06004774963450776,L_47s_ROI
0.044703218519835414,L_47s_ROI
-0.06459700228313972,L_47s_ROI
-0.057966976559650454,L_47s_ROI
-0.07951102681035992,L_47s_ROI
-0.012447663536589656,L_47s_ROI
-0.03929778425815734,L_47s_ROI
0.061913293693255725,L_47s_ROI
-0.02949707551291133,L_47s_ROI
-0.045568345770672536,L_47s_ROI
5.95133471942462e-05,L_47s_ROI
-0.023396126295205523,L_47s_ROI
-0.0012145100730800475,L_47s_ROI
-0.02228263818182746,L_47s_ROI
-0.0543190780139409,L_47s_ROI
-0.030460403135440958,L_47s_ROI
-0.07490806078512535,L_47s_ROI
-0.0793727498809819,L_47s_ROI
-9.719061988914396e-05,L_47s_ROI
-0.02881784965323661,L_47s_ROI
-0.04813426848703591,L_47s_ROI
-0.14321939723124102,L_47s_ROI
-0.03804206505875858,L_47s_ROI
-0.07926159149125364,L_47s_ROI
-0.00431790222241869,L_47s_ROI
-0.025674086989271223,L_47s_ROI
-0.02853292608424593,L_47s_ROI
-0.01712163727264314,L_47s_ROI
-0.011868253831989086,L_47s_ROI
-0.02455580499613836,L_47s_ROI
-0.039578336107410156,L_47s_ROI
-0.034191965380393846,L_47s_ROI
-0.05966467846914718,L_47s_ROI
-0.026981378590594005,L_47s_ROI
-0.024155978627078155,L_47s_ROI
-0.036288045757047464,L_47s_ROI
-0.07168160424131112,L_47s_ROI
0.003451173671334887,L_47s_ROI
-0.016072419227213877,L_47s_ROI
-0.11009540688933663,L_47s_ROI
-0.07792380925208156,L_47s_ROI
-0.03802890953067013,L_47s_ROI
-0.038105902010483694,L_47s_ROI
-0.07491972382770365,L_47s_ROI
-0.014734649942195383,L_47s_ROI
-0.031758989238040165,L_47s_ROI
0.036873749832671686,L_47s_ROI
-0.042028424213930465,L_47s_ROI
-0.02368947777350019,L_47s_ROI
-0.03612581994902402,L_47s_ROI
-0.055420763657300115,L_47s_ROI
0.00934154366591353,L_47s_ROI
-0.06937970549538583,L_47s_ROI
-0.12161937995685497,L_47s_ROI
-0.038079995309632825,L_47s_ROI
