rho,roi
0.5246445019848094,L_7AL_ROI
0.3776472822545528,L_7AL_ROI
0.3865816309761845,L_7AL_ROI
0.42866464788877967,L_7AL_ROI
0.4854624469092179,L_7AL_ROI
0.4074846429810932,L_7AL_ROI
0.43874917456698975,L_7AL_ROI
0.3505506217593787,L_7AL_ROI
0.40652560520837855,L_7AL_ROI
0.3865195642711947,L_7AL_ROI
0.46382096059537226,L_7AL_ROI
0.3862330841403462,L_7AL_ROI
0.4463684287583804,L_7AL_ROI
0.5031345933102734,L_7AL_ROI
0.4694120237013305,L_7AL_ROI
0.34923358374822355,L_7AL_ROI
0.39165131054355873,L_7AL_ROI
0.5010888155387915,L_7AL_ROI
0.4652388692998065,L_7AL_ROI
0.44261026750899624,L_7AL_ROI
0.3633252165905827,L_7AL_ROI
0.5044917790410469,L_7AL_ROI
0.397272720616196,L_7AL_ROI
0.46069483853819937,L_7AL_ROI
0.42573128266616267,L_7AL_ROI
0.3838144164976399,L_7AL_ROI
0.45705384161626783,L_7AL_ROI
0.5156238743102848,L_7AL_ROI
0.44701272933304537,L_7AL_ROI
0.43414786125132904,L_7AL_ROI
0.3757971039025951,L_7AL_ROI
0.4137385319713228,L_7AL_ROI
0.42329747901408876,L_7AL_ROI
0.42906223389236553,L_7AL_ROI
0.4471617291634731,L_7AL_ROI
0.36835101657010483,L_7AL_ROI
0.35254104753188875,L_7AL_ROI
0.4064081129042798,L_7AL_ROI
0.4159005534950654,L_7AL_ROI
0.4385777999496512,L_7AL_ROI
0.4645159960132794,L_7AL_ROI
0.3567162270430821,L_7AL_ROI
0.3749765356345395,L_7AL_ROI
0.3561421163620803,L_7AL_ROI
0.5147525171964752,L_7AL_ROI
0.46589150876520324,L_7AL_ROI
0.418185829952912,L_7AL_ROI
0.45727957145596393,L_7AL_ROI
0.386107009620348,L_7AL_ROI
0.47454021078278785,L_7AL_ROI
0.42010990426813394,L_7AL_ROI
0.42209947475577886,L_7AL_ROI
0.5368496363034451,L_7AL_ROI
0.41670332992116843,L_7AL_ROI
0.4250238716277882,L_7AL_ROI
0.4890109084199552,L_7AL_ROI
0.4414917587543534,L_7AL_ROI
0.47491495970090825,L_7AL_ROI
0.4463618335117998,L_7AL_ROI
0.3952342278796927,L_7AL_ROI
0.535125932128788,L_7AL_ROI
0.35819362358726714,L_7AL_ROI
0.40640567859985444,L_7AL_ROI
0.47824887310188147,L_7AL_ROI
0.3684694289045912,L_7AL_ROI
0.41917134677587464,L_7AL_ROI
0.41358442622738195,L_7AL_ROI
0.5267006437729225,L_7AL_ROI
0.48126677074690555,L_7AL_ROI
0.35386297511980347,L_7AL_ROI
0.367453695064179,L_7AL_ROI
0.43680707775709654,L_7AL_ROI
0.4190504082289867,L_7AL_ROI
0.4355367739851323,L_7AL_ROI
0.4709844505563593,L_7AL_ROI
0.4526672670636087,L_7AL_ROI
0.41550397241679493,L_7AL_ROI
0.3814717809164967,L_7AL_ROI
0.4157449472960669,L_7AL_ROI
0.3836281865932179,L_7AL_ROI
0.3672478134775615,L_7AL_ROI
0.4571132805755902,L_7AL_ROI
0.43754381749176136,L_7AL_ROI
0.3990974772893988,L_7AL_ROI
0.4991332406497947,L_7AL_ROI
0.4434256619953235,L_7AL_ROI
0.42468916128938416,L_7AL_ROI
0.49608760506637595,L_7AL_ROI
0.4163424561477937,L_7AL_ROI
0.3716869578582843,L_7AL_ROI
0.4451914468909526,L_7AL_ROI
0.46248797909919664,L_7AL_ROI
0.5004322683321558,L_7AL_ROI
0.4160088229893619,L_7AL_ROI
0.43176975054971156,L_7AL_ROI
0.3757574046671689,L_7AL_ROI
0.461553866304613,L_7AL_ROI
0.525012706853298,L_7AL_ROI
0.3532133488677285,L_7AL_ROI
0.3165443498768248,L_7AL_ROI
0.5016859236364595,L_7AL_ROI
0.5348802717615225,L_7AL_ROI
0.4058622161274845,L_7AL_ROI
0.3568053120405924,L_7AL_ROI
0.3415051638768438,L_7AL_ROI
0.4239527557532873,L_7AL_ROI
0.4634008890626671,L_7AL_ROI
0.45466436202954175,L_7AL_ROI
0.3524510814781162,L_7AL_ROI
0.40024302208350054,L_7AL_ROI
0.4316776678875057,L_7AL_ROI
0.45859606117292184,L_7AL_ROI
0.44683325674304086,L_7AL_ROI
0.43033894035970854,L_7AL_ROI
0.4201407285400881,L_7AL_ROI
0.5055980102892015,L_7AL_ROI
0.4836944154519176,L_7AL_ROI
0.4535728531084172,L_7AL_ROI
0.4491717746972467,L_7AL_ROI
0.3826365204313547,L_7AL_ROI
0.3930864643160704,L_7AL_ROI
0.34069030994459637,L_7AL_ROI
0.34328044848132844,L_7AL_ROI
0.4300627447840045,L_7AL_ROI
0.4145837117901664,L_7AL_ROI
0.4764826535662836,L_7AL_ROI
0.4111377333867244,L_7AL_ROI
0.4131229774947326,L_7AL_ROI
0.5390325963158115,L_7AL_ROI
0.49298327606366543,L_7AL_ROI
0.36141979009881453,L_7AL_ROI
0.44667891671160165,L_7AL_ROI
0.5119362858674246,L_7AL_ROI
0.3423500410025883,L_7AL_ROI
0.3917314925430775,L_7AL_ROI
0.35253517216482916,L_7AL_ROI
0.4393395043992975,L_7AL_ROI
0.4054427463654681,L_7AL_ROI
0.38046380968986554,L_7AL_ROI
0.41764565202217663,L_7AL_ROI
0.3553725461943233,L_7AL_ROI
0.5415731684620803,L_7AL_ROI
0.5173023738467073,L_7AL_ROI
0.4449093172479246,L_7AL_ROI
0.44136374321121363,L_7AL_ROI
0.39050911142719413,L_7AL_ROI
0.5045361824950351,L_7AL_ROI
0.4003973339532183,L_7AL_ROI
0.3982165338949505,L_7AL_ROI
0.40953532240627577,L_7AL_ROI
0.42519105239302735,L_7AL_ROI
0.3928851679885971,L_7AL_ROI
0.4184673838800653,L_7AL_ROI
0.36449207024531555,L_7AL_ROI
0.4200308310841621,L_7AL_ROI
0.46002356262637445,L_7AL_ROI
0.4312691361056733,L_7AL_ROI
0.41315127104832305,L_7AL_ROI
0.3279133381195228,L_7AL_ROI
0.47654905671722586,L_7AL_ROI
0.3917932716973549,L_7AL_ROI
0.40298004527203724,L_7AL_ROI
0.33135249092260927,L_7AL_ROI
0.5091542689583497,L_7AL_ROI
0.39097959107415603,L_7AL_ROI
0.40857426074065695,L_7AL_ROI
0.3544759467798908,L_7AL_ROI
0.46959792527269684,L_7AL_ROI
0.41302023769666174,L_7AL_ROI
0.49386710943723033,L_7AL_ROI
0.4046495400836453,L_7AL_ROI
0.43268089123184605,L_7AL_ROI
0.35485518091738977,L_7AL_ROI
0.43709012678799825,L_7AL_ROI
