rho,roi
0.666007894137913,L_V3B_ROI
0.6599289413458566,L_V3B_ROI
0.629504691236949,L_V3B_ROI
0.6022442543622343,L_V3B_ROI
0.603754486502112,L_V3B_ROI
0.5488958651919421,L_V3B_ROI
0.5925369133555867,L_V3B_ROI
0.642372676463477,L_V3B_ROI
0.586254894362845,L_V3B_ROI
0.6034841663620056,L_V3B_ROI
0.6098851387357627,L_V3B_ROI
0.5809186783524247,L_V3B_ROI
0.5652586955729799,L_V3B_ROI
0.7297267958079507,L_V3B_ROI
0.698195814842435,L_V3B_ROI
0.6770105341408094,L_V3B_ROI
0.5916917790388957,L_V3B_ROI
0.6315608237564909,L_V3B_ROI
0.6034453919271615,L_V3B_ROI
0.6069673668589572,L_V3B_ROI
0.6199284021779438,L_V3B_ROI
0.5972532429109225,L_V3B_ROI
0.5405420703868338,L_V3B_ROI
0.5656498006663503,L_V3B_ROI
0.5776752719842857,L_V3B_ROI
0.6536230770214766,L_V3B_ROI
0.5892920443193638,L_V3B_ROI
0.6501561089955551,L_V3B_ROI
0.594549526983491,L_V3B_ROI
0.5856364007855182,L_V3B_ROI
0.6054348547532,L_V3B_ROI
0.6341703118794642,L_V3B_ROI
0.6643517209669823,L_V3B_ROI
0.646425812777127,L_V3B_ROI
0.5327352660696287,L_V3B_ROI
0.5447807073336677,L_V3B_ROI
0.6572357541845755,L_V3B_ROI
0.5783959281627848,L_V3B_ROI
0.5472203215929156,L_V3B_ROI
0.500963229968652,L_V3B_ROI
0.5147593429931756,L_V3B_ROI
0.5785771407585876,L_V3B_ROI
0.6623905854955984,L_V3B_ROI
0.5872932396665185,L_V3B_ROI
0.6851741796252246,L_V3B_ROI
0.5370750897397952,L_V3B_ROI
0.5487836618898893,L_V3B_ROI
0.5067398057551954,L_V3B_ROI
0.6191269134815062,L_V3B_ROI
0.6390164140350694,L_V3B_ROI
0.5886212980130079,L_V3B_ROI
0.6349664395535547,L_V3B_ROI
0.6554458645894716,L_V3B_ROI
0.5259350607326025,L_V3B_ROI
0.5785009140433134,L_V3B_ROI
0.5995274231819746,L_V3B_ROI
0.612183094781907,L_V3B_ROI
0.5505890392817765,L_V3B_ROI
0.6074968656402607,L_V3B_ROI
0.5919194306811462,L_V3B_ROI
0.5968250687373297,L_V3B_ROI
0.6164838376466946,L_V3B_ROI
0.5692376780580013,L_V3B_ROI
0.6491318729680823,L_V3B_ROI
0.6146967821057268,L_V3B_ROI
0.594886224766023,L_V3B_ROI
0.6268008623675538,L_V3B_ROI
0.5751336921011503,L_V3B_ROI
0.5852131801855144,L_V3B_ROI
0.546869068805913,L_V3B_ROI
0.6453707111454905,L_V3B_ROI
0.5846047425702166,L_V3B_ROI
0.599117405426602,L_V3B_ROI
0.5761581707213387,L_V3B_ROI
0.595488097371642,L_V3B_ROI
0.6687346497585878,L_V3B_ROI
0.6035587794090391,L_V3B_ROI
0.6333072454400921,L_V3B_ROI
0.5945791296421957,L_V3B_ROI
