rho,roi
0.5616673249412069,L_V3CD_ROI
0.6244022077224387,L_V3CD_ROI
0.572150580434877,L_V3CD_ROI
0.4862516469267206,L_V3CD_ROI
0.4912214426094186,L_V3CD_ROI
0.604314761896156,L_V3CD_ROI
0.5898357921113228,L_V3CD_ROI
0.6047594569089628,L_V3CD_ROI
0.609167358315069,L_V3CD_ROI
0.5083836238446695,L_V3CD_ROI
0.6292564790103081,L_V3CD_ROI
0.5499897155763819,L_V3CD_ROI
0.5256883631569481,L_V3CD_ROI
0.5902003178441528,L_V3CD_ROI
0.5019269214759369,L_V3CD_ROI
0.549322232014859,L_V3CD_ROI
0.6164307242703839,L_V3CD_ROI
0.4937974687070704,L_V3CD_ROI
0.5403041331954822,L_V3CD_ROI
0.5524806011827115,L_V3CD_ROI
0.5682995692750398,L_V3CD_ROI
0.5614710277128605,L_V3CD_ROI
0.6256426224600653,L_V3CD_ROI
0.5361189281188498,L_V3CD_ROI
0.6239104546310845,L_V3CD_ROI
0.5027777415278059,L_V3CD_ROI
0.6439326707295654,L_V3CD_ROI
0.5069492008823908,L_V3CD_ROI
0.6713174179819341,L_V3CD_ROI
0.6095974525464585,L_V3CD_ROI
0.5128939054287105,L_V3CD_ROI
0.5186965877268342,L_V3CD_ROI
0.5323476323769787,L_V3CD_ROI
0.5412888636093044,L_V3CD_ROI
0.530661989577944,L_V3CD_ROI
0.5285612536918706,L_V3CD_ROI
0.6320983152989231,L_V3CD_ROI
0.5887225445711413,L_V3CD_ROI
0.6420975063458989,L_V3CD_ROI
0.5354131709116674,L_V3CD_ROI
0.5042438247008251,L_V3CD_ROI
0.5629504059802914,L_V3CD_ROI
0.6676835922767049,L_V3CD_ROI
0.509155584731855,L_V3CD_ROI
0.6074248398829781,L_V3CD_ROI
0.6114904580656134,L_V3CD_ROI
0.6061519280380936,L_V3CD_ROI
0.45842908500606194,L_V3CD_ROI
0.6389129840771299,L_V3CD_ROI
0.5525064389444562,L_V3CD_ROI
0.5557126229016074,L_V3CD_ROI
0.5700361382185964,L_V3CD_ROI
0.5509787500066511,L_V3CD_ROI
0.571748604876064,L_V3CD_ROI
0.5147234012927517,L_V3CD_ROI
0.637194561849184,L_V3CD_ROI
0.5201976652986129,L_V3CD_ROI
0.5061162170289294,L_V3CD_ROI
0.5783113772328483,L_V3CD_ROI
0.5758887974949494,L_V3CD_ROI
0.5921382798454249,L_V3CD_ROI
0.604209792114243,L_V3CD_ROI
0.6051356316066352,L_V3CD_ROI
0.529359213559827,L_V3CD_ROI
0.5692363706105668,L_V3CD_ROI
0.5320966843666854,L_V3CD_ROI
0.4545242289689136,L_V3CD_ROI
0.5808045116738697,L_V3CD_ROI
0.5447969285270432,L_V3CD_ROI
0.5582849071475577,L_V3CD_ROI
0.557028565211519,L_V3CD_ROI
0.5969451733234585,L_V3CD_ROI
0.5910088847138929,L_V3CD_ROI
0.5201554249321725,L_V3CD_ROI
