rho,roi
0.17172363600577745,L_d23ab_ROI
0.2380540624951944,L_d23ab_ROI
0.1829540591496668,L_d23ab_ROI
0.093745848950931,L_d23ab_ROI
0.12237442741710367,L_d23ab_ROI
0.12620009065246374,L_d23ab_ROI
0.07059228439176954,L_d23ab_ROI
0.07060434516383772,L_d23ab_ROI
0.13857875173438444,L_d23ab_ROI
0.13116798821465364,L_d23ab_ROI
0.1229650059157562,L_d23ab_ROI
0.05731227776817744,L_d23ab_ROI
0.09271917320000277,L_d23ab_ROI
0.15042723867892555,L_d23ab_ROI
0.1463330486087147,L_d23ab_ROI
0.05582126230753696,L_d23ab_ROI
0.1288997203100974,L_d23ab_ROI
0.09689334238384092,L_d23ab_ROI
0.029424393611106145,L_d23ab_ROI
0.2122510856305871,L_d23ab_ROI
0.14590913110073006,L_d23ab_ROI
0.18545040495144174,L_d23ab_ROI
0.09630772468425847,L_d23ab_ROI
0.11335170870225875,L_d23ab_ROI
0.09573476182269897,L_d23ab_ROI
0.10232666845672987,L_d23ab_ROI
0.12718497788986802,L_d23ab_ROI
0.05516446002098117,L_d23ab_ROI
0.06818515804437122,L_d23ab_ROI
0.1708888501110571,L_d23ab_ROI
0.027057488161990946,L_d23ab_ROI
0.0665303975067463,L_d23ab_ROI
0.1317770226358509,L_d23ab_ROI
0.1124370844276443,L_d23ab_ROI
0.18529435906462427,L_d23ab_ROI
0.11363302820456875,L_d23ab_ROI
0.1548161622493225,L_d23ab_ROI
0.164908503767892,L_d23ab_ROI
0.13033564861917485,L_d23ab_ROI
0.18496476223744934,L_d23ab_ROI
0.10482248189921232,L_d23ab_ROI
0.17783698859637165,L_d23ab_ROI
0.10644201949467526,L_d23ab_ROI
0.07582695535212232,L_d23ab_ROI
0.1108003190053607,L_d23ab_ROI
0.15335294373754066,L_d23ab_ROI
0.09799699603792789,L_d23ab_ROI
0.07910884818209706,L_d23ab_ROI
0.08272786073237273,L_d23ab_ROI
0.0899267308980321,L_d23ab_ROI
0.1196173373122302,L_d23ab_ROI
0.08727633085651518,L_d23ab_ROI
0.12381755953001305,L_d23ab_ROI
0.14736278225780688,L_d23ab_ROI
0.06025418316234603,L_d23ab_ROI
0.1065525008047386,L_d23ab_ROI
0.04093277248127471,L_d23ab_ROI
0.17483464282351743,L_d23ab_ROI
0.1756176125705815,L_d23ab_ROI
0.13702075751668946,L_d23ab_ROI
0.1582930259096614,L_d23ab_ROI
0.1802378222047496,L_d23ab_ROI
