rho,roi
0.2500325775136742,L_p47r_ROI
0.35967728817117994,L_p47r_ROI
0.34122558750429477,L_p47r_ROI
0.27905561582019495,L_p47r_ROI
0.2971001531782697,L_p47r_ROI
0.37893736324255534,L_p47r_ROI
0.3027583195281316,L_p47r_ROI
0.23257798983198796,L_p47r_ROI
0.36499141818616937,L_p47r_ROI
0.3012018004900462,L_p47r_ROI
0.41265053599409934,L_p47r_ROI
0.29487881374185476,L_p47r_ROI
0.26617774778301645,L_p47r_ROI
0.4575096614422279,L_p47r_ROI
0.2813479148800247,L_p47r_ROI
0.38452125908813717,L_p47r_ROI
0.27175413353508554,L_p47r_ROI
0.3191730093510333,L_p47r_ROI
0.34373694644263486,L_p47r_ROI
0.36663423174170007,L_p47r_ROI
0.360461051958485,L_p47r_ROI
0.2662350177284187,L_p47r_ROI
0.34863957623125796,L_p47r_ROI
0.2976232807946265,L_p47r_ROI
0.33402364369674464,L_p47r_ROI
0.2281360503676934,L_p47r_ROI
0.37218892485794564,L_p47r_ROI
0.3438112733813518,L_p47r_ROI
0.310612917524639,L_p47r_ROI
0.2650364034527808,L_p47r_ROI
0.32734297016048347,L_p47r_ROI
0.2751662844283864,L_p47r_ROI
0.3081967186566799,L_p47r_ROI
0.322417986520384,L_p47r_ROI
0.30575842036954426,L_p47r_ROI
0.2518005460848074,L_p47r_ROI
0.3601331721296962,L_p47r_ROI
0.30006352874741005,L_p47r_ROI
0.3325925123439682,L_p47r_ROI
0.2772077420188484,L_p47r_ROI
0.3504893259361581,L_p47r_ROI
0.38554152594438984,L_p47r_ROI
0.33077756663140045,L_p47r_ROI
0.37358701723579313,L_p47r_ROI
0.2753680217028327,L_p47r_ROI
0.33628496100312805,L_p47r_ROI
0.40151992211270404,L_p47r_ROI
0.36232506899778805,L_p47r_ROI
0.2554391169267043,L_p47r_ROI
0.42536387371924544,L_p47r_ROI
0.3284206964309724,L_p47r_ROI
0.3506798248562968,L_p47r_ROI
0.3657484393210231,L_p47r_ROI
0.2759553231254795,L_p47r_ROI
0.3575667863243991,L_p47r_ROI
0.3268196811501577,L_p47r_ROI
0.36070694913917717,L_p47r_ROI
0.30329141298847523,L_p47r_ROI
0.27574436225744015,L_p47r_ROI
0.36866298841303485,L_p47r_ROI
0.3330563569115061,L_p47r_ROI
0.34416782018874814,L_p47r_ROI
0.2966836331842252,L_p47r_ROI
0.3517063344033916,L_p47r_ROI
0.3719681191648967,L_p47r_ROI
0.3360478783724189,L_p47r_ROI
0.3767216274666015,L_p47r_ROI
0.359997510425667,L_p47r_ROI
0.269586418397405,L_p47r_ROI
0.2611661411351418,L_p47r_ROI
0.1716525148448336,L_p47r_ROI
0.24179555149785595,L_p47r_ROI
0.39527209001959496,L_p47r_ROI
0.3594965330981098,L_p47r_ROI
0.34514590305437426,L_p47r_ROI
0.32398537481144396,L_p47r_ROI
0.26767799504905326,L_p47r_ROI
0.4093747288907857,L_p47r_ROI
0.27627675839247096,L_p47r_ROI
0.33517815811259427,L_p47r_ROI
0.2503318544251416,L_p47r_ROI
0.33405357795755664,L_p47r_ROI
0.3480382655061351,L_p47r_ROI
0.23089887864044872,L_p47r_ROI
0.3531559172757153,L_p47r_ROI
0.3365103416173381,L_p47r_ROI
0.3796405857778927,L_p47r_ROI
0.2626414073018484,L_p47r_ROI
0.3127823882414292,L_p47r_ROI
0.28227263947277037,L_p47r_ROI
0.347694541941572,L_p47r_ROI
0.4252673385195146,L_p47r_ROI
0.27683065684826264,L_p47r_ROI
0.23006931386963603,L_p47r_ROI
0.3271472805425998,L_p47r_ROI
0.33470072206630985,L_p47r_ROI
0.3712326387532498,L_p47r_ROI
0.3748330094714308,L_p47r_ROI
0.2526374063069924,L_p47r_ROI
0.2729807771792727,L_p47r_ROI
0.35109023072284407,L_p47r_ROI
0.3748143257597388,L_p47r_ROI
0.31634829493644095,L_p47r_ROI
0.36793257003146224,L_p47r_ROI
0.33113213451577067,L_p47r_ROI
0.31082589528006693,L_p47r_ROI
0.39767632050052315,L_p47r_ROI
0.4285470703774635,L_p47r_ROI
0.41635138470142835,L_p47r_ROI
0.34164895395409567,L_p47r_ROI
0.3980816119089554,L_p47r_ROI
0.399672353876515,L_p47r_ROI
0.2807451418109721,L_p47r_ROI
0.4064734568622694,L_p47r_ROI
0.2907339066768755,L_p47r_ROI
0.2861121509492851,L_p47r_ROI
0.4336709304237333,L_p47r_ROI
0.39119551349235104,L_p47r_ROI
0.287261303883281,L_p47r_ROI
0.3772092762046868,L_p47r_ROI
0.44019561872203006,L_p47r_ROI
0.24878241636263426,L_p47r_ROI
0.39061149744444434,L_p47r_ROI
0.364469852785604,L_p47r_ROI
0.3192445088532053,L_p47r_ROI
0.2917829218761693,L_p47r_ROI
0.25203816332579476,L_p47r_ROI
0.3703227797075594,L_p47r_ROI
0.30446550062252914,L_p47r_ROI
0.3602902946568015,L_p47r_ROI
0.44974453028569394,L_p47r_ROI
0.32918031165105643,L_p47r_ROI
0.42669857954526264,L_p47r_ROI
0.37746948061644,L_p47r_ROI
0.2594034775578393,L_p47r_ROI
0.3634721743778384,L_p47r_ROI
0.3750525457949119,L_p47r_ROI
0.37167125071743534,L_p47r_ROI
0.2739661631984992,L_p47r_ROI
0.2539158527552545,L_p47r_ROI
0.324589947998375,L_p47r_ROI
0.31288012286496153,L_p47r_ROI
0.1899234368767203,L_p47r_ROI
0.3175286236517547,L_p47r_ROI
0.38001113960648325,L_p47r_ROI
0.3177562788640809,L_p47r_ROI
0.3265448468731928,L_p47r_ROI
0.3187368526054118,L_p47r_ROI
0.3002316621932567,L_p47r_ROI
0.34038063585398665,L_p47r_ROI
0.3646892864403188,L_p47r_ROI
0.34101336902124935,L_p47r_ROI
0.4623124212618407,L_p47r_ROI
0.289503238951335,L_p47r_ROI
0.3195516230949772,L_p47r_ROI
0.45119694118654946,L_p47r_ROI
0.2716980666379988,L_p47r_ROI
0.3014882466655945,L_p47r_ROI
0.39363709174215655,L_p47r_ROI
0.2995214863824722,L_p47r_ROI
0.3055626647406556,L_p47r_ROI
0.31576527534932897,L_p47r_ROI
0.29560563613823854,L_p47r_ROI
0.41386812181138233,L_p47r_ROI
0.2737217518327898,L_p47r_ROI
0.3079279892126332,L_p47r_ROI
0.417978921208193,L_p47r_ROI
0.3151906104534911,L_p47r_ROI
0.31169832399499375,L_p47r_ROI
0.3833281020188924,L_p47r_ROI
0.35693045848853944,L_p47r_ROI
0.3358616246213264,L_p47r_ROI
0.35508485725389716,L_p47r_ROI
0.3792015964259683,L_p47r_ROI
0.29872881621658975,L_p47r_ROI
0.4857517756306317,L_p47r_ROI
0.38037000002730176,L_p47r_ROI
0.3438257287673251,L_p47r_ROI
0.3568592042262677,L_p47r_ROI
0.37313360467153295,L_p47r_ROI
0.2963686116154359,L_p47r_ROI
0.3638483130708696,L_p47r_ROI
0.24297082483088464,L_p47r_ROI
0.3829677498058614,L_p47r_ROI
0.31000515757350333,L_p47r_ROI
0.2690076054830696,L_p47r_ROI
0.36579467002420424,L_p47r_ROI
0.2725345923484611,L_p47r_ROI
0.3420416385628424,L_p47r_ROI
0.35342164377985336,L_p47r_ROI
0.2551119047428986,L_p47r_ROI
0.2978366211411828,L_p47r_ROI
0.2840037628090257,L_p47r_ROI
0.2825566696886402,L_p47r_ROI
0.3860870516101902,L_p47r_ROI
0.26423181713923766,L_p47r_ROI
0.2716507900540016,L_p47r_ROI
0.31352491675633737,L_p47r_ROI
0.35891645472772143,L_p47r_ROI
0.26449393725405485,L_p47r_ROI
0.40788609887935634,L_p47r_ROI
0.3959989434806776,L_p47r_ROI
0.33483879022640256,L_p47r_ROI
0.3559856099377376,L_p47r_ROI
0.2831080379276897,L_p47r_ROI
0.36209410321992663,L_p47r_ROI
0.32857292779734865,L_p47r_ROI
0.39533126223104564,L_p47r_ROI
0.26742354996700424,L_p47r_ROI
0.28026798885831405,L_p47r_ROI
