rho,roi
0.5123202420864541,L_p9-46v_ROI
0.5700070985057976,L_p9-46v_ROI
0.5463801602978463,L_p9-46v_ROI
0.5510564218177426,L_p9-46v_ROI
0.533415652276577,L_p9-46v_ROI
0.5201100846449066,L_p9-46v_ROI
0.6018130305357937,L_p9-46v_ROI
0.5522842945933409,L_p9-46v_ROI
0.4728600455063119,L_p9-46v_ROI
0.5021141318578628,L_p9-46v_ROI
0.5179119927023034,L_p9-46v_ROI
0.536369848275225,L_p9-46v_ROI
0.4597219185292321,L_p9-46v_ROI
0.5135876874663264,L_p9-46v_ROI
0.5953112675657073,L_p9-46v_ROI
0.5625099967818779,L_p9-46v_ROI
0.5161167690151354,L_p9-46v_ROI
0.6057252405404927,L_p9-46v_ROI
0.5281656813377763,L_p9-46v_ROI
0.4980183418514817,L_p9-46v_ROI
0.5083585352924345,L_p9-46v_ROI
0.5711958654076861,L_p9-46v_ROI
0.5156582562160154,L_p9-46v_ROI
0.5356762164385753,L_p9-46v_ROI
0.5926876802883292,L_p9-46v_ROI
0.5982550152690409,L_p9-46v_ROI
0.578232597473121,L_p9-46v_ROI
0.5332806043746194,L_p9-46v_ROI
0.579355723844796,L_p9-46v_ROI
0.5757998708552508,L_p9-46v_ROI
0.5296595643491742,L_p9-46v_ROI
0.5577428858715179,L_p9-46v_ROI
0.5003895233845292,L_p9-46v_ROI
0.5580548150613036,L_p9-46v_ROI
0.6104740437320327,L_p9-46v_ROI
0.5189578093979916,L_p9-46v_ROI
0.5366448635404806,L_p9-46v_ROI
0.6192591984683756,L_p9-46v_ROI
0.48572249986852295,L_p9-46v_ROI
0.5933431094187779,L_p9-46v_ROI
0.559715879976626,L_p9-46v_ROI
0.5125692941617803,L_p9-46v_ROI
0.5461138809931603,L_p9-46v_ROI
0.569926273281994,L_p9-46v_ROI
0.5369221792710144,L_p9-46v_ROI
0.5347534825503621,L_p9-46v_ROI
0.5426900114335107,L_p9-46v_ROI
0.5839403271115368,L_p9-46v_ROI
0.500789122713607,L_p9-46v_ROI
0.5632649353655053,L_p9-46v_ROI
0.5353759287408083,L_p9-46v_ROI
0.4965384618379586,L_p9-46v_ROI
0.5306682087770428,L_p9-46v_ROI
0.5547625224086488,L_p9-46v_ROI
0.5746388991129984,L_p9-46v_ROI
0.5081948778978911,L_p9-46v_ROI
0.5463500724994453,L_p9-46v_ROI
0.5482475500315548,L_p9-46v_ROI
0.4899654390223804,L_p9-46v_ROI
0.5156880344012806,L_p9-46v_ROI
0.5654483688780755,L_p9-46v_ROI
0.4342431749958716,L_p9-46v_ROI
0.5827226972037052,L_p9-46v_ROI
0.5966775557310504,L_p9-46v_ROI
0.556164195787392,L_p9-46v_ROI
0.4768447647124726,L_p9-46v_ROI
0.5743890249516409,L_p9-46v_ROI
0.5442680014433507,L_p9-46v_ROI
0.6327516622549968,L_p9-46v_ROI
0.5299478780497464,L_p9-46v_ROI
0.5262279296898364,L_p9-46v_ROI
0.5893436418567876,L_p9-46v_ROI
0.4544568024561756,L_p9-46v_ROI
0.5657601707712305,L_p9-46v_ROI
0.5492047431433396,L_p9-46v_ROI
0.5751940246369073,L_p9-46v_ROI
0.5617657672180758,L_p9-46v_ROI
0.5132074065824999,L_p9-46v_ROI
0.5058671025326965,L_p9-46v_ROI
0.5226441340072785,L_p9-46v_ROI
0.5358620082111036,L_p9-46v_ROI
0.4542204822806136,L_p9-46v_ROI
0.5595309830878848,L_p9-46v_ROI
0.46893972495828007,L_p9-46v_ROI
0.6383632968564164,L_p9-46v_ROI
0.552940984158717,L_p9-46v_ROI
0.516031663339289,L_p9-46v_ROI
0.5882963831449983,L_p9-46v_ROI
0.642726520729955,L_p9-46v_ROI
0.5218587953196524,L_p9-46v_ROI
0.45433778165911287,L_p9-46v_ROI
0.4402376541500546,L_p9-46v_ROI
0.5516071197568219,L_p9-46v_ROI
0.5147085286172337,L_p9-46v_ROI
0.4820085548646357,L_p9-46v_ROI
0.565390822737498,L_p9-46v_ROI
0.5167452572559394,L_p9-46v_ROI
0.47957451732835393,L_p9-46v_ROI
0.5385419719624446,L_p9-46v_ROI
0.5819696249279309,L_p9-46v_ROI
0.5710866371783365,L_p9-46v_ROI
0.5254748084100722,L_p9-46v_ROI
0.49098761516213413,L_p9-46v_ROI
0.5699103108470454,L_p9-46v_ROI
0.5486814737823525,L_p9-46v_ROI
0.574536214432689,L_p9-46v_ROI
0.5958674781771425,L_p9-46v_ROI
0.509304512747375,L_p9-46v_ROI
0.4891152056605198,L_p9-46v_ROI
0.5550318834473205,L_p9-46v_ROI
0.5877322258782026,L_p9-46v_ROI
0.5636585111424328,L_p9-46v_ROI
0.6415335467206029,L_p9-46v_ROI
0.45476134167319504,L_p9-46v_ROI
0.5400351188032465,L_p9-46v_ROI
0.5168376045896053,L_p9-46v_ROI
0.5076080438665467,L_p9-46v_ROI
0.5541325205851988,L_p9-46v_ROI
0.5559324823348957,L_p9-46v_ROI
0.5178940405049358,L_p9-46v_ROI
0.5901490852997289,L_p9-46v_ROI
0.5117209666428915,L_p9-46v_ROI
0.5210153037546401,L_p9-46v_ROI
0.5256474796533964,L_p9-46v_ROI
0.534732329568179,L_p9-46v_ROI
0.5986714075851841,L_p9-46v_ROI
0.5126320466520495,L_p9-46v_ROI
0.5580193363198711,L_p9-46v_ROI
0.6086691195516507,L_p9-46v_ROI
0.5027353876882544,L_p9-46v_ROI
0.5701359599153524,L_p9-46v_ROI
0.5112958274437736,L_p9-46v_ROI
0.5785601802487761,L_p9-46v_ROI
0.4511885540735636,L_p9-46v_ROI
0.4417305593099649,L_p9-46v_ROI
0.6466716299377775,L_p9-46v_ROI
0.5305656703265843,L_p9-46v_ROI
0.585927534671484,L_p9-46v_ROI
0.5519401311832592,L_p9-46v_ROI
0.4886794779550342,L_p9-46v_ROI
0.5018719770619713,L_p9-46v_ROI
0.49521711861980133,L_p9-46v_ROI
0.45118080817378126,L_p9-46v_ROI
0.45037530310387863,L_p9-46v_ROI
0.581741369732024,L_p9-46v_ROI
0.582319664374836,L_p9-46v_ROI
0.5263688050915514,L_p9-46v_ROI
0.4965799476033764,L_p9-46v_ROI
0.5260553363121581,L_p9-46v_ROI
0.6029844514225386,L_p9-46v_ROI
0.6545987822506352,L_p9-46v_ROI
0.5266453054089876,L_p9-46v_ROI
0.5719652194166359,L_p9-46v_ROI
0.6406442489056011,L_p9-46v_ROI
0.5227421022029404,L_p9-46v_ROI
0.5905447793289857,L_p9-46v_ROI
0.5636034360200884,L_p9-46v_ROI
0.5154930016647623,L_p9-46v_ROI
0.4946595629530086,L_p9-46v_ROI
0.4870197789678167,L_p9-46v_ROI
0.4575783660997355,L_p9-46v_ROI
0.5064712399762548,L_p9-46v_ROI
0.5383098945207089,L_p9-46v_ROI
0.5185467747801256,L_p9-46v_ROI
0.5997496298070853,L_p9-46v_ROI
0.520831947667189,L_p9-46v_ROI
0.5990403137709568,L_p9-46v_ROI
0.5031895599177254,L_p9-46v_ROI
0.5398758219242479,L_p9-46v_ROI
0.5603952013212148,L_p9-46v_ROI
0.4068911551258946,L_p9-46v_ROI
0.5150483604810054,L_p9-46v_ROI
0.543128392993718,L_p9-46v_ROI
