rho,roi
0.16392725459604787,L_v23ab_ROI
0.27232979886853315,L_v23ab_ROI
0.17016698891686427,L_v23ab_ROI
0.37635976944136584,L_v23ab_ROI
0.28170455978001174,L_v23ab_ROI
0.20041009369408697,L_v23ab_ROI
0.24733013718925043,L_v23ab_ROI
0.15009359329504104,L_v23ab_ROI
0.2271994388859717,L_v23ab_ROI
0.19896943051084665,L_v23ab_ROI
0.13500462317105777,L_v23ab_ROI
0.1388980770623771,L_v23ab_ROI
0.1751204130798215,L_v23ab_ROI
0.18922571938673505,L_v23ab_ROI
0.19801302000956672,L_v23ab_ROI
0.16326128637519063,L_v23ab_ROI
0.16061911726882713,L_v23ab_ROI
0.22937094015302478,L_v23ab_ROI
0.23366339858015833,L_v23ab_ROI
0.17733103084432836,L_v23ab_ROI
0.28359610506953276,L_v23ab_ROI
0.18055904113473412,L_v23ab_ROI
0.20648298191237274,L_v23ab_ROI
0.31332659797122014,L_v23ab_ROI
0.21698080243349874,L_v23ab_ROI
0.160959563618294,L_v23ab_ROI
0.26155952885790984,L_v23ab_ROI
0.17013533131044223,L_v23ab_ROI
0.18440168371303678,L_v23ab_ROI
0.27021719716081083,L_v23ab_ROI
0.19895439024494713,L_v23ab_ROI
0.2814387066912807,L_v23ab_ROI
0.22530773853490815,L_v23ab_ROI
0.13350470623922084,L_v23ab_ROI
0.18529501649832125,L_v23ab_ROI
0.23115274121173235,L_v23ab_ROI
0.1621121169492609,L_v23ab_ROI
0.3317359277328671,L_v23ab_ROI
0.2420317686324016,L_v23ab_ROI
0.19920222108251007,L_v23ab_ROI
0.22534500140869074,L_v23ab_ROI
0.24124384730055284,L_v23ab_ROI
0.25381185700674347,L_v23ab_ROI
0.18446009301325844,L_v23ab_ROI
0.24666709870375267,L_v23ab_ROI
0.26531589721435345,L_v23ab_ROI
0.20462026297441915,L_v23ab_ROI
0.30138211656993474,L_v23ab_ROI
0.20445670095836138,L_v23ab_ROI
0.22588003125443595,L_v23ab_ROI
0.2208966322832167,L_v23ab_ROI
0.19629272180641158,L_v23ab_ROI
0.24727139784529012,L_v23ab_ROI
0.21952776319956463,L_v23ab_ROI
0.26793388650310035,L_v23ab_ROI
0.23369485598784506,L_v23ab_ROI
0.3534693093772863,L_v23ab_ROI
0.25877541024483053,L_v23ab_ROI
0.2233523078778576,L_v23ab_ROI
0.19545658379726133,L_v23ab_ROI
0.19073827181784053,L_v23ab_ROI
0.28080669539071496,L_v23ab_ROI
0.3083709262704084,L_v23ab_ROI
0.24812654500384687,L_v23ab_ROI
0.18525097995659434,L_v23ab_ROI
0.2188699558715737,L_v23ab_ROI
0.27134521549486934,L_v23ab_ROI
0.14330861887582164,L_v23ab_ROI
0.2785774566050644,L_v23ab_ROI
0.2974941977571216,L_v23ab_ROI
0.19336836435726046,L_v23ab_ROI
0.26466724806567077,L_v23ab_ROI
0.14590664852163834,L_v23ab_ROI
0.10514329175690382,L_v23ab_ROI
0.20571077059191534,L_v23ab_ROI
0.11383670061321773,L_v23ab_ROI
0.207925256319995,L_v23ab_ROI
0.15989904205137104,L_v23ab_ROI
0.17219075781853138,L_v23ab_ROI
0.24197792570746715,L_v23ab_ROI
0.27987185682882193,L_v23ab_ROI
0.20011774863835713,L_v23ab_ROI
0.17060077996996545,L_v23ab_ROI
0.23486011865564743,L_v23ab_ROI
0.22028113954711792,L_v23ab_ROI
0.30496401187533306,L_v23ab_ROI
0.282133088879058,L_v23ab_ROI
0.19058521109351056,L_v23ab_ROI
0.2505446366058821,L_v23ab_ROI
0.3289756637405343,L_v23ab_ROI
0.18526436239416172,L_v23ab_ROI
0.26017430493617055,L_v23ab_ROI
0.22894398327458182,L_v23ab_ROI
0.3272724667872688,L_v23ab_ROI
0.20680633862858194,L_v23ab_ROI
0.2132619104052737,L_v23ab_ROI
0.21527000455876472,L_v23ab_ROI
0.22592770348108188,L_v23ab_ROI
0.21457736772191938,L_v23ab_ROI
0.24341153010811595,L_v23ab_ROI
0.284332291158036,L_v23ab_ROI
0.2434564500287366,L_v23ab_ROI
0.17624790324117875,L_v23ab_ROI
0.22255344893156906,L_v23ab_ROI
0.2638741391411278,L_v23ab_ROI
0.2829031185129984,L_v23ab_ROI
0.19789260784546653,L_v23ab_ROI
0.3084817253184818,L_v23ab_ROI
0.2533663578401418,L_v23ab_ROI
0.25922729136816786,L_v23ab_ROI
0.2112065228799615,L_v23ab_ROI
0.19193834682266733,L_v23ab_ROI
0.2569490044040026,L_v23ab_ROI
0.252172095646954,L_v23ab_ROI
0.2756600804695777,L_v23ab_ROI
0.22504652402249223,L_v23ab_ROI
0.2362632537752867,L_v23ab_ROI
0.11071122043920088,L_v23ab_ROI
0.3065975217395944,L_v23ab_ROI
0.13997347241980576,L_v23ab_ROI
0.2994868928661558,L_v23ab_ROI
0.23831843407345987,L_v23ab_ROI
0.27704298984663334,L_v23ab_ROI
0.13146091395973483,L_v23ab_ROI
0.21431969293719993,L_v23ab_ROI
0.11326132914363832,L_v23ab_ROI
0.17050568644552372,L_v23ab_ROI
0.18850712430130434,L_v23ab_ROI
0.2669084933273417,L_v23ab_ROI
0.2197711809084351,L_v23ab_ROI
0.21427833488499548,L_v23ab_ROI
0.13943289250984775,L_v23ab_ROI
0.2590744930641772,L_v23ab_ROI
0.13858919625763666,L_v23ab_ROI
0.24218334117708396,L_v23ab_ROI
0.3015463543091519,L_v23ab_ROI
0.2999588836907109,L_v23ab_ROI
0.1999872327521528,L_v23ab_ROI
0.3011876527189393,L_v23ab_ROI
0.2677545819474352,L_v23ab_ROI
0.2668701696595661,L_v23ab_ROI
0.24013659646738858,L_v23ab_ROI
0.15405498212828578,L_v23ab_ROI
0.234847269985268,L_v23ab_ROI
0.17032334266759191,L_v23ab_ROI
0.21975495140936818,L_v23ab_ROI
0.1711249032551318,L_v23ab_ROI
0.1756964252496354,L_v23ab_ROI
0.1722052032141424,L_v23ab_ROI
0.2630596194503353,L_v23ab_ROI
0.2350654452639399,L_v23ab_ROI
0.27016448853150304,L_v23ab_ROI
0.1610066758915213,L_v23ab_ROI
0.16870893019193117,L_v23ab_ROI
0.19285404436474127,L_v23ab_ROI
0.22653423779332996,L_v23ab_ROI
0.13184795438022456,L_v23ab_ROI
0.2547583860457336,L_v23ab_ROI
0.21210949343957713,L_v23ab_ROI
0.15966909984023617,L_v23ab_ROI
0.3296832462148347,L_v23ab_ROI
0.22780094496338452,L_v23ab_ROI
0.24384248010276613,L_v23ab_ROI
0.3297902810830353,L_v23ab_ROI
0.26125054179083107,L_v23ab_ROI
0.3287104649803472,L_v23ab_ROI
0.16386822265630682,L_v23ab_ROI
0.23581047312197442,L_v23ab_ROI
0.2620136644063132,L_v23ab_ROI
0.09922546757486451,L_v23ab_ROI
0.1813848863906509,L_v23ab_ROI
0.14921662400262115,L_v23ab_ROI
0.158272820896575,L_v23ab_ROI
0.32729899111254096,L_v23ab_ROI
0.22665745718441715,L_v23ab_ROI
0.2227091622672268,L_v23ab_ROI
0.1746868923511662,L_v23ab_ROI
0.17187358342792378,L_v23ab_ROI
0.27777336114676954,L_v23ab_ROI
0.2668516665227967,L_v23ab_ROI
0.25784727741640123,L_v23ab_ROI
0.15459021753552096,L_v23ab_ROI
0.2437300200328164,L_v23ab_ROI
0.20489409343020332,L_v23ab_ROI
0.19085649309251557,L_v23ab_ROI
0.23568715173408944,L_v23ab_ROI
0.20030277871136073,L_v23ab_ROI
0.2907269941156813,L_v23ab_ROI
0.1742616291188146,L_v23ab_ROI
0.19464722141768848,L_v23ab_ROI
0.2850328971340792,L_v23ab_ROI
0.2159091125319247,L_v23ab_ROI
0.13262234158966607,L_v23ab_ROI
0.2790010330597528,L_v23ab_ROI
0.27127022499575304,L_v23ab_ROI
0.2274298941528037,L_v23ab_ROI
0.21541103836267844,L_v23ab_ROI
0.24626980714884394,L_v23ab_ROI
0.2536954821767536,L_v23ab_ROI
0.13851101675661337,L_v23ab_ROI
0.18406682465599983,L_v23ab_ROI
0.1515712273628085,L_v23ab_ROI
0.12793778227310865,L_v23ab_ROI
0.2879421015104673,L_v23ab_ROI
0.21043910116071127,L_v23ab_ROI
0.25098661550431367,L_v23ab_ROI
0.1893703878875842,L_v23ab_ROI
0.23312777048888222,L_v23ab_ROI
0.3448574496843271,L_v23ab_ROI
0.19680069968500252,L_v23ab_ROI
0.1220775124082649,L_v23ab_ROI
0.29567397927851957,L_v23ab_ROI
0.21252889566031447,L_v23ab_ROI
0.2285489839881051,L_v23ab_ROI
0.22937149978824886,L_v23ab_ROI
0.22858162916272262,L_v23ab_ROI
0.2319486640993903,L_v23ab_ROI
0.2508821611208409,L_v23ab_ROI
0.19292923272653656,L_v23ab_ROI
0.3075982533739234,L_v23ab_ROI
0.254719646201587,L_v23ab_ROI
0.2273918109912627,L_v23ab_ROI
0.467119312322054,L_v23ab_ROI
0.4036369052708334,L_v23ab_ROI
0.26311449465393527,L_v23ab_ROI
0.2429908997945629,L_v23ab_ROI
0.24183066085919053,L_v23ab_ROI
0.2630100010837313,L_v23ab_ROI
0.2556454434702842,L_v23ab_ROI
0.09466321814683129,L_v23ab_ROI
0.1937664470655867,L_v23ab_ROI
0.272137484202401,L_v23ab_ROI
0.21774179028234605,L_v23ab_ROI
0.23803203466731063,L_v23ab_ROI
0.2699139049239692,L_v23ab_ROI
0.23660064026656452,L_v23ab_ROI
0.2953644942327699,L_v23ab_ROI
0.2740576660772535,L_v23ab_ROI
0.2371996320897268,L_v23ab_ROI
0.2107083691048473,L_v23ab_ROI
0.2593014922116896,L_v23ab_ROI
0.21250310958472163,L_v23ab_ROI
0.22193214694784746,L_v23ab_ROI
0.23204670001262007,L_v23ab_ROI
0.281855652974088,L_v23ab_ROI
0.23959474352972493,L_v23ab_ROI
0.3254499027789743,L_v23ab_ROI
0.31740029664238195,L_v23ab_ROI
0.2802526958522525,L_v23ab_ROI
0.2678174328263774,L_v23ab_ROI
0.24865641657567794,L_v23ab_ROI
0.2438952697030199,L_v23ab_ROI
0.21494594090839256,L_v23ab_ROI
0.20895718752237524,L_v23ab_ROI
0.1580573673263197,L_v23ab_ROI
0.21209842676452095,L_v23ab_ROI
0.2834956870758679,L_v23ab_ROI
0.12132205829662661,L_v23ab_ROI
0.22976369079061143,L_v23ab_ROI
0.3129524431255505,L_v23ab_ROI
0.22432527276344116,L_v23ab_ROI
0.2254119398831059,L_v23ab_ROI
0.20377203600888721,L_v23ab_ROI
0.2557784269423691,L_v23ab_ROI
0.1414147886186759,L_v23ab_ROI
0.2344439355269122,L_v23ab_ROI
0.22312640434555425,L_v23ab_ROI
0.2496213106138174,L_v23ab_ROI
0.2858444274899805,L_v23ab_ROI
0.26820017760878095,L_v23ab_ROI
0.2287248340358175,L_v23ab_ROI
0.25389171912630404,L_v23ab_ROI
0.22358269037929887,L_v23ab_ROI
0.23112502246144329,L_v23ab_ROI
0.19605549866362174,L_v23ab_ROI
0.3097780332505742,L_v23ab_ROI
0.21441165033857726,L_v23ab_ROI
0.21915862279038872,L_v23ab_ROI
0.1551022014107183,L_v23ab_ROI
0.3225988635454138,L_v23ab_ROI
0.23088027386318716,L_v23ab_ROI
0.14397985930137944,L_v23ab_ROI
0.24435831876947814,L_v23ab_ROI
0.2661910330637559,L_v23ab_ROI
0.18814360463314073,L_v23ab_ROI
0.2914831199149272,L_v23ab_ROI
0.2309721467253037,L_v23ab_ROI
0.2727845457361064,L_v23ab_ROI
0.2132453049373724,L_v23ab_ROI
0.21485544472779772,L_v23ab_ROI
0.2537343443664143,L_v23ab_ROI
0.2956349116343897,L_v23ab_ROI
0.08562844953047542,L_v23ab_ROI
0.3627604837115197,L_v23ab_ROI
0.2632787224964895,L_v23ab_ROI
0.3204060650986919,L_v23ab_ROI
0.34835349097825924,L_v23ab_ROI
0.3112689278416054,L_v23ab_ROI
0.23961211288416567,L_v23ab_ROI
0.15163312286869718,L_v23ab_ROI
0.1599352213115226,L_v23ab_ROI
0.11402814820530659,L_v23ab_ROI
0.15867702773724085,L_v23ab_ROI
0.23438846674914462,L_v23ab_ROI
0.21324831389902685,L_v23ab_ROI
0.10463528958196157,L_v23ab_ROI
0.24446851403913938,L_v23ab_ROI
0.3063736124683768,L_v23ab_ROI
0.3105147938077897,L_v23ab_ROI
0.24649851145369234,L_v23ab_ROI
0.22909579320475731,L_v23ab_ROI
0.2521349169358381,L_v23ab_ROI
0.2550399013134697,L_v23ab_ROI
0.25246493592314195,L_v23ab_ROI
0.24630996667885563,L_v23ab_ROI
0.22582683811883283,L_v23ab_ROI
0.3022382322370027,L_v23ab_ROI
0.150391276252123,L_v23ab_ROI
0.2773114851537073,L_v23ab_ROI
0.23125233138009144,L_v23ab_ROI
0.2025363747866946,L_v23ab_ROI
0.17572459346029196,L_v23ab_ROI
0.33797826763785543,L_v23ab_ROI
0.29590550756106576,L_v23ab_ROI
0.3548931832057995,L_v23ab_ROI
0.25934546025036054,L_v23ab_ROI
0.1857767276646066,L_v23ab_ROI
0.16934859426941778,L_v23ab_ROI
0.30988269045200956,L_v23ab_ROI
0.3290179319622271,L_v23ab_ROI
0.18037811820271243,L_v23ab_ROI
0.3298006311629703,L_v23ab_ROI
0.18564872186515263,L_v23ab_ROI
0.22763947461117837,L_v23ab_ROI
0.22421834547702607,L_v23ab_ROI
0.17239611359766255,L_v23ab_ROI
0.18607619491804517,L_v23ab_ROI
0.19841066358968074,L_v23ab_ROI
0.20126065969368723,L_v23ab_ROI
0.19411639676908782,L_v23ab_ROI
0.2024885119349791,L_v23ab_ROI
0.253023028111689,L_v23ab_ROI
0.19993977595107149,L_v23ab_ROI
0.19420943037685168,L_v23ab_ROI
0.2687352345145871,L_v23ab_ROI
0.28309684169115323,L_v23ab_ROI
0.20350854898351345,L_v23ab_ROI
0.233264342918302,L_v23ab_ROI
0.20065413106094876,L_v23ab_ROI
0.23986642320172452,L_v23ab_ROI
0.11372636575327409,L_v23ab_ROI
