rho,roi
0.2743775974194917,NAc-lh
0.2750317463140962,NAc-lh
0.23169410610775812,NAc-lh
0.25323049613435533,NAc-lh
0.24525299000263737,NAc-lh
0.28204566271517767,NAc-lh
0.21926369442423427,NAc-lh
0.2336679997536408,NAc-lh
0.23731109763612945,NAc-lh
0.2690692648830821,NAc-lh
0.32624727773369666,NAc-lh
0.2621412132109543,NAc-lh
0.2408663516273847,NAc-lh
0.24610934485531,NAc-lh
0.24552410798947827,NAc-lh
0.2989457688296969,NAc-lh
0.2908113796773061,NAc-lh
0.25953237738444324,NAc-lh
0.25108197277161526,NAc-lh
0.25206493235565686,NAc-lh
0.3018811490265304,NAc-lh
0.26855572013122314,NAc-lh
0.2173212260887637,NAc-lh
0.31471551266012954,NAc-lh
0.2669777775436258,NAc-lh
0.2656225192414654,NAc-lh
0.24416838589802375,NAc-lh
0.18924488589964017,NAc-lh
0.2614764498826558,NAc-lh
0.2740796110391175,NAc-lh
0.27344078564504115,NAc-lh
0.25572987427374827,NAc-lh
0.19459300809152125,NAc-lh
0.30759372172008387,NAc-lh
0.22959398838572687,NAc-lh
0.24712188729604723,NAc-lh
0.3096574359895855,NAc-lh
0.2002891309082602,NAc-lh
0.23558245017751492,NAc-lh
0.26635789432945234,NAc-lh
0.3250918705192386,NAc-lh
0.220080709135161,NAc-lh
0.21191970968979473,NAc-lh
0.37659573154807074,NAc-lh
0.28009541322113357,NAc-lh
0.29965318458071366,NAc-lh
0.3047889313925992,NAc-lh
0.27495719205985547,NAc-lh
0.20588349137240036,NAc-lh
0.26594878056665844,NAc-lh
0.23860399944725524,NAc-lh
0.2835468971623756,NAc-lh
0.25192068032200715,NAc-lh
0.2565240046901529,NAc-lh
0.34412633437758877,NAc-lh
0.2487954270028479,NAc-lh
0.26059049498244746,NAc-lh
0.3291005251969676,NAc-lh
0.28179441892016105,NAc-lh
0.2848715742986173,NAc-lh
0.23010439103045105,NAc-lh
0.276853628793761,NAc-lh
0.2629734083032228,NAc-lh
0.21693125363702553,NAc-lh
0.23808939089512018,NAc-lh
0.2547239092771104,NAc-lh
0.25806081351379073,NAc-lh
0.25216774179870916,NAc-lh
0.27027070493292027,NAc-lh
0.23892702494858814,NAc-lh
0.20270356270523682,NAc-lh
0.2022982204022533,NAc-lh
0.25031776523667504,NAc-lh
0.36141661565898825,NAc-lh
0.2749469213527132,NAc-lh
0.2562276506799762,NAc-lh
0.23407726638419418,NAc-lh
0.2994540262123959,NAc-lh
0.2556589636409936,NAc-lh
0.23439772154432503,NAc-lh
