rho,roi
0.24031739268202296,NAc-rh
0.2883346624406605,NAc-rh
0.2525228108837175,NAc-rh
0.30992582377630357,NAc-rh
0.26168525449915947,NAc-rh
0.2803333214693415,NAc-rh
0.2520542938251249,NAc-rh
0.2915033263532159,NAc-rh
0.2705096834817897,NAc-rh
0.30910041072889355,NAc-rh
0.25078630083292625,NAc-rh
0.3483266552918338,NAc-rh
0.29329469508237355,NAc-rh
0.28634698373989886,NAc-rh
0.2554138740643818,NAc-rh
0.28721360317824923,NAc-rh
0.37254378813130673,NAc-rh
0.25506155797962393,NAc-rh
0.22108882440132835,NAc-rh
0.24564173872763018,NAc-rh
0.31279712745424204,NAc-rh
0.29686578394716445,NAc-rh
0.3611411688911411,NAc-rh
0.23923011590815163,NAc-rh
0.30196269058309927,NAc-rh
0.2177221846946386,NAc-rh
0.31671426532436164,NAc-rh
0.30458158052071965,NAc-rh
0.22086667427294157,NAc-rh
0.2741488781790276,NAc-rh
0.3039011044721107,NAc-rh
0.2458523319671343,NAc-rh
0.20597688424004176,NAc-rh
0.2621259355806093,NAc-rh
0.28541495815629514,NAc-rh
0.24978916984637878,NAc-rh
0.27563302434928266,NAc-rh
0.261514076853509,NAc-rh
0.27064482498749737,NAc-rh
0.3278923099517733,NAc-rh
0.3511700323561449,NAc-rh
0.29267364988781047,NAc-rh
0.3521471291604054,NAc-rh
0.3480386218909096,NAc-rh
0.37205953428349736,NAc-rh
0.28258239371239946,NAc-rh
0.19545862993545426,NAc-rh
0.2816402390758187,NAc-rh
0.24611333329054375,NAc-rh
0.254266640510731,NAc-rh
0.23755880968097118,NAc-rh
0.2435389228351907,NAc-rh
0.2921462587534168,NAc-rh
0.2689524242960636,NAc-rh
0.2719038497536027,NAc-rh
0.23104720963224182,NAc-rh
0.3242983548860098,NAc-rh
0.18474718471799856,NAc-rh
0.30696863615793524,NAc-rh
0.29466266526155027,NAc-rh
0.2728141463302345,NAc-rh
0.29756837839966843,NAc-rh
0.2150320435609691,NAc-rh
0.35596232413211704,NAc-rh
0.2930366886228997,NAc-rh
0.28596223252098696,NAc-rh
0.33499795475853156,NAc-rh
0.3711728681537615,NAc-rh
0.30807061303294003,NAc-rh
0.23120927529783514,NAc-rh
0.1824216321588291,NAc-rh
0.28088298287629454,NAc-rh
0.2869713415561035,NAc-rh
0.30637995983238636,NAc-rh
0.21345517573577155,NAc-rh
0.23779888989700318,NAc-rh
0.2671953765227081,NAc-rh
0.2947127505997514,NAc-rh
0.23433566234257286,NAc-rh
0.257695258966062,NAc-rh
0.2470672040822002,NAc-rh
0.25694749374488257,NAc-rh
0.28472653813920334,NAc-rh
0.300939336313921,NAc-rh
0.2007672804720817,NAc-rh
0.2872567270105232,NAc-rh
0.23751419737721274,NAc-rh
0.22422462052720932,NAc-rh
0.19796532500884453,NAc-rh
0.22931236379373582,NAc-rh
0.27135850889739765,NAc-rh
0.29118480907533123,NAc-rh
0.24505748921621387,NAc-rh
0.29586523673901305,NAc-rh
0.31430913609506017,NAc-rh
0.17181440112922575,NAc-rh
0.2632053384966468,NAc-rh
0.23386300013776368,NAc-rh
0.2848040975266183,NAc-rh
0.24797574659010765,NAc-rh
0.31242995382332234,NAc-rh
0.3320827650703766,NAc-rh
0.2812230896719065,NAc-rh
0.18380084446456568,NAc-rh
0.27879657946977937,NAc-rh
0.30262864116823,NAc-rh
0.2459471404479422,NAc-rh
0.27245022153154097,NAc-rh
0.2743514439623974,NAc-rh
0.24050833488040832,NAc-rh
0.261105729255229,NAc-rh
0.25586383186638595,NAc-rh
0.2224143257027038,NAc-rh
0.21337167587804454,NAc-rh
0.2806477770909042,NAc-rh
0.285377881894668,NAc-rh
0.2295611731645129,NAc-rh
0.3177278595108836,NAc-rh
0.26225781134826676,NAc-rh
0.2833704748916205,NAc-rh
0.3003528089678329,NAc-rh
0.299359373953298,NAc-rh
0.3004319194506508,NAc-rh
0.2260527912726164,NAc-rh
0.3202167597053802,NAc-rh
0.2822732626352773,NAc-rh
0.1666048011591067,NAc-rh
0.268010765057088,NAc-rh
0.26861683657493673,NAc-rh
0.32824627665418704,NAc-rh
0.2763392680514083,NAc-rh
0.28034703622681384,NAc-rh
0.34807797722380857,NAc-rh
0.28492714397398977,NAc-rh
0.2635632495414728,NAc-rh
0.26827548488591907,NAc-rh
0.3114865699404768,NAc-rh
0.29521592187411383,NAc-rh
0.28697442382524896,NAc-rh
0.2127830220698273,NAc-rh
0.2987249690174516,NAc-rh
0.2075024879333031,NAc-rh
0.19783429337335742,NAc-rh
0.28435512972802013,NAc-rh
0.3206106735707557,NAc-rh
0.370996545606918,NAc-rh
0.31231774497774695,NAc-rh
0.33510835299805397,NAc-rh
0.21697310666309302,NAc-rh
0.2515144480368972,NAc-rh
0.21945374768193424,NAc-rh
0.29538563106174576,NAc-rh
0.37200818114301104,NAc-rh
0.2929053164339802,NAc-rh
0.2616185481732418,NAc-rh
0.2950246077885645,NAc-rh
0.24157198059366772,NAc-rh
0.242347101682089,NAc-rh
0.30682617365825526,NAc-rh
0.2918596291157602,NAc-rh
0.33374511126674244,NAc-rh
0.2290867900640629,NAc-rh
0.25322850226575644,NAc-rh
0.27117635715362604,NAc-rh
0.27735905458288135,NAc-rh
0.2981438739035777,NAc-rh
0.3040943716260128,NAc-rh
0.27658077069003173,NAc-rh
0.36498140623841324,NAc-rh
0.3201606115985469,NAc-rh
0.2693340044201142,NAc-rh
0.29547947890488085,NAc-rh
0.1986964573750199,NAc-rh
0.28982885774505124,NAc-rh
0.2701238766225805,NAc-rh
0.34541232157647705,NAc-rh
0.2764469168174989,NAc-rh
0.28196566971726306,NAc-rh
0.16440967878362445,NAc-rh
0.23756632110896625,NAc-rh
0.21301490026627495,NAc-rh
0.2721809200582418,NAc-rh
0.3008230904025894,NAc-rh
0.3086064254621191,NAc-rh
0.30857770298544257,NAc-rh
0.29608636778974207,NAc-rh
0.30891471788315833,NAc-rh
0.26386677207878256,NAc-rh
0.2840809202020453,NAc-rh
0.3433011043065639,NAc-rh
0.2793087965423421,NAc-rh
0.22367353289707906,NAc-rh
0.2527493202589017,NAc-rh
0.2475153189846597,NAc-rh
0.29345595844391653,NAc-rh
0.27483226505864394,NAc-rh
0.3464822430412794,NAc-rh
0.29077214534406604,NAc-rh
0.2651075915548463,NAc-rh
0.2309540317878147,NAc-rh
0.21591296555093298,NAc-rh
0.27605948073053277,NAc-rh
0.22257068321285617,NAc-rh
0.30715405540966667,NAc-rh
0.2771708615667471,NAc-rh
0.27855409413306725,NAc-rh
0.2925573166942449,NAc-rh
0.33812600396065373,NAc-rh
0.23275619613364873,NAc-rh
0.26479789379813373,NAc-rh
0.2310279690631982,NAc-rh
0.29939429238354864,NAc-rh
0.2176039603202825,NAc-rh
0.32628119504841846,NAc-rh
0.3332539394368272,NAc-rh
0.23843097843344493,NAc-rh
0.308111172525336,NAc-rh
0.28724286671634736,NAc-rh
0.2979182784433634,NAc-rh
0.3208179933586213,NAc-rh
