rho,roi
0.2640592307828582,PUT-lh
0.29262762395987507,PUT-lh
0.3006564419989276,PUT-lh
0.27409589344508195,PUT-lh
0.37899548711931547,PUT-lh
0.204466402422034,PUT-lh
0.153896285929387,PUT-lh
0.31454294235657754,PUT-lh
0.22072532026302014,PUT-lh
0.3115855969288115,PUT-lh
0.2657393884275014,PUT-lh
0.2423200254800087,PUT-lh
0.26934664013906173,PUT-lh
0.3099574909363191,PUT-lh
0.30784563354694044,PUT-lh
0.2879485222803004,PUT-lh
0.2550792853110604,PUT-lh
0.3405190593090472,PUT-lh
0.22823429017388283,PUT-lh
0.2908849243818733,PUT-lh
0.23385505329638323,PUT-lh
0.2372454095664369,PUT-lh
0.32541497707934364,PUT-lh
0.33631023543035427,PUT-lh
0.23802533564255052,PUT-lh
0.2724516929829372,PUT-lh
0.2439568286900684,PUT-lh
0.30878858334813597,PUT-lh
0.24148489749444604,PUT-lh
0.29389589589142134,PUT-lh
0.21925498437732735,PUT-lh
0.24767556936536173,PUT-lh
0.30196554155502897,PUT-lh
0.24510363069329116,PUT-lh
0.2725360120666348,PUT-lh
0.19074837079473955,PUT-lh
0.2795069762474844,PUT-lh
0.2503619808991836,PUT-lh
0.28196473526217136,PUT-lh
0.34501353187997635,PUT-lh
0.3022355659892444,PUT-lh
0.28945664004297617,PUT-lh
0.2897845544801846,PUT-lh
0.2984144594114412,PUT-lh
0.32943523388103935,PUT-lh
0.2118121876420615,PUT-lh
0.22482731304339176,PUT-lh
0.3488198556596366,PUT-lh
0.2637834717884426,PUT-lh
0.309738124628692,PUT-lh
0.2726858110919179,PUT-lh
0.2795772824341402,PUT-lh
0.2906895580859905,PUT-lh
0.32369243050821617,PUT-lh
0.2634855322213509,PUT-lh
0.2242316979349478,PUT-lh
0.2742540214022446,PUT-lh
0.2273059059271346,PUT-lh
0.3232153562532194,PUT-lh
0.1837097105565092,PUT-lh
0.26145945904270035,PUT-lh
0.2711934218309451,PUT-lh
0.26037599121376476,PUT-lh
0.24486851517258193,PUT-lh
0.3342658269206574,PUT-lh
0.2051702683930119,PUT-lh
0.2617761766250024,PUT-lh
0.286880231272291,PUT-lh
0.2571836216544603,PUT-lh
0.2899111502143401,PUT-lh
0.24870924306544992,PUT-lh
0.1347070945393783,PUT-lh
0.22494984118762257,PUT-lh
0.2587473954110922,PUT-lh
0.21716159451905176,PUT-lh
0.2653039323037006,PUT-lh
0.19947911781586525,PUT-lh
0.3148287932265519,PUT-lh
0.30955088144631554,PUT-lh
0.29584663080926543,PUT-lh
0.2652057263384444,PUT-lh
0.24957146006148379,PUT-lh
0.30140042868173483,PUT-lh
0.24184262820236246,PUT-lh
0.32366477319012127,PUT-lh
0.2657879788344501,PUT-lh
0.17520152687719595,PUT-lh
0.2927869683688282,PUT-lh
0.21445874318208083,PUT-lh
0.29614850951393434,PUT-lh
0.3222500431771921,PUT-lh
0.32379010767630684,PUT-lh
0.30335537002055096,PUT-lh
0.25527445440125285,PUT-lh
0.27880144853602634,PUT-lh
0.2737258841782064,PUT-lh
0.2539246520515901,PUT-lh
0.3059037039068414,PUT-lh
0.2244389733132346,PUT-lh
0.24822516428463137,PUT-lh
0.2242084663885184,PUT-lh
0.21089033568972926,PUT-lh
0.24797550003256552,PUT-lh
0.30587966485897655,PUT-lh
0.3090448073132159,PUT-lh
0.2625916394718765,PUT-lh
0.2402825629472024,PUT-lh
0.21484652989912806,PUT-lh
0.31812244341888496,PUT-lh
0.2656203589500549,PUT-lh
0.26741008071954175,PUT-lh
0.3310905823759969,PUT-lh
0.2641290639161337,PUT-lh
0.2876995942538396,PUT-lh
0.22056521348665467,PUT-lh
0.12612237786113428,PUT-lh
0.35447975952077276,PUT-lh
0.30706600445241417,PUT-lh
0.2954276455846526,PUT-lh
0.23028901427951687,PUT-lh
0.32358142098448694,PUT-lh
0.19687550601610068,PUT-lh
0.275825808077591,PUT-lh
0.26721541594526566,PUT-lh
0.2833273695381814,PUT-lh
0.28713827765666994,PUT-lh
0.3354278706396805,PUT-lh
0.2866553914560478,PUT-lh
0.3138143994975596,PUT-lh
0.2622991934536102,PUT-lh
0.31971889432903344,PUT-lh
0.24218078819723424,PUT-lh
0.17579621008421165,PUT-lh
0.2571816032648303,PUT-lh
0.24868951596163041,PUT-lh
0.19099317153590817,PUT-lh
0.2316313255308316,PUT-lh
0.2677326736498974,PUT-lh
0.28325518947625006,PUT-lh
0.16091753080171117,PUT-lh
0.2658387936604579,PUT-lh
0.3288594742855655,PUT-lh
0.22806757467821717,PUT-lh
0.3247075292368197,PUT-lh
0.31841412781026207,PUT-lh
0.29583691794289957,PUT-lh
0.33958317396621035,PUT-lh
0.3010915961605349,PUT-lh
0.2923563872767819,PUT-lh
0.34205428413789013,PUT-lh
0.3113716169198656,PUT-lh
0.2752431884200345,PUT-lh
0.30474464436038823,PUT-lh
0.2697150216475426,PUT-lh
0.30880952170887027,PUT-lh
0.3281579285190058,PUT-lh
0.2321905089658902,PUT-lh
0.24436461189232123,PUT-lh
0.2641038050644889,PUT-lh
0.22191976055394533,PUT-lh
0.19707341874522005,PUT-lh
0.32757000953287474,PUT-lh
0.3034072840938495,PUT-lh
0.30576806628088216,PUT-lh
0.20734261103505325,PUT-lh
0.2686761921029389,PUT-lh
0.26396932525339956,PUT-lh
0.29254633386693246,PUT-lh
0.2889427676984616,PUT-lh
0.31800422423122154,PUT-lh
0.2902594925099269,PUT-lh
0.26843408033312577,PUT-lh
0.23585423708162073,PUT-lh
0.3249020434008289,PUT-lh
0.31675828302786213,PUT-lh
0.1943200997930848,PUT-lh
0.25556233176208343,PUT-lh
0.25064077691983855,PUT-lh
0.27445322002868455,PUT-lh
0.25164968100977814,PUT-lh
0.329972069731566,PUT-lh
0.3120651076631367,PUT-lh
0.2449097475288245,PUT-lh
0.30647408676468213,PUT-lh
0.29173061385593246,PUT-lh
0.20000478017287712,PUT-lh
0.333732680563041,PUT-lh
0.3124618164209183,PUT-lh
0.2826299685986936,PUT-lh
0.3136157811997571,PUT-lh
0.2875873485783132,PUT-lh
0.22430625151747632,PUT-lh
0.23906274973287225,PUT-lh
0.31643480830100135,PUT-lh
0.23314876056686373,PUT-lh
0.23891623277052643,PUT-lh
0.2140816758003377,PUT-lh
0.24259831830234402,PUT-lh
0.33449124732957936,PUT-lh
0.28614808266862474,PUT-lh
0.23072442075722033,PUT-lh
0.33802699788329366,PUT-lh
0.2728285748048761,PUT-lh
0.2796309310441615,PUT-lh
0.17581229114777563,PUT-lh
0.3191415940467099,PUT-lh
0.2806842536816869,PUT-lh
0.20443357121734018,PUT-lh
0.3059860042816519,PUT-lh
0.3464758955702606,PUT-lh
0.24478987626285897,PUT-lh
0.29881643015947446,PUT-lh
0.27389845338854857,PUT-lh
0.24035269826578273,PUT-lh
0.2910828282286058,PUT-lh
0.2289618621286129,PUT-lh
0.18759269598774692,PUT-lh
0.2801221140948241,PUT-lh
0.19886328941875422,PUT-lh
0.2891174613259071,PUT-lh
0.304000079072008,PUT-lh
0.2546084393030084,PUT-lh
0.2585167912592896,PUT-lh
0.2835252748893382,PUT-lh
0.34510223003693646,PUT-lh
0.2598895588256763,PUT-lh
0.2475475257449548,PUT-lh
0.31149234491513716,PUT-lh
0.3505688954798587,PUT-lh
0.1760785664435873,PUT-lh
0.29154767906233986,PUT-lh
0.2858995281430151,PUT-lh
0.23041919630467714,PUT-lh
0.3301111396930074,PUT-lh
0.182518610868028,PUT-lh
0.368800394394366,PUT-lh
0.24268378365036536,PUT-lh
0.24026393302671686,PUT-lh
0.2609163922755911,PUT-lh
0.321433155669407,PUT-lh
0.3604434966601209,PUT-lh
0.26976041509115045,PUT-lh
0.24467021351130158,PUT-lh
0.2858213205451594,PUT-lh
0.29701589892793856,PUT-lh
0.24995017375968476,PUT-lh
0.2969776292443487,PUT-lh
0.28818374783511064,PUT-lh
0.33261076068665046,PUT-lh
0.31563472929831266,PUT-lh
0.26086923876294943,PUT-lh
0.26498450818127695,PUT-lh
0.2556467496245928,PUT-lh
0.29116563899900805,PUT-lh
0.28534654484404803,PUT-lh
0.31387285138573595,PUT-lh
0.28805697055783147,PUT-lh
0.2238722324417197,PUT-lh
0.3249534057218698,PUT-lh
0.3314942577920472,PUT-lh
0.291345411526869,PUT-lh
0.2927053384794407,PUT-lh
0.23412334370091248,PUT-lh
0.286216090735034,PUT-lh
0.21133041597447966,PUT-lh
0.19090726841721367,PUT-lh
0.21396514242418044,PUT-lh
0.2448570962150033,PUT-lh
0.24267937853822644,PUT-lh
0.2562992169608613,PUT-lh
0.22886889907564412,PUT-lh
0.2740528087695645,PUT-lh
0.382971696582884,PUT-lh
0.30461870474519165,PUT-lh
0.25253961841669254,PUT-lh
0.15872997463527355,PUT-lh
0.23885632413476357,PUT-lh
0.3248280862316565,PUT-lh
0.23639297440189438,PUT-lh
0.346695818666279,PUT-lh
0.2759152367258254,PUT-lh
0.332337673444831,PUT-lh
0.226967938293904,PUT-lh
0.29702450433556216,PUT-lh
0.13833399898410928,PUT-lh
0.3192337426520288,PUT-lh
0.20597407723495947,PUT-lh
0.2593532539563953,PUT-lh
0.2911276912885063,PUT-lh
0.3202393208074752,PUT-lh
0.3454775627228648,PUT-lh
0.3164792642508238,PUT-lh
0.3554138089859197,PUT-lh
0.2798415609880303,PUT-lh
0.33940378447088787,PUT-lh
0.29542895849925316,PUT-lh
0.23038626034636592,PUT-lh
0.38173923789881375,PUT-lh
0.23662168664548863,PUT-lh
0.2578348625118424,PUT-lh
