rho,roi
0.27311476150107816,PUT-rh
0.19001937586059198,PUT-rh
0.23330946288093346,PUT-rh
0.20180941346844208,PUT-rh
0.21225043286365175,PUT-rh
0.19641845145268738,PUT-rh
0.25960478945911436,PUT-rh
0.18991885450727408,PUT-rh
0.21980482140105112,PUT-rh
0.1871753378248342,PUT-rh
0.24977512812002522,PUT-rh
0.2514984604604249,PUT-rh
0.19257642159997138,PUT-rh
0.15452763182407023,PUT-rh
0.28573043927490305,PUT-rh
0.16771057100615003,PUT-rh
0.25169845247006906,PUT-rh
0.20255929475496035,PUT-rh
0.17352536022629392,PUT-rh
0.2945630015110434,PUT-rh
0.20441533144864235,PUT-rh
0.2059875910842997,PUT-rh
0.2186956914503541,PUT-rh
0.20541381039624945,PUT-rh
0.1955947101911953,PUT-rh
0.2160796258329053,PUT-rh
0.3173039001748197,PUT-rh
0.22198217344491847,PUT-rh
0.2506564711810379,PUT-rh
0.21990859682767794,PUT-rh
0.2731990393314103,PUT-rh
0.2254051102044125,PUT-rh
0.21597248371163955,PUT-rh
0.2353089842379897,PUT-rh
0.22022446549278685,PUT-rh
0.20496161137333765,PUT-rh
0.25179592017386015,PUT-rh
0.2664786403818081,PUT-rh
0.12986713684850035,PUT-rh
0.09870085599118761,PUT-rh
0.2457104395217608,PUT-rh
0.17683481236060777,PUT-rh
0.2615845518228767,PUT-rh
0.13953063623102666,PUT-rh
0.2544941539013467,PUT-rh
0.20200161010384435,PUT-rh
0.15257086884976426,PUT-rh
0.220240292991761,PUT-rh
0.24997175183927775,PUT-rh
0.19308347435296436,PUT-rh
0.20562850563305862,PUT-rh
0.19758337422253183,PUT-rh
0.215469736226578,PUT-rh
0.26451935493114365,PUT-rh
0.25923438278180977,PUT-rh
0.14608942722314835,PUT-rh
0.2567663771776403,PUT-rh
0.21840013281421847,PUT-rh
0.2803825038218719,PUT-rh
0.1548188172236655,PUT-rh
0.2128548380375289,PUT-rh
0.26798437381843265,PUT-rh
0.20869103378959505,PUT-rh
0.1787619517293132,PUT-rh
0.2364177083774851,PUT-rh
0.21298307852040788,PUT-rh
0.2433853618398233,PUT-rh
0.21879076205218712,PUT-rh
0.22183655535287916,PUT-rh
0.24009081481747313,PUT-rh
0.20952908336889517,PUT-rh
0.23434587581230706,PUT-rh
0.2106216181373139,PUT-rh
0.20994190720362993,PUT-rh
0.19289784163820806,PUT-rh
0.2848708733791606,PUT-rh
0.17086269606655805,PUT-rh
0.23827624430367234,PUT-rh
0.2944233998976703,PUT-rh
0.21027604324217636,PUT-rh
0.2954482686875347,PUT-rh
0.18410353129504425,PUT-rh
0.23751187015993913,PUT-rh
0.23602727644062033,PUT-rh
0.23157277877353588,PUT-rh
0.24211770131071925,PUT-rh
0.21385300693351653,PUT-rh
0.24521206522194344,PUT-rh
0.26021237195718433,PUT-rh
0.22853214988230544,PUT-rh
0.19748908393783138,PUT-rh
0.26981816823216387,PUT-rh
0.23112216957116793,PUT-rh
0.26339639051511604,PUT-rh
0.2126382353872629,PUT-rh
0.18147191107975477,PUT-rh
0.18144916535930936,PUT-rh
0.2557231774785321,PUT-rh
0.16643825937443865,PUT-rh
0.2300386691550503,PUT-rh
0.2573634884113947,PUT-rh
0.24455374503710023,PUT-rh
0.19050996017627697,PUT-rh
0.15680517401710856,PUT-rh
0.17619821122201554,PUT-rh
0.26600315575511385,PUT-rh
