rho,roi
0.21222145581457624,R_7AL_ROI
0.24744448003214883,R_7AL_ROI
0.07925180218454494,R_7AL_ROI
0.13392839071091273,R_7AL_ROI
0.25154106613759536,R_7AL_ROI
0.1697024601264391,R_7AL_ROI
0.11648641164961235,R_7AL_ROI
0.12612075160046646,R_7AL_ROI
0.14590024354741749,R_7AL_ROI
0.18257253677458615,R_7AL_ROI
0.19270931322856533,R_7AL_ROI
0.1129365848420999,R_7AL_ROI
0.1857355660766137,R_7AL_ROI
0.13807616576878712,R_7AL_ROI
0.23573992064418275,R_7AL_ROI
0.26451442133413217,R_7AL_ROI
0.17207807562119515,R_7AL_ROI
0.16770909324709787,R_7AL_ROI
0.21316194143804135,R_7AL_ROI
0.19118514533810443,R_7AL_ROI
0.2119852647641206,R_7AL_ROI
0.18941363844448417,R_7AL_ROI
0.19225007577920736,R_7AL_ROI
0.17671736446113329,R_7AL_ROI
0.19143461441755616,R_7AL_ROI
0.14535824327090166,R_7AL_ROI
0.17941203334190614,R_7AL_ROI
0.18649354942839774,R_7AL_ROI
0.08443862316721253,R_7AL_ROI
0.18975755263325966,R_7AL_ROI
0.14169764984898925,R_7AL_ROI
0.2473942451373961,R_7AL_ROI
0.16972833284968922,R_7AL_ROI
0.15866081423671705,R_7AL_ROI
0.20089449211689653,R_7AL_ROI
0.14299532904566342,R_7AL_ROI
0.2007572266352004,R_7AL_ROI
0.14022473221544526,R_7AL_ROI
0.1990808845631437,R_7AL_ROI
0.17815656265325894,R_7AL_ROI
0.1705422752523563,R_7AL_ROI
0.18063237044176253,R_7AL_ROI
0.167234389501627,R_7AL_ROI
0.13679298004500884,R_7AL_ROI
0.17867151517540575,R_7AL_ROI
0.19404316200677793,R_7AL_ROI
0.23334178924034735,R_7AL_ROI
0.229224899409022,R_7AL_ROI
0.33553596312971445,R_7AL_ROI
0.1550404939259202,R_7AL_ROI
0.19673474344668296,R_7AL_ROI
0.18398806628491587,R_7AL_ROI
0.1858805122021619,R_7AL_ROI
0.21600494231386844,R_7AL_ROI
0.1960860611409282,R_7AL_ROI
0.20063652421500547,R_7AL_ROI
0.22821869094151065,R_7AL_ROI
0.1903504883280872,R_7AL_ROI
0.1554790963921096,R_7AL_ROI
0.19094044064286805,R_7AL_ROI
0.12907193265014108,R_7AL_ROI
0.14514482327385167,R_7AL_ROI
0.216929373212148,R_7AL_ROI
0.148259382120358,R_7AL_ROI
0.0931084497010875,R_7AL_ROI
0.17611633813932134,R_7AL_ROI
0.2055162674214592,R_7AL_ROI
0.19990822734089952,R_7AL_ROI
0.23518102957611647,R_7AL_ROI
0.20321148740300687,R_7AL_ROI
0.2076260918908317,R_7AL_ROI
0.20912141863848843,R_7AL_ROI
0.1899153810266438,R_7AL_ROI
0.16777224622382955,R_7AL_ROI
0.21875585691833627,R_7AL_ROI
0.2375094596433725,R_7AL_ROI
0.20858151667822572,R_7AL_ROI
0.22643527959553483,R_7AL_ROI
0.17448482541992255,R_7AL_ROI
0.16750235694899446,R_7AL_ROI
0.19031400310385566,R_7AL_ROI
0.2558459622754372,R_7AL_ROI
0.19840938330025945,R_7AL_ROI
0.273121581174182,R_7AL_ROI
0.1480923363841246,R_7AL_ROI
0.20064117969278714,R_7AL_ROI
0.20806426385909882,R_7AL_ROI
0.2084310787396464,R_7AL_ROI
0.1679226313495855,R_7AL_ROI
0.14702852353051832,R_7AL_ROI
0.18050558775081313,R_7AL_ROI
0.22529836961825878,R_7AL_ROI
0.11236295291226701,R_7AL_ROI
0.2542362704372583,R_7AL_ROI
0.2512512062992571,R_7AL_ROI
0.19577803149118528,R_7AL_ROI
0.13090284848304742,R_7AL_ROI
0.16445131288341513,R_7AL_ROI
0.12834087446937242,R_7AL_ROI
0.1405245436601456,R_7AL_ROI
0.13814378025220586,R_7AL_ROI
0.23860256977279165,R_7AL_ROI
0.11009465197758316,R_7AL_ROI
0.1728981786178151,R_7AL_ROI
0.13303318958887644,R_7AL_ROI
0.22593837436368097,R_7AL_ROI
0.13404366612349083,R_7AL_ROI
0.2469201032831721,R_7AL_ROI
0.1256312613554697,R_7AL_ROI
0.09420604631182863,R_7AL_ROI
0.2421101497002228,R_7AL_ROI
0.2031347541697925,R_7AL_ROI
0.17600529046172547,R_7AL_ROI
0.17692051672646436,R_7AL_ROI
0.17319885964527,R_7AL_ROI
0.17464328536881363,R_7AL_ROI
0.18761817040628287,R_7AL_ROI
0.15446689656760143,R_7AL_ROI
0.13881453627835555,R_7AL_ROI
0.17166513518938895,R_7AL_ROI
0.23229813259805998,R_7AL_ROI
0.13104825774548234,R_7AL_ROI
0.18554260551667925,R_7AL_ROI
0.19520667356123747,R_7AL_ROI
0.19384798019601251,R_7AL_ROI
0.27551269749341034,R_7AL_ROI
0.1910567516259214,R_7AL_ROI
0.2852644514824175,R_7AL_ROI
0.21021118737168665,R_7AL_ROI
0.18276368396716275,R_7AL_ROI
0.18087976052903892,R_7AL_ROI
0.18490375929504377,R_7AL_ROI
0.12360922676274695,R_7AL_ROI
0.17350804297606057,R_7AL_ROI
0.1337882222799505,R_7AL_ROI
0.15532328021638747,R_7AL_ROI
0.16918317439031838,R_7AL_ROI
0.1357868732141144,R_7AL_ROI
0.19317977299681166,R_7AL_ROI
0.2014508406080939,R_7AL_ROI
0.1685788140028357,R_7AL_ROI
0.13056576666667277,R_7AL_ROI
