rho,roi
-0.0797124777348227,R_TF_ROI
-0.05734472145115694,R_TF_ROI
-0.028805288372933464,R_TF_ROI
0.01642452876302021,R_TF_ROI
0.015602582651267478,R_TF_ROI
0.03157558022461438,R_TF_ROI
0.0075084077592503205,R_TF_ROI
-0.06743894133745626,R_TF_ROI
-0.017008109194765843,R_TF_ROI
-0.040759373645649986,R_TF_ROI
0.03662624922715448,R_TF_ROI
0.028134608938917536,R_TF_ROI
0.023229402678186645,R_TF_ROI
-0.09599825471499138,R_TF_ROI
-0.03529555236490565,R_TF_ROI
-0.07330060015153551,R_TF_ROI
-0.09493443495341017,R_TF_ROI
-0.0719076061641768,R_TF_ROI
-0.03031618402856444,R_TF_ROI
0.016904245373737987,R_TF_ROI
-0.0928314071219979,R_TF_ROI
-0.02169452195224849,R_TF_ROI
-0.04011155655878295,R_TF_ROI
-0.048664794774447975,R_TF_ROI
0.02763655116379725,R_TF_ROI
-0.035355006627077135,R_TF_ROI
-0.08803537086690183,R_TF_ROI
-0.09619796378347797,R_TF_ROI
-0.05550679258222149,R_TF_ROI
0.0634491725998494,R_TF_ROI
0.03778322908248319,R_TF_ROI
-0.12465327334832826,R_TF_ROI
0.03452904819464955,R_TF_ROI
0.009431741247739558,R_TF_ROI
-0.000370219380006709,R_TF_ROI
0.0021639176966479524,R_TF_ROI
-0.005719153079843404,R_TF_ROI
-0.10675404225618867,R_TF_ROI
-0.02603251668252806,R_TF_ROI
-0.05227673885281272,R_TF_ROI
-0.019636581606941227,R_TF_ROI
-0.06907669430642686,R_TF_ROI
-0.01813654095763397,R_TF_ROI
-0.05462339789888662,R_TF_ROI
-0.010761257119878236,R_TF_ROI
-0.09985811882212825,R_TF_ROI
0.01400755892465696,R_TF_ROI
0.0219639245456259,R_TF_ROI
-0.033530635285604,R_TF_ROI
0.02758483507423268,R_TF_ROI
-0.04313218630326961,R_TF_ROI
-0.0277810968628894,R_TF_ROI
-0.06950266798121879,R_TF_ROI
-0.014194794257647718,R_TF_ROI
0.016505053977112744,R_TF_ROI
-0.042877851491526786,R_TF_ROI
-0.07643323965250005,R_TF_ROI
-0.0014239199571484291,R_TF_ROI
0.0039396656998470355,R_TF_ROI
-0.003973508838331297,R_TF_ROI
-0.0019764177330861095,R_TF_ROI
-0.03637661651873181,R_TF_ROI
-0.08634811949498367,R_TF_ROI
-0.03772480061066103,R_TF_ROI
-0.06677423185213859,R_TF_ROI
-0.046786086929368885,R_TF_ROI
-0.09623164642957105,R_TF_ROI
-0.0198556853234946,R_TF_ROI
-0.06166179816066385,R_TF_ROI
-0.057480590756254224,R_TF_ROI
0.011107972185242437,R_TF_ROI
-0.021269454687461584,R_TF_ROI
-0.08919876679314974,R_TF_ROI
-0.05098345513165639,R_TF_ROI
-0.011423173375654162,R_TF_ROI
-0.05499015807824501,R_TF_ROI
-0.04075226649454912,R_TF_ROI
0.005415437146996214,R_TF_ROI
-0.10225013405919278,R_TF_ROI
-0.033226726422698805,R_TF_ROI
-0.0700603223806942,R_TF_ROI
0.01133419778061749,R_TF_ROI
-0.009848303727162395,R_TF_ROI
-0.0563263165387647,R_TF_ROI
0.016232807260714667,R_TF_ROI
-0.04757894156034485,R_TF_ROI
0.06695980137744525,R_TF_ROI
-0.014561438259147677,R_TF_ROI
-0.02583726516009903,R_TF_ROI
-0.019013108824758415,R_TF_ROI
-0.017287768770403996,R_TF_ROI
-0.0015602126101717274,R_TF_ROI
0.008215570449201917,R_TF_ROI
-0.04356543838954805,R_TF_ROI
-0.0863429062984089,R_TF_ROI
-0.07680299507561926,R_TF_ROI
-0.03242801953033543,R_TF_ROI
-0.08815931847055504,R_TF_ROI
-0.10118771607025309,R_TF_ROI
-0.03126434206161195,R_TF_ROI
-0.10244553446041263,R_TF_ROI
-0.03894231201164827,R_TF_ROI
-0.0018424731572845056,R_TF_ROI
-0.0318894848102174,R_TF_ROI
-0.021585481558564622,R_TF_ROI
-0.067706723094191,R_TF_ROI
-0.02883043732419535,R_TF_ROI
0.08337260830682056,R_TF_ROI
0.0060783954962737715,R_TF_ROI
-0.10462207108170948,R_TF_ROI
-0.1086379716164523,R_TF_ROI
-0.036417716734162664,R_TF_ROI
-0.017781833418824368,R_TF_ROI
0.006688150531149243,R_TF_ROI
0.020519646179838008,R_TF_ROI
