rho,roi
0.5788123076568079,R_V3B_ROI
0.6286829626413325,R_V3B_ROI
0.553388773314781,R_V3B_ROI
0.5858274764298619,R_V3B_ROI
0.6375658530531821,R_V3B_ROI
0.523275405590096,R_V3B_ROI
0.6026083649165845,R_V3B_ROI
0.5476660960205892,R_V3B_ROI
0.5628145492136811,R_V3B_ROI
0.5993517445177468,R_V3B_ROI
0.6808172131760557,R_V3B_ROI
0.6845350563250672,R_V3B_ROI
0.5287849708532147,R_V3B_ROI
0.5622511231828328,R_V3B_ROI
0.5611449488450663,R_V3B_ROI
0.6262277446501484,R_V3B_ROI
0.5900975456404624,R_V3B_ROI
0.5555894085964211,R_V3B_ROI
0.5596492293365526,R_V3B_ROI
0.5787984869182463,R_V3B_ROI
0.5229911238919984,R_V3B_ROI
0.4914748472689362,R_V3B_ROI
0.5617796536356363,R_V3B_ROI
0.4814025586187799,R_V3B_ROI
0.6765111409202882,R_V3B_ROI
0.6491652673462597,R_V3B_ROI
0.5966383762340187,R_V3B_ROI
0.575894310202883,R_V3B_ROI
0.6347604480710209,R_V3B_ROI
0.6170322597057126,R_V3B_ROI
0.64527001519356,R_V3B_ROI
0.5394092355901614,R_V3B_ROI
0.5744381771548841,R_V3B_ROI
0.4878288475943659,R_V3B_ROI
0.5541365853706886,R_V3B_ROI
0.6817359140653527,R_V3B_ROI
0.5752080914739266,R_V3B_ROI
0.557399288379182,R_V3B_ROI
0.49501615291346746,R_V3B_ROI
0.5734531409766912,R_V3B_ROI
0.5516939219849463,R_V3B_ROI
0.6022632065474792,R_V3B_ROI
0.5429100649603839,R_V3B_ROI
0.6229114669846033,R_V3B_ROI
0.47187878531811445,R_V3B_ROI
0.5941277361146253,R_V3B_ROI
0.6107763837557747,R_V3B_ROI
0.5319366440867095,R_V3B_ROI
0.5871959397957094,R_V3B_ROI
0.594448430280134,R_V3B_ROI
0.5642772530445492,R_V3B_ROI
0.5906804575937525,R_V3B_ROI
0.5387504351352691,R_V3B_ROI
0.5784735033153229,R_V3B_ROI
0.5633248131171078,R_V3B_ROI
0.6506568644026666,R_V3B_ROI
0.5026205030150068,R_V3B_ROI
0.5573410940583167,R_V3B_ROI
0.5550633959618781,R_V3B_ROI
0.5405962100883899,R_V3B_ROI
0.5757751055415403,R_V3B_ROI
0.5814169167299712,R_V3B_ROI
0.5466357341257225,R_V3B_ROI
0.5543227582131456,R_V3B_ROI
0.65128159423266,R_V3B_ROI
0.5036189327629524,R_V3B_ROI
0.6136465467882308,R_V3B_ROI
0.647316587881495,R_V3B_ROI
0.587100385408265,R_V3B_ROI
0.547595800555389,R_V3B_ROI
0.4415708214454168,R_V3B_ROI
0.4322504841712463,R_V3B_ROI
0.5841123837857563,R_V3B_ROI
0.5821002473139736,R_V3B_ROI
0.734262794431499,R_V3B_ROI
0.6488906868210993,R_V3B_ROI
0.5166658235702682,R_V3B_ROI
0.5154271214487398,R_V3B_ROI
0.5325322610967536,R_V3B_ROI
0.562378787004489,R_V3B_ROI
0.5003328479642573,R_V3B_ROI
0.5247136150123753,R_V3B_ROI
0.6387357640587709,R_V3B_ROI
0.5970614479861106,R_V3B_ROI
0.6572833516605915,R_V3B_ROI
0.5550652149271703,R_V3B_ROI
0.5658069298678731,R_V3B_ROI
0.513394840581785,R_V3B_ROI
0.5760253355302101,R_V3B_ROI
0.508701792772614,R_V3B_ROI
0.532724862080556,R_V3B_ROI
0.6036062134190936,R_V3B_ROI
0.6094063550232629,R_V3B_ROI
0.5397849070691838,R_V3B_ROI
0.619163979872089,R_V3B_ROI
0.5994275630274883,R_V3B_ROI
0.586416538496053,R_V3B_ROI
0.6392206028804068,R_V3B_ROI
0.5706977230306337,R_V3B_ROI
0.5977323730792317,R_V3B_ROI
0.6670471336975674,R_V3B_ROI
0.6095601032555443,R_V3B_ROI
0.5935225858871144,R_V3B_ROI
0.5914936076314696,R_V3B_ROI
0.6029668971216828,R_V3B_ROI
0.5813968190385707,R_V3B_ROI
0.6175513477289916,R_V3B_ROI
0.5673746281715276,R_V3B_ROI
0.5262936790141967,R_V3B_ROI
0.5735124381714688,R_V3B_ROI
0.6329926065926346,R_V3B_ROI
0.6726298801858376,R_V3B_ROI
0.5277937633787044,R_V3B_ROI
0.5319358963796299,R_V3B_ROI
0.594043947298628,R_V3B_ROI
0.568600815601363,R_V3B_ROI
0.4574014418416296,R_V3B_ROI
0.5589049156904181,R_V3B_ROI
0.435067114555752,R_V3B_ROI
0.6039009900852177,R_V3B_ROI
0.5904597082175473,R_V3B_ROI
0.509710869175437,R_V3B_ROI
0.5494871691165621,R_V3B_ROI
0.5475426963304908,R_V3B_ROI
0.4770508455127742,R_V3B_ROI
0.5590040917003206,R_V3B_ROI
0.4964894463572579,R_V3B_ROI
0.6249477007368283,R_V3B_ROI
0.574556907324375,R_V3B_ROI
0.5942568788314853,R_V3B_ROI
0.5924274690690923,R_V3B_ROI
0.6913342613065028,R_V3B_ROI
0.5657577710268851,R_V3B_ROI
0.6843123501663483,R_V3B_ROI
0.5209703293345852,R_V3B_ROI
0.5768249206293322,R_V3B_ROI
0.6493022567875454,R_V3B_ROI
0.5805378737690225,R_V3B_ROI
0.5362232042793125,R_V3B_ROI
0.5771921516844793,R_V3B_ROI
0.603315241092867,R_V3B_ROI
0.6118519756855969,R_V3B_ROI
0.4588832548570965,R_V3B_ROI
0.5952096112695906,R_V3B_ROI
0.5833536228895299,R_V3B_ROI
0.5051953278988719,R_V3B_ROI
0.5068486940221515,R_V3B_ROI
0.639839534365587,R_V3B_ROI
0.6477452916260428,R_V3B_ROI
0.5613753838253961,R_V3B_ROI
0.6203803168526276,R_V3B_ROI
0.5881240884313931,R_V3B_ROI
0.5522126778737306,R_V3B_ROI
0.5810651118282387,R_V3B_ROI
0.6358523616343629,R_V3B_ROI
0.5269120840946289,R_V3B_ROI
0.4649566908368629,R_V3B_ROI
0.5391169441664749,R_V3B_ROI
0.6193034436235507,R_V3B_ROI
0.6211994044555162,R_V3B_ROI
0.5226623499813051,R_V3B_ROI
0.5604327736424253,R_V3B_ROI
0.5974690261977658,R_V3B_ROI
0.5123679646538668,R_V3B_ROI
0.4913227556520814,R_V3B_ROI
0.6401602198021316,R_V3B_ROI
0.5968768731636455,R_V3B_ROI
0.5547697095548695,R_V3B_ROI
0.5151557949498068,R_V3B_ROI
0.6772207510006958,R_V3B_ROI
0.4367426172452912,R_V3B_ROI
0.5736118255265596,R_V3B_ROI
0.6568265616313343,R_V3B_ROI
0.6689646131441809,R_V3B_ROI
0.4940336303574562,R_V3B_ROI
0.590760116775919,R_V3B_ROI
0.608283189434883,R_V3B_ROI
0.5886620506048299,R_V3B_ROI
0.4964794943099296,R_V3B_ROI
0.5860249709270556,R_V3B_ROI
0.4866010214988013,R_V3B_ROI
0.6034427200431502,R_V3B_ROI
0.5716998560537147,R_V3B_ROI
0.5733507673707655,R_V3B_ROI
0.4777883939681235,R_V3B_ROI
0.5198978892377821,R_V3B_ROI
0.6092050281430608,R_V3B_ROI
0.5063905259899898,R_V3B_ROI
0.5443237848675859,R_V3B_ROI
0.5724455825572957,R_V3B_ROI
0.5514573170572189,R_V3B_ROI
0.5068410213928415,R_V3B_ROI
0.5199994874578817,R_V3B_ROI
0.6779280650423605,R_V3B_ROI
0.5646266112138787,R_V3B_ROI
0.6082680489925547,R_V3B_ROI
0.6300006731978909,R_V3B_ROI
0.5819521541213228,R_V3B_ROI
0.5962756398032382,R_V3B_ROI
0.5579055357300071,R_V3B_ROI
0.6668577041564092,R_V3B_ROI
0.563813078164965,R_V3B_ROI
0.5621227478550995,R_V3B_ROI
0.6325465925985465,R_V3B_ROI
0.6227296472330025,R_V3B_ROI
0.5890621965942178,R_V3B_ROI
0.5953370768026995,R_V3B_ROI
0.585788915660529,R_V3B_ROI
0.6370753508515348,R_V3B_ROI
0.701986622306332,R_V3B_ROI
0.5710244946100972,R_V3B_ROI
0.604173015641882,R_V3B_ROI
0.570254218778984,R_V3B_ROI
0.586648106962139,R_V3B_ROI
0.5283636109243216,R_V3B_ROI
0.5208881500303923,R_V3B_ROI
0.6116025126781156,R_V3B_ROI
0.45337643365098435,R_V3B_ROI
0.6105955439391033,R_V3B_ROI
0.5986294191616849,R_V3B_ROI
0.5453229169019006,R_V3B_ROI
0.5713740273076932,R_V3B_ROI
0.6423906121715508,R_V3B_ROI
0.5671542553025811,R_V3B_ROI
0.524723162101279,R_V3B_ROI
0.5233583515149081,R_V3B_ROI
0.6497448297529487,R_V3B_ROI
0.5454833652175741,R_V3B_ROI
0.5537864114644172,R_V3B_ROI
0.5455272270028503,R_V3B_ROI
0.5913109219044906,R_V3B_ROI
0.4909409977227866,R_V3B_ROI
0.5446962470755154,R_V3B_ROI
0.5495394841524515,R_V3B_ROI
0.5658896238989427,R_V3B_ROI
0.5590552194807914,R_V3B_ROI
0.5849239721437625,R_V3B_ROI
0.5297392928487552,R_V3B_ROI
0.604305278209988,R_V3B_ROI
0.586126087358833,R_V3B_ROI
0.5986381654852917,R_V3B_ROI
0.4689686071479238,R_V3B_ROI
0.5581196475335544,R_V3B_ROI
0.61966918687805,R_V3B_ROI
0.6220612731705553,R_V3B_ROI
0.49997165156577805,R_V3B_ROI
0.6327891083858445,R_V3B_ROI
0.5601919976322844,R_V3B_ROI
0.4564493615187935,R_V3B_ROI
0.5953734997552048,R_V3B_ROI
0.6138232678899912,R_V3B_ROI
0.5141044977238093,R_V3B_ROI
0.5067517346716017,R_V3B_ROI
0.6053313001968313,R_V3B_ROI
0.6002592530017475,R_V3B_ROI
0.4347155062400204,R_V3B_ROI
0.5870190993064044,R_V3B_ROI
0.5731192681374001,R_V3B_ROI
0.5400617774078236,R_V3B_ROI
0.5622103252589195,R_V3B_ROI
0.6529641931904945,R_V3B_ROI
0.5241075184641409,R_V3B_ROI
0.5764251269797056,R_V3B_ROI
0.6275806107604543,R_V3B_ROI
0.5799426234283418,R_V3B_ROI
0.6131771979714944,R_V3B_ROI
0.5362700070168517,R_V3B_ROI
0.5480958827725039,R_V3B_ROI
0.6058103342290803,R_V3B_ROI
0.5466937326826116,R_V3B_ROI
0.5585468448335519,R_V3B_ROI
0.49698695364900736,R_V3B_ROI
0.6021369080056541,R_V3B_ROI
0.5230676406720807,R_V3B_ROI
0.5812006196718486,R_V3B_ROI
0.5942404817570055,R_V3B_ROI
0.5616696380948882,R_V3B_ROI
0.6657091682739316,R_V3B_ROI
0.5761616812409324,R_V3B_ROI
0.6414658312713796,R_V3B_ROI
0.5627485677649526,R_V3B_ROI
0.5353516950038627,R_V3B_ROI
0.5310061063267509,R_V3B_ROI
0.5484293265875078,R_V3B_ROI
0.5652149793372548,R_V3B_ROI
0.65477827864003,R_V3B_ROI
0.5133288054424151,R_V3B_ROI
0.49732298133102637,R_V3B_ROI
0.5279834160568707,R_V3B_ROI
0.5901087615022197,R_V3B_ROI
0.6280917483737649,R_V3B_ROI
0.6308034116759789,R_V3B_ROI
0.5803058703905729,R_V3B_ROI
0.5153983318529749,R_V3B_ROI
