rho,roi
0.0743173043020303,R_d23ab_ROI
0.08174248976217656,R_d23ab_ROI
0.06717953786826776,R_d23ab_ROI
0.09301263682363828,R_d23ab_ROI
0.040342109352088096,R_d23ab_ROI
0.07006502705677944,R_d23ab_ROI
0.10451204988963259,R_d23ab_ROI
0.07852386100122323,R_d23ab_ROI
0.04387171456770994,R_d23ab_ROI
0.03224083552627437,R_d23ab_ROI
0.08903986441015813,R_d23ab_ROI
0.03994543660856136,R_d23ab_ROI
0.03659382977826456,R_d23ab_ROI
0.10604677886263672,R_d23ab_ROI
0.057402174686542115,R_d23ab_ROI
0.1341606161750395,R_d23ab_ROI
0.06670662958361946,R_d23ab_ROI
0.022460267978503968,R_d23ab_ROI
0.03781060364781251,R_d23ab_ROI
0.02594139524400596,R_d23ab_ROI
0.1231892096728965,R_d23ab_ROI
0.033057871845906306,R_d23ab_ROI
0.06327644940309862,R_d23ab_ROI
0.07248903306581153,R_d23ab_ROI
0.04823276144804862,R_d23ab_ROI
0.09726692891292948,R_d23ab_ROI
0.1766703341132057,R_d23ab_ROI
0.05842169458722985,R_d23ab_ROI
0.10785608077334977,R_d23ab_ROI
0.08883790764329567,R_d23ab_ROI
0.16577715698509862,R_d23ab_ROI
0.08668897812270987,R_d23ab_ROI
-0.06170907677037259,R_d23ab_ROI
-0.007118434832879984,R_d23ab_ROI
0.06489900968141006,R_d23ab_ROI
0.04519726690601484,R_d23ab_ROI
0.06518881048394898,R_d23ab_ROI
0.03932022348217662,R_d23ab_ROI
4.2430728182288324e-05,R_d23ab_ROI
0.1333374931328811,R_d23ab_ROI
0.08781104014111044,R_d23ab_ROI
0.0703506537831636,R_d23ab_ROI
0.11063713774731791,R_d23ab_ROI
0.08679654131169177,R_d23ab_ROI
0.058416880986374174,R_d23ab_ROI
0.045811034777645705,R_d23ab_ROI
0.06655902661099622,R_d23ab_ROI
0.09607976794796862,R_d23ab_ROI
0.17400713453510308,R_d23ab_ROI
0.08181150950347685,R_d23ab_ROI
0.12324101630350691,R_d23ab_ROI
0.02119107053537212,R_d23ab_ROI
0.046087452553346106,R_d23ab_ROI
0.08545015165988191,R_d23ab_ROI
0.04079150150727281,R_d23ab_ROI
0.136058473861545,R_d23ab_ROI
0.05380933257824937,R_d23ab_ROI
0.1505019337883588,R_d23ab_ROI
0.1042575774480281,R_d23ab_ROI
0.1471719499469176,R_d23ab_ROI
0.20598132915126055,R_d23ab_ROI
0.11643752549478928,R_d23ab_ROI
0.013926846071084652,R_d23ab_ROI
0.14104282277397856,R_d23ab_ROI
0.10989103200891412,R_d23ab_ROI
0.05893074317313238,R_d23ab_ROI
0.048265039071457204,R_d23ab_ROI
0.014372359543758343,R_d23ab_ROI
0.1045136316062243,R_d23ab_ROI
0.06916119474414092,R_d23ab_ROI
0.08387209313721289,R_d23ab_ROI
0.033153900648124485,R_d23ab_ROI
0.05436045616163211,R_d23ab_ROI
0.10303656974390432,R_d23ab_ROI
0.07397425914469305,R_d23ab_ROI
0.03317406714657862,R_d23ab_ROI
0.030962121507164077,R_d23ab_ROI
0.08984531785540334,R_d23ab_ROI
0.17050659176734032,R_d23ab_ROI
0.13431792113973073,R_d23ab_ROI
0.10333980099494185,R_d23ab_ROI
0.042975576229368984,R_d23ab_ROI
0.09229197366466199,R_d23ab_ROI
0.07154283085390245,R_d23ab_ROI
0.012739559411394007,R_d23ab_ROI
0.08534236874100498,R_d23ab_ROI
0.05319423120477351,R_d23ab_ROI
0.035427879405712466,R_d23ab_ROI
0.13528690734251186,R_d23ab_ROI
0.024339090295578476,R_d23ab_ROI
0.1431865400313697,R_d23ab_ROI
0.10235654797452051,R_d23ab_ROI
0.14330402424680827,R_d23ab_ROI
0.03105884657834431,R_d23ab_ROI
0.16628076385280266,R_d23ab_ROI
0.013249473835218965,R_d23ab_ROI
0.07579295949945772,R_d23ab_ROI
0.08805882258743654,R_d23ab_ROI
0.1347581768691676,R_d23ab_ROI
0.0973764918344533,R_d23ab_ROI
0.14202368957973205,R_d23ab_ROI
0.09900508713325754,R_d23ab_ROI
0.06750896167241646,R_d23ab_ROI
0.13880463029977902,R_d23ab_ROI
0.18629585266168108,R_d23ab_ROI
0.1460516018143157,R_d23ab_ROI
0.0718168642581237,R_d23ab_ROI
0.04785828596052308,R_d23ab_ROI
0.09178941087355592,R_d23ab_ROI
0.12491896227825193,R_d23ab_ROI
0.05792112274823129,R_d23ab_ROI
0.04691572951999598,R_d23ab_ROI
0.013258064653909354,R_d23ab_ROI
0.09134279379427541,R_d23ab_ROI
0.16964551026483152,R_d23ab_ROI
0.051422446811286854,R_d23ab_ROI
0.14040099861573227,R_d23ab_ROI
0.05034045153906881,R_d23ab_ROI
-0.019623626920867065,R_d23ab_ROI
0.08998424235037446,R_d23ab_ROI
0.036840537532775525,R_d23ab_ROI
0.04783251887376037,R_d23ab_ROI
0.042635489235651344,R_d23ab_ROI
0.12618175888270838,R_d23ab_ROI
0.09685301204190196,R_d23ab_ROI
0.07535551112096067,R_d23ab_ROI
0.14108822098032306,R_d23ab_ROI
0.04565835393596447,R_d23ab_ROI
0.07195100632820209,R_d23ab_ROI
0.017754207474619216,R_d23ab_ROI
0.07981833314071418,R_d23ab_ROI
0.11393024832286434,R_d23ab_ROI
0.09564689563804192,R_d23ab_ROI
0.011964505049061762,R_d23ab_ROI
0.15459970615975732,R_d23ab_ROI
0.05531262125154332,R_d23ab_ROI
0.1303065954525355,R_d23ab_ROI
0.09520867339908129,R_d23ab_ROI
0.13083623753309462,R_d23ab_ROI
0.08531598345897722,R_d23ab_ROI
0.1376015412621976,R_d23ab_ROI
0.08275245945836462,R_d23ab_ROI
0.11764785729547,R_d23ab_ROI
0.0872124136248399,R_d23ab_ROI
0.12037096415677838,R_d23ab_ROI
0.13190319376811233,R_d23ab_ROI
0.02444839950311948,R_d23ab_ROI
0.18466501678909836,R_d23ab_ROI
0.07429832910009537,R_d23ab_ROI
0.16051492584500074,R_d23ab_ROI
0.09577832950382964,R_d23ab_ROI
0.033894300137331565,R_d23ab_ROI
0.0690156184546032,R_d23ab_ROI
0.14570787527138235,R_d23ab_ROI
0.042863515377250194,R_d23ab_ROI
0.12371522090627345,R_d23ab_ROI
0.023091040401701034,R_d23ab_ROI
0.0541233164227862,R_d23ab_ROI
0.05400120761548367,R_d23ab_ROI
0.11906058999055424,R_d23ab_ROI
0.10185925299053766,R_d23ab_ROI
0.022980089674594265,R_d23ab_ROI
0.07764834719909035,R_d23ab_ROI
0.07435730378725386,R_d23ab_ROI
0.18329042787779598,R_d23ab_ROI
0.09743326319398869,R_d23ab_ROI
0.020916651911070106,R_d23ab_ROI
0.07421448590535903,R_d23ab_ROI
0.0574828104714165,R_d23ab_ROI
0.03500738900906773,R_d23ab_ROI
0.037388143566066324,R_d23ab_ROI
0.018707662052557514,R_d23ab_ROI
0.08932586604231232,R_d23ab_ROI
0.0009098700229343004,R_d23ab_ROI
0.10042357323041431,R_d23ab_ROI
0.08234224846331409,R_d23ab_ROI
0.02964992917970729,R_d23ab_ROI
0.12112733602919659,R_d23ab_ROI
0.09668511559893296,R_d23ab_ROI
0.08969226209134386,R_d23ab_ROI
0.03740663533850041,R_d23ab_ROI
0.04628921827890704,R_d23ab_ROI
0.017118007741659353,R_d23ab_ROI
0.10495369849591205,R_d23ab_ROI
0.03951950717250513,R_d23ab_ROI
0.010655777639232547,R_d23ab_ROI
0.13466332940835957,R_d23ab_ROI
0.08865269011566806,R_d23ab_ROI
-0.009981105991552101,R_d23ab_ROI
0.10981755091127561,R_d23ab_ROI
0.0003502401001370778,R_d23ab_ROI
0.12992846368620148,R_d23ab_ROI
0.09387730658769282,R_d23ab_ROI
-0.012381509994717979,R_d23ab_ROI
0.098987815443745,R_d23ab_ROI
0.06872831696750484,R_d23ab_ROI
0.03530330631013657,R_d23ab_ROI
0.10627689646168048,R_d23ab_ROI
0.15918674056800508,R_d23ab_ROI
0.03283043675018602,R_d23ab_ROI
0.07937775803086636,R_d23ab_ROI
0.05933254040989715,R_d23ab_ROI
0.023912351280486743,R_d23ab_ROI
0.021591062846758945,R_d23ab_ROI
0.07968098835084678,R_d23ab_ROI
0.09127225396173295,R_d23ab_ROI
0.11094365446046717,R_d23ab_ROI
0.1435708225520441,R_d23ab_ROI
0.12810393437545842,R_d23ab_ROI
0.04776561971013821,R_d23ab_ROI
0.09982113259963069,R_d23ab_ROI
0.08136515021332054,R_d23ab_ROI
0.08267947419225573,R_d23ab_ROI
0.05097073431688459,R_d23ab_ROI
0.049763011111406664,R_d23ab_ROI
0.15859812696553505,R_d23ab_ROI
0.02271587480336958,R_d23ab_ROI
0.10287753552158231,R_d23ab_ROI
0.05857207708942051,R_d23ab_ROI
0.038372751371031105,R_d23ab_ROI
0.1291454130513581,R_d23ab_ROI
0.0948608364033236,R_d23ab_ROI
0.104104121927164,R_d23ab_ROI
0.15692142321768413,R_d23ab_ROI
0.011832618174712045,R_d23ab_ROI
0.048030069025971095,R_d23ab_ROI
-0.0347652645562377,R_d23ab_ROI
0.15396450336706421,R_d23ab_ROI
0.01461723751240535,R_d23ab_ROI
0.048770964577066964,R_d23ab_ROI
0.16841850655331256,R_d23ab_ROI
0.12801883939685738,R_d23ab_ROI
0.037116229461949556,R_d23ab_ROI
0.03792815110291324,R_d23ab_ROI
-0.021363582132430108,R_d23ab_ROI
0.05135866717149354,R_d23ab_ROI
0.15181753889718297,R_d23ab_ROI
0.05010245178195977,R_d23ab_ROI
0.06032861301732357,R_d23ab_ROI
0.13492469355140296,R_d23ab_ROI
-0.01623233806319251,R_d23ab_ROI
-0.011227925752503445,R_d23ab_ROI
0.05350621522099344,R_d23ab_ROI
0.07578043365242522,R_d23ab_ROI
-0.019426670757445936,R_d23ab_ROI
0.07036104175196398,R_d23ab_ROI
0.09629312321356578,R_d23ab_ROI
0.12712576833444345,R_d23ab_ROI
0.01408901714713854,R_d23ab_ROI
0.17811346801939287,R_d23ab_ROI
0.15731573211581018,R_d23ab_ROI
0.02936975306993505,R_d23ab_ROI
0.07937377829918954,R_d23ab_ROI
