rho,roi
0.39957685424761163,R_p9-46v_ROI
0.3282243374797285,R_p9-46v_ROI
0.39069821303024377,R_p9-46v_ROI
0.41912081492088604,R_p9-46v_ROI
0.42184520342474874,R_p9-46v_ROI
0.32134112944945176,R_p9-46v_ROI
0.45266985809845717,R_p9-46v_ROI
0.4058312856518737,R_p9-46v_ROI
0.4029646853837004,R_p9-46v_ROI
0.409653049823924,R_p9-46v_ROI
0.4480742328283565,R_p9-46v_ROI
0.36568654126830363,R_p9-46v_ROI
0.45820681587901535,R_p9-46v_ROI
0.4709438341692086,R_p9-46v_ROI
0.3829487930467088,R_p9-46v_ROI
0.42409317969445826,R_p9-46v_ROI
0.4012845041199494,R_p9-46v_ROI
0.4895070338609625,R_p9-46v_ROI
0.2850989099899816,R_p9-46v_ROI
0.3666249128748242,R_p9-46v_ROI
0.38949978414474207,R_p9-46v_ROI
0.3873519153257302,R_p9-46v_ROI
0.5000818602765407,R_p9-46v_ROI
0.4575484046583359,R_p9-46v_ROI
0.4188645087276409,R_p9-46v_ROI
0.39559479693156274,R_p9-46v_ROI
0.4156899319308738,R_p9-46v_ROI
0.48673987467856655,R_p9-46v_ROI
0.39024287229365573,R_p9-46v_ROI
0.4352126459667555,R_p9-46v_ROI
0.41023164151112496,R_p9-46v_ROI
0.4203159559496987,R_p9-46v_ROI
0.3447155860161124,R_p9-46v_ROI
0.3743583272672431,R_p9-46v_ROI
0.4478194484408181,R_p9-46v_ROI
0.529756104467403,R_p9-46v_ROI
0.3278570952818928,R_p9-46v_ROI
0.42634326932465294,R_p9-46v_ROI
0.3803394073005726,R_p9-46v_ROI
0.3953312929680568,R_p9-46v_ROI
0.5082029575550432,R_p9-46v_ROI
0.40857759196131554,R_p9-46v_ROI
0.39146980250921903,R_p9-46v_ROI
0.39107523435724245,R_p9-46v_ROI
0.33131480912858413,R_p9-46v_ROI
0.38035054077001385,R_p9-46v_ROI
0.4317184471479888,R_p9-46v_ROI
0.3160118483231117,R_p9-46v_ROI
0.44005253197919547,R_p9-46v_ROI
0.4214592132700147,R_p9-46v_ROI
0.45542870216601294,R_p9-46v_ROI
0.4334823618672933,R_p9-46v_ROI
0.42781488282311614,R_p9-46v_ROI
0.3710851473896979,R_p9-46v_ROI
0.4411423015108006,R_p9-46v_ROI
0.48208314363823923,R_p9-46v_ROI
0.45880851988806626,R_p9-46v_ROI
0.4426795052012536,R_p9-46v_ROI
0.3680155126012533,R_p9-46v_ROI
0.3556978394141173,R_p9-46v_ROI
0.43228138136706956,R_p9-46v_ROI
0.4743327655937048,R_p9-46v_ROI
0.3492986204686105,R_p9-46v_ROI
0.3969514933047146,R_p9-46v_ROI
0.44463975956082613,R_p9-46v_ROI
0.49256014803965126,R_p9-46v_ROI
0.442207905662778,R_p9-46v_ROI
0.4510188796326742,R_p9-46v_ROI
0.41932414381653094,R_p9-46v_ROI
0.29437754869101723,R_p9-46v_ROI
0.4030100486123106,R_p9-46v_ROI
0.3994868545511343,R_p9-46v_ROI
0.48819536422137905,R_p9-46v_ROI
0.46438875869194773,R_p9-46v_ROI
0.5014467222610333,R_p9-46v_ROI
0.4196066568655248,R_p9-46v_ROI
0.43043319723140483,R_p9-46v_ROI
0.5331606869903044,R_p9-46v_ROI
0.3021969036169804,R_p9-46v_ROI
0.3745599102458531,R_p9-46v_ROI
0.49633477639481893,R_p9-46v_ROI
0.47896660833552596,R_p9-46v_ROI
0.41764009976276795,R_p9-46v_ROI
0.3734008714787269,R_p9-46v_ROI
0.4846410684988355,R_p9-46v_ROI
0.3690520613934391,R_p9-46v_ROI
0.5202225702119742,R_p9-46v_ROI
0.5112480870217244,R_p9-46v_ROI
0.36345163260535895,R_p9-46v_ROI
0.3852495218204531,R_p9-46v_ROI
0.408022680663372,R_p9-46v_ROI
0.43633270531052404,R_p9-46v_ROI
0.3447759281296289,R_p9-46v_ROI
0.37888597461035217,R_p9-46v_ROI
0.47388322353467344,R_p9-46v_ROI
0.403840664232716,R_p9-46v_ROI
0.4579568683242452,R_p9-46v_ROI
0.4175774829279406,R_p9-46v_ROI
0.40074141585924344,R_p9-46v_ROI
0.4904559951533588,R_p9-46v_ROI
0.4308067758304621,R_p9-46v_ROI
0.4081023461136639,R_p9-46v_ROI
0.3770398362373305,R_p9-46v_ROI
0.39631827250976837,R_p9-46v_ROI
0.42413192053440146,R_p9-46v_ROI
0.3053814226436572,R_p9-46v_ROI
0.31093481996540717,R_p9-46v_ROI
0.4524966852800625,R_p9-46v_ROI
0.33957982351160887,R_p9-46v_ROI
0.4642660860309036,R_p9-46v_ROI
