rho,roi
0.49857422962641623,aTHA-lh
0.5222891503695375,aTHA-lh
0.4674929418928188,aTHA-lh
0.46627127364292503,aTHA-lh
0.449714224446118,aTHA-lh
0.394822901946562,aTHA-lh
0.43316983661386177,aTHA-lh
0.42189391318950953,aTHA-lh
0.5067583504267404,aTHA-lh
0.4926898470355511,aTHA-lh
0.44668872495403944,aTHA-lh
0.49475139188099226,aTHA-lh
0.4345630609272587,aTHA-lh
0.440151281801894,aTHA-lh
0.5151339396567621,aTHA-lh
0.4889137363709912,aTHA-lh
0.44404943824728005,aTHA-lh
0.4133453742042601,aTHA-lh
0.4777938393978935,aTHA-lh
0.4304138631412128,aTHA-lh
0.37300774882939886,aTHA-lh
0.4158585131469872,aTHA-lh
0.403051205392963,aTHA-lh
0.468306739265945,aTHA-lh
0.43082626589550355,aTHA-lh
0.4370853357239693,aTHA-lh
0.44640098887760593,aTHA-lh
0.4646722066485839,aTHA-lh
0.3673722714039938,aTHA-lh
0.4430065715933458,aTHA-lh
0.4297472354772806,aTHA-lh
0.40519278667422715,aTHA-lh
0.4407531828386414,aTHA-lh
0.4699562570717645,aTHA-lh
0.5030353680701711,aTHA-lh
0.5018545954378485,aTHA-lh
0.4785284957850157,aTHA-lh
0.4516960235666353,aTHA-lh
0.40230093569557923,aTHA-lh
0.5098126265228581,aTHA-lh
0.39243574134664977,aTHA-lh
0.4835311297158311,aTHA-lh
0.42119975975022295,aTHA-lh
0.4009474607228095,aTHA-lh
0.3972049920544882,aTHA-lh
0.4816940101578925,aTHA-lh
0.43611315372915493,aTHA-lh
0.41951437320859564,aTHA-lh
0.48114940390034766,aTHA-lh
0.46394054570795484,aTHA-lh
0.4396171719854751,aTHA-lh
0.5416031165040613,aTHA-lh
0.5901586019492334,aTHA-lh
0.47100298054186307,aTHA-lh
0.3716729835297945,aTHA-lh
0.4730376560953497,aTHA-lh
0.45988489600348076,aTHA-lh
0.4725521380858575,aTHA-lh
0.4361312356377819,aTHA-lh
0.4439708385121801,aTHA-lh
0.3563347767066695,aTHA-lh
0.5018378840357559,aTHA-lh
0.4043238914170044,aTHA-lh
0.5070576455684559,aTHA-lh
0.40880688141372373,aTHA-lh
0.4018029400205235,aTHA-lh
0.40355970900792415,aTHA-lh
0.46041825033359357,aTHA-lh
0.4322426254527697,aTHA-lh
0.476419077664759,aTHA-lh
0.5301247690034445,aTHA-lh
0.4487708514018559,aTHA-lh
0.43446490284635814,aTHA-lh
0.4357098126782745,aTHA-lh
0.4684230582468277,aTHA-lh
0.38145389668466206,aTHA-lh
0.435247119660182,aTHA-lh
0.42099343257139565,aTHA-lh
0.5024363582871559,aTHA-lh
0.4162080517379988,aTHA-lh
0.39323000775980077,aTHA-lh
0.3768669686855723,aTHA-lh
0.44044208569560345,aTHA-lh
0.39857771496749145,aTHA-lh
0.39126113962080994,aTHA-lh
0.40858204086982747,aTHA-lh
0.4889148253760114,aTHA-lh
0.4125601131395429,aTHA-lh
0.46332718757505553,aTHA-lh
0.4902264535041114,aTHA-lh
0.3741562626521061,aTHA-lh
0.43896796838179153,aTHA-lh
0.40895406239389887,aTHA-lh
0.506384807175705,aTHA-lh
0.4334934786007987,aTHA-lh
0.4811391670689488,aTHA-lh
0.32081186362045144,aTHA-lh
0.40528110748429697,aTHA-lh
0.471589420597909,aTHA-lh
0.4099874106814426,aTHA-lh
0.4487254434849699,aTHA-lh
0.3503735433377676,aTHA-lh
0.47278863932279935,aTHA-lh
