rho,roi
0.43671648630406557,aTHA-rh
0.43201481829824284,aTHA-rh
0.49353686481671416,aTHA-rh
0.49548934352749485,aTHA-rh
0.4869009678052908,aTHA-rh
0.42077174535489664,aTHA-rh
0.5435870307487487,aTHA-rh
0.45807757181551156,aTHA-rh
0.5533944801652233,aTHA-rh
0.5410629992256002,aTHA-rh
0.4708660349552201,aTHA-rh
0.3993110366691424,aTHA-rh
0.49139090528899154,aTHA-rh
0.4322073023835682,aTHA-rh
0.38985433932563907,aTHA-rh
0.43733721062024544,aTHA-rh
0.3735963941860079,aTHA-rh
0.4713216049611361,aTHA-rh
0.4394065921544601,aTHA-rh
0.4150393954681094,aTHA-rh
0.5089723450002627,aTHA-rh
0.4468682977408263,aTHA-rh
0.5027209149151486,aTHA-rh
0.48454104896252415,aTHA-rh
0.34138113690765404,aTHA-rh
0.534588740372974,aTHA-rh
0.5301793697823323,aTHA-rh
0.5125250504349178,aTHA-rh
0.4224640510446135,aTHA-rh
0.474940794384431,aTHA-rh
0.367088092575397,aTHA-rh
0.4425940357776357,aTHA-rh
0.37686434236807886,aTHA-rh
0.3398822457796278,aTHA-rh
0.4721135528533763,aTHA-rh
0.458972245374456,aTHA-rh
0.4673266776446317,aTHA-rh
0.4905388893900622,aTHA-rh
0.4420764760844281,aTHA-rh
0.40799510424215235,aTHA-rh
0.43352579556453713,aTHA-rh
0.5155009067586672,aTHA-rh
0.35812640980255206,aTHA-rh
0.47649840704079044,aTHA-rh
0.3917629601403119,aTHA-rh
0.42591188193777196,aTHA-rh
0.4149185399241224,aTHA-rh
0.5128166954583568,aTHA-rh
0.42636872784636326,aTHA-rh
0.4681336754305093,aTHA-rh
0.39686472612376217,aTHA-rh
0.4898618274331923,aTHA-rh
0.4164929589697355,aTHA-rh
0.6043382459590033,aTHA-rh
0.3841292922545627,aTHA-rh
0.4231005432038373,aTHA-rh
0.5300719694665847,aTHA-rh
0.4148135157745031,aTHA-rh
0.4693360954722648,aTHA-rh
0.4969574004186413,aTHA-rh
0.39841345584012955,aTHA-rh
0.4666921086743457,aTHA-rh
0.4572547486784059,aTHA-rh
0.45986512377394917,aTHA-rh
0.4180357291954647,aTHA-rh
0.4743363472855275,aTHA-rh
0.5160001346921794,aTHA-rh
0.4830891330223003,aTHA-rh
0.5218946282922929,aTHA-rh
0.47391476570906843,aTHA-rh
0.35115271412114485,aTHA-rh
0.5087222343286564,aTHA-rh
0.4320189265070448,aTHA-rh
0.4592073497779804,aTHA-rh
0.47687343319697767,aTHA-rh
0.5121244810624979,aTHA-rh
0.4767297421164438,aTHA-rh
0.5201784689324922,aTHA-rh
0.48797523645597557,aTHA-rh
0.4787893583675364,aTHA-rh
0.5057776465256559,aTHA-rh
0.48616564242884797,aTHA-rh
0.43320038182643306,aTHA-rh
0.46100050003885024,aTHA-rh
0.5631205694847119,aTHA-rh
0.45339672711576906,aTHA-rh
0.4268196518838125,aTHA-rh
0.4508736886888173,aTHA-rh
0.440835057733886,aTHA-rh
0.4951954595111975,aTHA-rh
0.4647722889686867,aTHA-rh
0.46997510651091545,aTHA-rh
0.40053498433235174,aTHA-rh
0.4823821717932275,aTHA-rh
0.4507638267065467,aTHA-rh
0.4255796771672564,aTHA-rh
0.5146686524458702,aTHA-rh
0.49100213992164427,aTHA-rh
0.4687601654906838,aTHA-rh
0.47272181352740555,aTHA-rh
0.4969098139531617,aTHA-rh
0.49144302759276554,aTHA-rh
0.4979015389328404,aTHA-rh
0.4615023022442012,aTHA-rh
0.38291604121281864,aTHA-rh
0.50431522503049,aTHA-rh
0.34996469434073285,aTHA-rh
0.4915174368841218,aTHA-rh
0.4664391345335852,aTHA-rh
0.44361853556444786,aTHA-rh
0.4197099323551843,aTHA-rh
0.4534734221559323,aTHA-rh
0.5357678588606501,aTHA-rh
0.4776545184777543,aTHA-rh
0.48666568236015073,aTHA-rh
0.5513470943138824,aTHA-rh
0.40757603484291505,aTHA-rh
0.5174910656658968,aTHA-rh
0.4247994163599217,aTHA-rh
0.47034121754084873,aTHA-rh
0.4107612935348951,aTHA-rh
0.45114089947153213,aTHA-rh
0.5361515715877825,aTHA-rh
