rho,roi
0.41793195724994303,pTHA-lh
0.4596600818571873,pTHA-lh
0.43401282684817843,pTHA-lh
0.46139223422679077,pTHA-lh
0.45274823739709136,pTHA-lh
0.3414317598715168,pTHA-lh
0.3980324358407068,pTHA-lh
0.43912208217101945,pTHA-lh
0.4045377515281232,pTHA-lh
0.45250794956264717,pTHA-lh
0.4491309972426937,pTHA-lh
0.4184577058022756,pTHA-lh
0.4193794403647262,pTHA-lh
0.387014796892744,pTHA-lh
0.403112195984063,pTHA-lh
0.4767099296434242,pTHA-lh
0.4165538078400084,pTHA-lh
0.44685718413062886,pTHA-lh
0.42714653635355837,pTHA-lh
0.5381223686771213,pTHA-lh
0.31279532711063235,pTHA-lh
0.4984855864826354,pTHA-lh
0.46063897214621374,pTHA-lh
0.48796952707691643,pTHA-lh
0.3304077765716503,pTHA-lh
0.42002798155442045,pTHA-lh
0.46476861128400015,pTHA-lh
0.4787193567667707,pTHA-lh
0.44201353030977414,pTHA-lh
0.42151485508539216,pTHA-lh
0.47656221210075855,pTHA-lh
0.46085270591030025,pTHA-lh
0.4476818958778565,pTHA-lh
0.3825419902018268,pTHA-lh
0.3697990901744923,pTHA-lh
0.45254239397661167,pTHA-lh
0.4783078490345244,pTHA-lh
0.35358824193115135,pTHA-lh
0.5647653498762268,pTHA-lh
0.41810508082938713,pTHA-lh
0.3385656625848362,pTHA-lh
0.37979263492896553,pTHA-lh
0.42060954142814955,pTHA-lh
0.4711671037695353,pTHA-lh
0.3773262834202047,pTHA-lh
0.33462685729945807,pTHA-lh
0.4395438486079722,pTHA-lh
0.3886493379422867,pTHA-lh
0.44021691784258066,pTHA-lh
0.4070539537615746,pTHA-lh
0.34906776367681747,pTHA-lh
0.3570501290264485,pTHA-lh
0.476565185513117,pTHA-lh
0.4331440415325868,pTHA-lh
0.46625095764801616,pTHA-lh
0.34407528831185075,pTHA-lh
0.44827985049615793,pTHA-lh
0.37553015261728445,pTHA-lh
0.40417035139582425,pTHA-lh
0.515943614676078,pTHA-lh
0.4291163732347919,pTHA-lh
0.4524742193526289,pTHA-lh
0.43738578868000355,pTHA-lh
0.4874361166957256,pTHA-lh
0.4298622148453649,pTHA-lh
0.3923412456679746,pTHA-lh
0.42412207543379465,pTHA-lh
0.36308744863337883,pTHA-lh
0.4147929160759928,pTHA-lh
0.37571307032611423,pTHA-lh
0.38853599391537585,pTHA-lh
0.425596154987451,pTHA-lh
0.3553831953688071,pTHA-lh
0.42297045977156633,pTHA-lh
0.3956820848137384,pTHA-lh
0.4997839503219412,pTHA-lh
0.4341618250868873,pTHA-lh
0.48038483750903893,pTHA-lh
0.468773091480135,pTHA-lh
0.47140892039439675,pTHA-lh
0.3438434123266755,pTHA-lh
0.41837517641924504,pTHA-lh
0.4018810216697619,pTHA-lh
0.39370781339465877,pTHA-lh
0.48097551637385405,pTHA-lh
0.4623438740099862,pTHA-lh
0.4357992487532826,pTHA-lh
0.495009960581563,pTHA-lh
0.3518853922041647,pTHA-lh
0.47494085405308095,pTHA-lh
0.3441780477678461,pTHA-lh
0.4460335475920282,pTHA-lh
0.3739781055596541,pTHA-lh
0.394875746558518,pTHA-lh
0.48496124964141524,pTHA-lh
0.4379932653348684,pTHA-lh
0.45120149037704227,pTHA-lh
0.4314815772956546,pTHA-lh
0.35500953682423186,pTHA-lh
0.41377412604958463,pTHA-lh
0.3138953573400142,pTHA-lh
0.44187391510565055,pTHA-lh
0.4183128468560816,pTHA-lh
0.366423214646145,pTHA-lh
0.4976021489463843,pTHA-lh
0.4664933748942457,pTHA-lh
0.44020007356095636,pTHA-lh
0.41119341507004126,pTHA-lh
0.5110681059162397,pTHA-lh
0.48421553709021037,pTHA-lh
0.447759776031342,pTHA-lh
0.39234003337430945,pTHA-lh
0.36735232661200784,pTHA-lh
0.42610643378487045,pTHA-lh
0.47761219892631834,pTHA-lh
0.4359788733419662,pTHA-lh
0.33108367208723655,pTHA-lh
0.38011507893398766,pTHA-lh
0.4129311690235973,pTHA-lh
0.44677643602085493,pTHA-lh
0.3408410614291196,pTHA-lh
0.42483903367109277,pTHA-lh
0.36077412692387983,pTHA-lh
0.4269360101159105,pTHA-lh
0.458473151206083,pTHA-lh
0.428533605216278,pTHA-lh
0.43408755799608645,pTHA-lh
0.42214735377343987,pTHA-lh
0.4906312905177046,pTHA-lh
0.48662174542882186,pTHA-lh
0.46162800109027435,pTHA-lh
0.41474276888036443,pTHA-lh
0.49952200127782453,pTHA-lh
0.3955677816979467,pTHA-lh
0.41502376090894255,pTHA-lh
0.3692572080848002,pTHA-lh
0.47027698438766413,pTHA-lh
0.37573426351373795,pTHA-lh
0.3839020230724081,pTHA-lh
0.4560143899292029,pTHA-lh
0.39904121221398803,pTHA-lh
0.44238269752013115,pTHA-lh
0.4570683838006264,pTHA-lh
0.37800572502099017,pTHA-lh
0.4263197039388399,pTHA-lh
0.3624534905979562,pTHA-lh
0.30503660256857035,pTHA-lh
0.4202441934062586,pTHA-lh
0.4203806606308481,pTHA-lh
0.43690679406925215,pTHA-lh
0.3862744699489498,pTHA-lh
0.3896619657904874,pTHA-lh
0.44013350704187104,pTHA-lh
0.32976679488543564,pTHA-lh
0.4318653021182166,pTHA-lh
0.42465549914564527,pTHA-lh
0.4186643487090036,pTHA-lh
0.535172653181728,pTHA-lh
0.4047427000668955,pTHA-lh
0.40131567155345693,pTHA-lh
0.400589143793588,pTHA-lh
0.4171620043185137,pTHA-lh
0.40303255832850404,pTHA-lh
0.4301944705976539,pTHA-lh
0.3385088445478226,pTHA-lh
0.4205167444201696,pTHA-lh
0.4055585877355583,pTHA-lh
0.3950494247335534,pTHA-lh
0.41678714899568603,pTHA-lh
0.42707381258977073,pTHA-lh
0.4348114421132232,pTHA-lh
0.3835766678964988,pTHA-lh
0.39743525573015615,pTHA-lh
0.4225830436836282,pTHA-lh
0.3819703648890184,pTHA-lh
0.43019151587609683,pTHA-lh
0.46824603611125454,pTHA-lh
0.5271639347257144,pTHA-lh
0.4387916665543185,pTHA-lh
0.43594988377243477,pTHA-lh
0.3919615490924073,pTHA-lh
0.3710302119792323,pTHA-lh
0.3477170329623052,pTHA-lh
0.41713969892756353,pTHA-lh
0.4975137856702583,pTHA-lh
0.4726984618042299,pTHA-lh
0.3928835976150725,pTHA-lh
0.35266496485984766,pTHA-lh
0.45996823014388655,pTHA-lh
0.44209407142111046,pTHA-lh
0.36453946823075506,pTHA-lh
0.47830148748329165,pTHA-lh
0.38194654200641087,pTHA-lh
0.44822898098503117,pTHA-lh
0.3971869622462503,pTHA-lh
0.46511245247820204,pTHA-lh
0.3795953025543915,pTHA-lh
0.47985080348850184,pTHA-lh
0.4437989139908025,pTHA-lh
0.4419592176139476,pTHA-lh
0.3547907014800159,pTHA-lh
0.5500887074561932,pTHA-lh
0.4604994703640039,pTHA-lh
0.4369089861605344,pTHA-lh
0.46336352575105083,pTHA-lh
0.4183265587873517,pTHA-lh
0.4431990225352846,pTHA-lh
0.3957244841710369,pTHA-lh
0.44400049793323754,pTHA-lh
0.47707655038731,pTHA-lh
0.4442892251219918,pTHA-lh
0.4316605699512907,pTHA-lh
0.36053102679832083,pTHA-lh
0.34177480098326113,pTHA-lh
0.45604403284889866,pTHA-lh
0.3243199601926857,pTHA-lh
0.5284803549468,pTHA-lh
0.44670207739504625,pTHA-lh
0.4026102086816498,pTHA-lh
0.4603191340180677,pTHA-lh
0.4531082975141858,pTHA-lh
0.4288082758496336,pTHA-lh
0.45665928232543707,pTHA-lh
0.3485663544874074,pTHA-lh
0.3351533584030508,pTHA-lh
0.3851235530154179,pTHA-lh
0.46471169717594546,pTHA-lh
0.3123804194561406,pTHA-lh
0.4069134826083256,pTHA-lh
0.4325967374239863,pTHA-lh
0.47114458627462563,pTHA-lh
0.47333034496728565,pTHA-lh
0.4395247921172937,pTHA-lh
0.40312669654888617,pTHA-lh
0.4606964149188757,pTHA-lh
0.33987968968620713,pTHA-lh
0.4337820045063967,pTHA-lh
0.49315629474251765,pTHA-lh
0.3268833862867627,pTHA-lh
0.48368701183764073,pTHA-lh
0.3927016058513058,pTHA-lh
0.4161859709978029,pTHA-lh
0.49253281182630676,pTHA-lh
0.4232301732736078,pTHA-lh
