rho,roi
0.4916791796817017,pTHA-rh
0.49489149186501674,pTHA-rh
0.5888620307781944,pTHA-rh
0.5277048171980248,pTHA-rh
0.4968419913404538,pTHA-rh
0.4693112642023652,pTHA-rh
0.5253186603827413,pTHA-rh
0.5157516225879688,pTHA-rh
0.4973973427174795,pTHA-rh
0.46245950468404073,pTHA-rh
0.4945024853270622,pTHA-rh
0.49636875711350525,pTHA-rh
0.5455444837300109,pTHA-rh
0.4781164917887082,pTHA-rh
0.4192766138168656,pTHA-rh
0.4375209499819397,pTHA-rh
0.5306381905003299,pTHA-rh
0.4770784981752529,pTHA-rh
0.535363527042578,pTHA-rh
0.4898558261214343,pTHA-rh
0.5163481513702772,pTHA-rh
0.5145191169313819,pTHA-rh
0.5128069148521576,pTHA-rh
0.4799268714150041,pTHA-rh
0.4889464228786613,pTHA-rh
0.5026468668841602,pTHA-rh
0.4816998164449112,pTHA-rh
0.5326747414044413,pTHA-rh
0.5764707719019703,pTHA-rh
0.4891935601068381,pTHA-rh
0.44087849748704666,pTHA-rh
0.516577825898357,pTHA-rh
0.4703400478996846,pTHA-rh
0.5072098865114871,pTHA-rh
0.5352452803509904,pTHA-rh
0.5482180040168443,pTHA-rh
0.5215970950196672,pTHA-rh
0.48390519985534575,pTHA-rh
0.4836393581947883,pTHA-rh
0.4074144561708537,pTHA-rh
0.5189600546885952,pTHA-rh
0.5609141716553144,pTHA-rh
0.5295190579044455,pTHA-rh
0.5518744444638615,pTHA-rh
0.49290099748219907,pTHA-rh
0.5435355862601414,pTHA-rh
0.47488568455217967,pTHA-rh
0.5272405250577267,pTHA-rh
0.5191906811431328,pTHA-rh
0.5248342213135365,pTHA-rh
0.5358859572646059,pTHA-rh
0.5606708773129562,pTHA-rh
0.48873891999769215,pTHA-rh
0.4893392607831492,pTHA-rh
0.5056867699131836,pTHA-rh
0.572669551607877,pTHA-rh
0.4799724088339909,pTHA-rh
0.4535217614420195,pTHA-rh
0.5418246785783114,pTHA-rh
0.4982251337681732,pTHA-rh
0.47934565092395753,pTHA-rh
0.44047209543816,pTHA-rh
0.5307187769663961,pTHA-rh
0.5406348213198064,pTHA-rh
0.533273830133578,pTHA-rh
0.4474769106872852,pTHA-rh
0.5008018953207525,pTHA-rh
0.5381348230642771,pTHA-rh
0.44115887870307513,pTHA-rh
0.5727018283045726,pTHA-rh
0.4768425385298279,pTHA-rh
0.511341769996914,pTHA-rh
0.550602308865041,pTHA-rh
0.5173653193939777,pTHA-rh
0.5264973776187665,pTHA-rh
0.4652701800814367,pTHA-rh
0.6073575964145399,pTHA-rh
0.49261030214627205,pTHA-rh
0.49879710404662925,pTHA-rh
0.4952026418900755,pTHA-rh
0.47376487179732096,pTHA-rh
0.5081452166044307,pTHA-rh
0.50293291731988,pTHA-rh
0.47413231687299057,pTHA-rh
0.47372537900741074,pTHA-rh
0.48953200533222485,pTHA-rh
0.4654764047423152,pTHA-rh
0.5733651265161814,pTHA-rh
0.48057891043642054,pTHA-rh
0.5388696790304889,pTHA-rh
0.490009664612578,pTHA-rh
0.5474516204594221,pTHA-rh
0.5914940217087974,pTHA-rh
0.48311241601051064,pTHA-rh
0.5126114421137371,pTHA-rh
0.5072872777138395,pTHA-rh
0.49030720144295237,pTHA-rh
0.4621199434000315,pTHA-rh
