ID,LST_num,condition,puzzles,solutions
0,1,Binary,0040405210200030,1
1,1,Binary,0210000043510030,2
2,1,Binary,0100040345020200,3
3,2,Binary,1000004054124020,3
4,2,Binary,1502010032100300,4
5,2,Binary,0402432502000003,1
6,3,Binary,3210250014020321,1
7,3,Binary,0234415330022300,2
8,3,Binary,3410402300540341,3
9,4,Binary,1435004300210004,2
10,4,Binary,0002000103141245,3
11,4,Binary,2000340012005123,4
12,5,Binary,0321140235000140,2
13,5,Binary,0420251410030032,3
14,5,Binary,0230005140233410,4
15,6,Binary,0300040051323200,4
16,6,Binary,4500321404000300,1
17,6,Binary,0041413500200010,2
18,7,Binary,0040451210200030,3
19,7,Binary,0210005043210030,4
20,7,Binary,0100040343520200,1
21,8,Binary,5432021001000340,1
22,8,Binary,0005423110240003,2
23,8,Binary,0210003003404125,3
24,9,Binary,2314012004503241,3
25,9,Binary,4003312415322001,4
26,9,Binary,3241052004302314,1
27,10,Binary,2413132400010005,2
28,10,Binary,0023004100325214,3
29,10,Binary,5000300024131324,4
30,11,Binary,3104030212430405,1
31,11,Binary,0204134201005431,2
32,11,Binary,5020124340102031,3
33,12,Binary,3215214304000300,4
34,12,Binary,0034412300120045,1
35,12,Binary,0010002012345341,2
36,13,Ternary,0021020014020045,3
37,13,Ternary,0200013010035302,4
38,13,Ternary,5200402300403400,1
39,14,Ternary,0104050200030430,3
40,14,Ternary,0000105240000431,4
41,14,Ternary,0120100040502030,1
42,15,Ternary,0040305001000012,2
43,15,Ternary,0040020020513000,3
44,15,Ternary,4300003005010200,4
45,16,Ternary,0000243145033142,2
46,16,Ternary,4130251010403420,3
47,16,Ternary,4231105231240000,4
48,17,Ternary,5042003124131320,3
49,17,Ternary,2305410032410423,4
50,17,Ternary,0413132431004205,1
51,18,Ternary,0142000003510234,2
52,18,Ternary,0000340245011203,3
53,18,Ternary,2140351000004230,4
54,19,Ternary,0004030210452000,3
55,19,Ternary,3200004001000531,4
56,19,Ternary,0004520340102000,1
57,20,Ternary,0401002402101502,3
58,20,Ternary,2000530102303012,4
59,20,Ternary,4053034024003020,1
60,21,Ternary,0041000014230154,3
61,21,Ternary,0200210053011402,4
62,21,Ternary,2530142300003200,1
63,22,Ternary,5430021031202340,1
64,22,Ternary,3405423113240000,2
65,22,Ternary,0214043103400125,3
66,23,Ternary,0000304010530314,2
67,23,Ternary,0240400025101400,3
68,23,Ternary,2310150302010000,4
69,24,Ternary,0104340543120000,1
70,24,Ternary,0140041202000351,2
71,24,Ternary,0000431250212030,3
72,25,Quaternary,0015004040000001,4
73,25,Quaternary,0100000000122005,1
74,25,Quaternary,3000000202005300,2
75,26,Quaternary,3050403004000004,4
76,26,Quaternary,0014010000451000,1
77,26,Quaternary,2000002001020501,2
78,27,Quaternary,0014104051000401,4
79,27,Quaternary,0520120000122001,1
80,27,Quaternary,3020003502032300,2
81,28,Quaternary,1004030000100503,1
82,28,Quaternary,0002504002004001,2
83,28,Quaternary,1050030000102003,3
84,29,Quaternary,3000403004051004,3
85,29,Quaternary,2014010000401500,4
86,29,Quaternary,2003502001020001,1
87,30,Quaternary,0015204004000001,4
88,30,Quaternary,0030010000122005,1
89,30,Quaternary,3000002002045300,2
90,31,Quaternary,0234500004020120,2
91,31,Quaternary,0050210330040301,3
92,31,Quaternary,0430402000052140,4
93,32,Quaternary,0500204130024020,2
94,32,Quaternary,1430000530100320,3
95,32,Quaternary,0402400132040050,4
96,33,Quaternary,0045002120300200,2
97,33,Quaternary,0300300004310025,3
98,33,Quaternary,0040010434005200,4
99,34,Quaternary,0120030210000405,1
100,34,Quaternary,0200104200035030,2
101,34,Quaternary,5020000340100430,3
102,35,Quaternary,0032001350042341,3
103,35,Quaternary,3500400010242143,4
104,35,Quaternary,3214200513004100,1
105,36,Quaternary,0052000331042341,3
106,36,Quaternary,3400420010052143,4
107,36,Quaternary,3214203110004500,1
